311972225265836033	positive	:-))) Der neue Papst: Es ist ein Argentinier http://t.co/51IzDHwkaV via @SPIEGELONLINE	:-))) die neu Papst: es sein eine Argentinier http://t.co/51IzDHwkaV via @SPIEGELONLINE	NN ART ADJA NN PPER VAFIN ART NN NN APPR NN	6/PD 4/NK 4/NK 1/NK 6/SB 0/-- 8/NK 6/PD 8/NK 8/MNR 10/NK	case=nom|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=masc|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=nom|num=sg|Target::markable_3::Target=True|Target::markable_3::Anaphref=empty|gender=masc|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|pers=3|num=sg|Target::markable_3::Target=True|gender=neut|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg _ case=acc|gender=masc|*=True
311924923641774081	positive	Der neue papst kommt aus argentinien! :)	die neu Papst kommen aus argentinien! :)	ART ADJA NN VVFIN APPR ADJA NN	3/NK 3/NK 4/SB 0/-- 4/MO 5/NK 0/--	case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|gender=masc|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=sg|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive case=nom|num=sg|Sentiment::markable_30::Sentiment=True|gender=masc|Target::markable_31::Target=True|pos=True case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_30::Sentiment=True|Target::markable_31::Target=True Target::markable_31::Target=True|Sentiment::markable_30::Sentiment=True case=dat|gender=masc|num=pl|Sentiment::markable_30::Sentiment=True|pos=True EmoExpression::markable_32::Intensity=medium|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True
311902105927573504	positive	Neuer #papst :-) Also kein neuer Rekord	neu #papst :-) also keine neu Rekord	ADJA NN $( ADV PIAT ADJA NN	2/NK 0/-- 2/-- 7/MO 7/NK 7/NK 2/CJ	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_33::Sarcasm=false|gender=masc|EmoExpression::markable_33::Intensity=medium|num=sg|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::SubjectiveFact=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg
311927461690617856	positive	#Papst #pope Mal sehen was es als erstes vom neuen Papst bei Ebay gibt :-)	#Papst #pope Mal sehen was es als erst von neu Papst bei Ebay geben :-)	NN NN NN VVFIN PIS PPER KOKOM ADJA APPRART ADJA NN APPR NE VVFIN $(	2/NK 4/MO 2/NK 0/-- 4/OA 14/EP 14/MO 7/NK 14/MO 11/NK 9/NK 14/MO 12/NK 4/CJ 14/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pers=3 _ case=acc|gender=neut|num=sg|pos=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
311912074852855809	positive	tippt auf Papst Sixtus VI - @sixtus überlege Dir schon mal eine Summe für den Verkauf Deines Twitter-Namens :)	tippen auf Papst Sixtus VI - @sixtus überlegen du schon mal eine Summe für die Verkauf dein Twitter-Namens :)	VVFIN APPR NN NE CARD $( NN VVFIN PPER ADV ADV ART NN APPR ART NN PPOSAT NN ADJA	0/-- 1/MO 2/NK 3/NK 7/NK 5/-- 1/OA 19/MO 8/DA 8/MO 8/MO 13/NK 8/OA 13/MNR 16/NK 14/NK 18/NK 16/AG 0/--	pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=subj case=dat|*=True|num=sg|pers=2 _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg case=gen|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|gender=neut|pos=True|EmoExpression::markable_35::EmoExpression=True|num=sg|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=positive
311921946709336065	positive	Obwohl dem Papst hör ich fast noch lieber zu als einer KMH. :)	obwohl die Papst hören ich fast noch lieb zu als eine KMH. :)	KOUS ART NN VVIMP PPER ADV ADV ADJD PTKVZ KOKOM ART NN ADJA	13/CP 3/NK 13/DA 3/NK 4/OA 8/MO 8/MO 3/CD 4/SVP 12/CM 12/NK 8/CC 0/--	_ case=dat|Target::markable_39::Anaphref=empty|Sentiment::markable_38::Intensity=medium|gender=masc|Sentiment::markable_38::Sentiment=True|Sentiment::markable_38::Sarcasm=false|num=sg|Sentiment::markable_38::Polarity=comparison|Target::markable_39::Target=True|Target::markable_39::Preferred=true case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_39::Target=True pers=1|Sentiment::markable_38::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|Sentiment::markable_38::Sentiment=True|pers=1 Sentiment::markable_38::Sentiment=True Sentiment::markable_38::Sentiment=True EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|comp=True|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_41::SubjectiveFact=false Sentiment::markable_38::Sentiment=True Sentiment::markable_38::Sentiment=True case=nom|Target::markable_40::Anaphref=empty|num=sg|gender=masc|Target::markable_40::Target=True|Sentiment::markable_38::Sentiment=True|Target::markable_40::Preferred=false case=nom|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_40::Target=True case=nom|EmoExpression::markable_36::EmoExpression=True|gender=masc|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_36::Intensity=medium|num=sg|EmoExpression::markable_36::SubjectiveFact=false|comp=True|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false
311923680093560832	positive	Der neue Papst hat schon irg Ähnlichkeit mit Leoni Messi.. haha;-)	die neu Papst haben schon irg Ähnlichkeit mit Leoni Messi.. haha;-)	ART ADJA NN VAFIN ADV ADV NN APPR NE NE $(	3/NK 3/NK 4/SB 0/-- 6/MO 7/MO 4/SB 7/MNR 10/PNC 8/NK 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=fem|num=sg _ case=dat|*=True|num=sg EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|*=True|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive
311959960210780160	positive	@heidy79 mit ihrem Vater war ich an der Uni in Frankfurt zu Besuch, wo der Papst promoviert hat:-)	@heidy79 mit ihr Vater sein ich an die Uni in Frankfurt zu Besuch, wo die Papst promovieren hat:-)	NN APPR PPOSAT NN VAFIN PPER APPR ART NN APPR NE APPR NN PWAV ART NN VVPP $(	0/-- 17/MO 4/NK 2/NK 0/-- 5/SB 17/MO 9/NK 7/NK 9/MNR 10/NK 17/MO 12/NK 17/MO 16/NK 17/SB 5/OC 17/--	case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
311919568509607939	neutral	Jetzt kommt die Eilmeldung via #Tagesschau wie der neue #Pabst heisst! Die haben wohl kein Twitter :)!!	jetzt kommen die Eilmeldung via #Tagesschau wie die neu #Pabst heisst! die haben wohl keine Twitter :)!!	ADV VVFIN ART NN APPR NN KOKOM ART ADJA NN VVFIN ART VAFIN ADV PIAT NN ADJA	2/MO 0/-- 4/NK 2/SB 2/MO 5/NK 11/CM 10/NK 10/NK 11/SB 2/MO 16/NK 0/-- 13/MO 16/NK 13/OA 16/MO	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|comp=True
311908393549971456	positive	... oder doch ein Neger :-) #papst BILD: "Wir sehen schwarz"	... oder doch eine Neger :-) #papst BILD: "Wir sehen schwarz"	$. KON ADV ART NN $( NN NN NN VVFIN ADJA	0/-- 10/JU 5/MO 5/NK 10/SB 5/-- 8/NK 5/PAR 8/NK 0/-- 10/MO	_ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Sarcasm=false|EmoExpression::markable_45::SubjectiveFact=false|num=sg|EmoExpression::markable_45::Uncertain=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind
311918892811419648	positive	Ein Argentinier ist der neue Papst. Wie wird er sich nennen? Maradonna der Erste? ;-)	eine Argentinier sein die neu Papst. wie werden er sich nennen? Maradonna die Erste? ;-)	ART NN VAFIN ART ADJA NN KOKOM VAFIN PPER PRF ADJA NN ART ADJA $(	2/NK 3/SB 0/-- 6/NK 6/NK 3/PD 11/MO 0/-- 8/SB 11/OA 8/OC 0/-- 14/NK 12/AG 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|pers=3|num=sg case=acc|gender=masc|num=pl|pos=True case=nom|gender=neut|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive
311935023701958657	positive	RT @ESA_de: Bei all den hitzigen Tweets zum neuen Papst kümmern wir uns lieber um kühle #Nordlichter in Nord-Finnland! :) #esaaurora # ...	RT @ESA_de: bei alle die hitzig Tweets zu neu Papst kümmern wir wir lieb um kühl #Nordlichter in Nord-Finnland! :) #esaaurora # ...	NE NN APPR PIAT ART ADJA NN APPRART ADJA NN VVFIN PPER PRF ADJD APPR ADJA NN APPR NN ADJA NN XY $.	2/AG 0/-- 11/MO 7/NK 7/NK 7/NK 3/NK 7/MNR 10/NK 8/NK 0/-- 11/SB 11/OA 11/MO 11/OP 17/NK 15/NK 17/MNR 18/NK 21/NK 0/-- 21/NK 22/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ *=True case=dat|gender=fem|num=pl case=gen|gender=neut|num=sg|pos=True case=gen|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|pers=1|num=pl _ _ case=acc|gender=masc|num=pl|pos=True case=acc|gender=masc|num=pl _ case=acc|gender=fem|num=sg EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _
312045853814685696	negative	RT @hipsterschwein: Wieder kein Moslem als Papst. :-(	RT @hipsterschwein: wieder keine Moslem als Papst. :-(	NE NN ADV PIAT NN KOKOM NN $(	2/AG 0/-- 5/MO 5/NK 0/-- 5/CD 6/NK 0/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|Sentiment::markable_48::Sentiment=True Target::markable_50::Target=True|Target::markable_50::Preferred=true|Sentiment::markable_48::Sentiment=True|Target::markable_50::Anaphref=empty case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True|Target::markable_50::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True|Target::markable_50::Target=True Target::markable_50::Target=True|Sentiment::markable_48::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True EmoExpression::markable_51::Intensity=medium|Sentiment::markable_48::Sentiment=True|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=negative|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false
311945538956308480	positive	RT @MrMenstrends: Papst Wahl aus der Badewanne anschauen :) Haha #papst #rom #italien http://t.co/hdbNE4YPir	RT @MrMenstrends: Papst Wahl aus die Badewanne anschauen :) Haha #papst #rom #italien http://t.co/hdbNE4YPir	NE ADJA NN NN APPR ART NN VVFIN ADJA NN NN NN NN NN	2/SB 0/-- 8/SB 3/NK 3/MNR 7/NK 5/NK 0/-- 10/NK 8/DA 8/DA 11/NK 8/DA 8/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=gen|EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|gender=masc|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false|pos=True|num=pl|EmoExpression::markable_52::SubjectiveFact=false case=gen|EmoExpression::markable_53::EmoExpression=True|gender=masc|EmoExpression::markable_53::Sarcasm=false|num=pl|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::Polarity=positive case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl
311931226468544512	positive	der neue #papst nutzt SocialMedia und kocht gerne. wie wäre es mit einem #twitcook in rom? @ja_natuerlich ;-)	die neu #papst nutzen SocialMedia und kochen gerne. wie sein es mit eine #twitcook in rom? @ja_natuerlich ;-)	ART ADJA NN VVFIN NE KON VVFIN NE KOKOM VAFIN PPER APPR ART NN APPR ADJD ADJD $(	3/NK 3/NK 4/SB 0/-- 4/SB 4/CD 6/CJ 7/SB 10/CM 7/OC 10/SB 10/MO 14/NK 12/NK 10/MO 10/PD 0/-- 0/--	case=nom|Sentiment::markable_54::Polarity=positive|gender=masc|Sentiment::markable_54::Sentiment=True|Sentiment::markable_54::Sarcasm=false|num=sg|Source::markable_55::Anaphref=empty|Sentiment::markable_54::Intensity=medium|Source::markable_55::Source=True case=nom|num=sg|Source::markable_55::Source=True|gender=masc|pos=True|Sentiment::markable_54::Sentiment=True case=nom|gender=masc|num=sg|Source::markable_55::Source=True|Sentiment::markable_54::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_54::Sentiment=True case=nom|*=True|num=sg|Sentiment::markable_54::Sentiment=True Sentiment::markable_54::Sentiment=True mood=ind|Target::markable_56::Preferred=true|Sentiment::markable_54::Sentiment=True|pers=3|num=sg|tense=pres|Target::markable_56::Anaphref=empty|Target::markable_56::Target=True case=nom|EmoExpression::markable_57::SubjectiveFact=false|*=True|Sentiment::markable_54::Sentiment=True|EmoExpression::markable_57::Polarity=positive|EmoExpression::markable_57::Uncertain=false|num=sg|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::EmoExpression=True _ pers=3|num=sg|tense=past|mood=subj case=nom|gender=neut|num=sg|pers=3 _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ pos=True pos=True EmoExpression::markable_58::Polarity=positive|EmoExpression::markable_58::Sarcasm=false|EmoExpression::markable_58::SubjectiveFact=false|EmoExpression::markable_58::Uncertain=false|EmoExpression::markable_58::Intensity=medium|EmoExpression::markable_58::EmoExpression=True
311951192995532800	positive	@Agadius Aber es gibt doch gerade einen neuen papst ;-)	@Agadius aber es geben doch gerade eine neu Papst ;-)	NN KON PPER VVFIN ADV ADV ART ADJA NN $(	0/-- 4/JU 4/EP 0/-- 4/MO 4/MO 9/NK 9/NK 4/OA 9/--	_ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_59::Polarity=positive|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|EmoExpression::markable_59::EmoExpression=True|EmoExpression::markable_59::Sarcasm=false|EmoExpression::markable_59::Uncertain=false
311924790170628097	mixed	Habe gehofft, der Papst schmeisst zur Begrüssung mit Pillen und Kondomen... Aber hat sich doch nichts geändert:(	haben gehofft, die Papst schmeißen zu Begrüssung mit Pille und Kondomen... aber haben sich doch nichts geändert:(	VAFIN NE ART NN VVFIN APPRART NN APPR NN KON NN KON VAFIN PRF ADV PIAT ADJA	0/-- 1/SB 4/NK 5/DA 1/OC 5/MO 6/NK 7/MNR 8/NK 9/CD 10/CJ 13/JU 0/-- 17/OA 17/MO 17/OC 13/OC	Sentiment::markable_60::Intensity=medium|Sentiment::markable_60::Sarcasm=false|mood=subj|pers=3|num=sg|tense=past|Sentiment::markable_60::Polarity=positive|Sentiment::markable_60::Sentiment=True case=nom|*=True|num=sg|Sentiment::markable_60::Sentiment=True case=dat|Target::markable_62::Target=True|num=sg|Target::markable_62::Preferred=true|Sentiment::markable_60::Sentiment=True|gender=fem|Target::markable_62::Anaphref=empty case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True pers=3|Target::markable_62::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_60::Sentiment=True case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True Sentiment::markable_60::Sentiment=True|Target::markable_62::Target=True case=dat|gender=fem|Target::markable_62::Target=True|num=pl|Sentiment::markable_60::Sentiment=True Sentiment::markable_60::Sentiment=True|Target::markable_62::Target=True case=dat|gender=masc|num=sg Target::markable_64::Anaphref=empty|Target::markable_64::Preferred=true|Sentiment::markable_63::Polarity=negative|Sentiment::markable_63::Intensity=medium|Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True|Sentiment::markable_63::Sarcasm=false pers=3|num=sg|tense=pres|mood=ind|Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True case=acc|pers=3|num=sg|Sentiment::markable_63::Sentiment=True|Target::markable_64::Target=True Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True gender=neut|*=True|Sentiment::markable_63::Sentiment=True|Target::markable_64::Target=True EmoExpression::markable_65::Intensity=medium|Sentiment::markable_63::Sentiment=True|pos=True|EmoExpression::markable_65::EmoExpression=True|EmoExpression::markable_65::Uncertain=false|EmoExpression::markable_65::Polarity=negative|EmoExpression::markable_65::Sarcasm=false|EmoExpression::markable_65::SubjectiveFact=false
312145392336781313	positive	Chemiker können alles - sogar Papst ;-) Wusstet Ihr, dass der neue Papst Franziskus (vorher Kardinal Jorge... http://t.co/qonncIn5dp	Chemiker können alle - sogar Papst ;-) wissen Ihr, dass die neu Papst Franziskus (vorher Kardinal Jorge... http://t.co/qonncIn5dp	NN VMFIN PIS $( ADV NN $( VVFIN NE KOUS ART ADJA NN NE ADV NN NE NN	2/SB 8/OC 2/SB 3/-- 6/MO 3/PAR 6/-- 0/-- 8/SB 8/OP 13/NK 13/NK 8/SB 13/NK 16/MO 8/OA 16/NK 0/--	case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ case=nom|gender=masc|num=sg EmoExpression::markable_66::Polarity=positive|EmoExpression::markable_66::EmoExpression=True|EmoExpression::markable_66::Uncertain=false|EmoExpression::markable_66::Intensity=medium|EmoExpression::markable_66::Sarcasm=false|EmoExpression::markable_66::SubjectiveFact=false pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=fem|num=sg
311911110678831104	positive	Ich bin ...... : Ich bin gespannt welcher Nationalität der neue Papst angehört. :) http://t.co/cV83epVWg8	ich sein ...... : ich sein gespannt welche Nationalität die neu Papst angehört. :) http://t.co/cV83epVWg8	PPER VAFIN NN $. PPER VAFIN ADJD PIS NN ART ADJA NN NE ADJD CARD	2/SB 0/-- 2/PD 5/-- 6/SB 0/-- 6/PD 9/NK 7/DA 12/NK 12/NK 9/AG 12/NK 15/MO 0/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind EmoExpression::markable_10404348::SubjectiveFact=false|EmoExpression::markable_10404348::Polarity=positive|EmoExpression::markable_10404348::Intensity=medium|EmoExpression::markable_10404348::Sarcasm=false|EmoExpression::markable_10404348::Uncertain=false|EmoExpression::markable_10404348::EmoExpression=True case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::Polarity=positive|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::SubjectiveFact=false|EmoExpression::markable_67::EmoExpression=True _
311903187705663490	positive	"Programmunterbrechung?" - "Dann wurde wohl ein neuer Papst gewählt." Haaach, bin ich ein Hellseher :-)	"Programmunterbrechung?" - "Dann werden wohl eine neu Papst gewählt." Haaach, sein ich eine Hellseher :-)	NN $( NN VAFIN ADV ART ADJA NN VVFIN NE VAFIN PPER ART NN $(	0/-- 3/-- 4/SB 0/-- 9/MO 8/NK 8/NK 4/SB 4/OC 11/PD 0/-- 11/SB 14/NK 11/PD 14/--	case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|*=True|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg EmoExpression::markable_68::Sarcasm=false|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Intensity=medium|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false
311905925072056320	positive	Nee, Helmut Schmidt war zu Gast! :-) "@Halliway: Kein neuer Papst. Die Hütte brennt! ;) #Papst"	Nee, Helmut Schmidt sein zu Gast! :-) "@Halliway: keine neu Papst. die Hütte brennt! ;) #Papst"	NE NE NE VAFIN APPR NN $( NN PIAT ADJA NN ART NN ADJA NN ADJD	3/PNC 3/PNC 4/SB 0/-- 4/MO 5/NK 8/-- 0/-- 11/NK 11/NK 0/-- 13/NK 14/OA 0/-- 0/-- 15/PD	case=nom|gender=masc|Sentiment::markable_69::Sentiment=True|num=sg case=nom|Target::markable_70::Target=True|num=sg|Target::markable_70::Anaphref=empty|gender=masc|Sentiment::markable_69::Sentiment=True|Target::markable_70::Preferred=true case=nom|gender=masc|Target::markable_70::Target=True|num=sg|Sentiment::markable_69::Sentiment=True pers=3|Target::markable_70::Target=True|num=sg|tense=past|mood=ind|Sentiment::markable_69::Sentiment=True Target::markable_70::Target=True|Sentiment::markable_69::Sentiment=True case=dat|gender=masc|Sentiment::markable_69::Sentiment=True|num=sg EmoExpression::markable_71::Uncertain=false|EmoExpression::markable_71::Intensity=medium|EmoExpression::markable_71::Sarcasm=false|EmoExpression::markable_71::SubjectiveFact=false|Sentiment::markable_69::Sentiment=True|EmoExpression::markable_71::EmoExpression=True|EmoExpression::markable_71::Polarity=positive case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True EmoExpression::markable_72::EmoExpression=True|EmoExpression::markable_72::SubjectiveFact=false|EmoExpression::markable_72::Uncertain=false|EmoExpression::markable_72::Polarity=positive|EmoExpression::markable_72::Sarcasm=false|EmoExpression::markable_72::Intensity=medium pos=True
