322366239513141248	positive	@knorx100 ja das stimmt, aber bislang habe ich dich auch noch nicht auf ein foto gesehen :)	@knorx100 ja die stimmt, aber bislang haben ich du auch noch nicht auf eine Foto sehen :)	NN ADV ART NE ADV ADV VAFIN PPER PPER ADV ADV PTKNEG APPR ART NN VVPP ADJD	0/-- 4/MO 4/NK 7/SB 7/MO 16/MO 0/-- 7/SB 16/OA 12/MO 12/MO 16/NG 16/MO 15/NK 13/NK 7/OC 16/PD	_ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg|pers=3 _ _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|EmoExpression::markable_1::Intensity=medium
323910410434654209	positive	Leute auf die man sich verlassen kann. :] @oxopaulinexox @Antoniablubb @Isii6 @machtlose @einfachso_ @glassrose_ http://t.co/UZsMOZ08J8	Leute auf die man sich verlassen kann. :] @oxopaulinexox @Antoniablubb @Isii6 @machtlose @einfachso_ @glassrose_ http://t.co/UZsMOZ08J8	NN APPR ART PIS PRF VVFIN NE ADJA NN ADJA NN ADJA NN ADJD CARD	6/OA 1/MNR 4/NK 2/NK 6/OA 0/-- 6/OA 9/NK 0/-- 0/-- 0/-- 0/-- 0/-- 0/-- 0/--	case=nom|Sentiment::markable_21::Sarcasm=false|Target::markable_22::Target=True|Sentiment::markable_21::Intensity=medium|*=True|Target::markable_22::Preferred=true|num=pl|Sentiment::markable_21::Polarity=positive|Sentiment::markable_21::Sentiment=True|Target::markable_22::Anaphref=empty Sentiment::markable_21::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_21::Sentiment=True case=nom|*=True|num=sg|Sentiment::markable_21::Sentiment=True case=dat|EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|pers=3|num=sg|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_21::Sentiment=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Sarcasm=false EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_21::Sentiment=True case=nom|*=True|num=sg|Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True Target::markable_100500220::Anaphref=empty|num=sg|gender=fem|Target::markable_100500220::Target=True|*=True|Sentiment::markable_21::Sentiment=True|Target::markable_100500220::Preferred=true Target::markable_100500221::Preferred=true|Target::markable_100500221::Anaphref=empty|Sentiment::markable_21::Sentiment=True|Target::markable_100500221::Target=True case=nom|num=sg|Target::markable_100500222::Target=True|Target::markable_100500222::Preferred=true|gender=fem|Target::markable_100500222::Anaphref=empty|Sentiment::markable_21::Sentiment=True case=acc|gender=fem|pos=True|Target::markable_100500223::Anaphref=empty|num=sg|Target::markable_100500223::Target=True|Target::markable_100500223::Preferred=true|Sentiment::markable_21::Sentiment=True case=nom|num=sg|Sentiment::markable_21::Sentiment=True|Target::markable_100500224::Target=True|Target::markable_100500224::Preferred=true|gender=neut|Target::markable_100500224::Anaphref=empty Target::markable_100500225::Target=True|Target::markable_100500225::Preferred=true|pos=True|Sentiment::markable_21::Sentiment=True|Target::markable_100500225::Anaphref=empty _
328059066423316481	positive	RT @iamrobu: @shibby da musst du halt ins @hiltl oder @tibitsCH gehen :)	RT @iamrobu: @shibby da müssen du halt in @hiltl oder @tibitsCH gehen :)	NE ADJA NN ADV VMFIN PPER ADV APPRART NN KON NN VVFIN ADJA	0/-- 1/UC 0/-- 5/MO 0/-- 5/SB 5/MO 5/MO 8/NK 0/-- 10/CJ 0/-- 12/MO	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=nom|gender=masc|num=sg _ EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
323721323723501568	positive	So 18 Gerade - bin dann mal weg mit Möppi :-)))))))))	so 18 gerade - sein dann mal weg mit Möppi :-)))))))))	ADV CARD ADV $( VAFIN ADV ADV ADV APPR NN ADJA	2/MO 5/SB 2/MO 3/-- 0/-- 5/MO 8/MO 5/MO 11/MO 9/NK 8/CC	_ _ _ _ Target::markable_27::Anaphref=empty|Target::markable_27::Preferred=true|mood=ind|Sentiment::markable_25::Polarity=positive|pers=1|num=sg|tense=pres|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium|Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True case=dat|gender=fem|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_27::Target=True case=dat|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=strong|gender=fem|EmoExpression::markable_26::Polarity=positive|pos=True|num=sg|EmoExpression::markable_26::SubjectiveFact=false|Sentiment::markable_25::Sentiment=True
328038137450344448	positive	Wer ist dein Lieblingslehrer? :) - Albus Dumbeldore! http://t.co/ld9tqEVhSt	wer sein dein Lieblingslehrer? :) - Albus Dumbeldore! http://t.co/ld9tqEVhSt	PWS VAFIN PPOSAT NN ADJA $( NN ADJA NN	2/SB 0/-- 4/NK 2/PD 7/NK 5/-- 0/-- 7/UC 0/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_100500215::SubjectiveFact=false|EmoExpression::markable_100500215::Polarity=positive|EmoExpression::markable_100500215::Sarcasm=false|EmoExpression::markable_100500215::Uncertain=false|EmoExpression::markable_100500215::EmoExpression=True|EmoExpression::markable_100500215::Intensity=medium _ case=nom|gender=masc|Target::markable_29::Target=True|Target::markable_29::Anaphref=empty|Sentiment::markable_28::Polarity=positive|num=sg|Sentiment::markable_28::Intensity=medium|Sentiment::markable_28::Sentiment=True|Sentiment::markable_28::Sarcasm=true|Target::markable_29::Preferred=true case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_28::Sentiment=True case=nom|gender=fem|num=sg
322429010401452032	mixed	@ZaynAriana1234 hahaha woran du mal wieder denkst eyy war klaar !! Aber ich meine ... hallo ? Das wäre ein traum man zayn und fussball *-*	@ZaynAriana1234 hahaha woran du mal wieder denken eyy sein klaar !! aber ich meinen ... hallo ? die sein eine Traum man zayn und fussball *-*	CARD NN PWAV PPER ADV ADV VVFIN NE VAFIN NN ADJA KON PPER VVFIN $. ITJ $. PDS VAFIN ART NN PIS ADJD KON ADJD XY	0/-- 9/PD 7/OP 7/SB 6/MO 7/MO 2/MNR 7/SB 0/-- 9/SB 10/NK 14/JU 14/SB 0/-- 14/-- 17/NK 0/-- 19/SB 0/-- 21/NK 19/PD 23/SB 21/PAR 23/CD 24/CJ 21/NK	_ case=nom|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=2 _ _ pers=2|num=sg|tense=pres|mood=ind _ EmoExpression::markable_100500298::Polarity=negative|mood=ind|EmoExpression::markable_100500298::Sarcasm=false|EmoExpression::markable_100500298::SubjectiveFact=false|pers=3|num=sg|tense=past|EmoExpression::markable_100500298::Uncertain=true|EmoExpression::markable_100500298::Intensity=medium|EmoExpression::markable_100500298::EmoExpression=True case=nom|gender=neut|num=sg|EmoExpression::markable_100500298::EmoExpression=True case=nom|gender=neut|num=sg|pos=True _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=subj case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|*=True|num=sg pos=True _ pos=True EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|EmoExpression::markable_31::SubjectiveFact=false|EmoExpression::markable_31::Polarity=positive
323705409590403072	negative	wohl die wenigsten um diese Zeit:( http://t.co/Iur5jAGZaA	wohl die wenigsten um dies Zeit:( http://t.co/Iur5jAGZaA	ADV ART ADV APPR PDAT NN NE	2/MO 4/SB 4/MO 0/-- 6/NK 4/NK 6/NK	Sentiment::markable_34::Sentiment=True|Sentiment::markable_34::Polarity=negative|Sentiment::markable_34::Sarcasm=false|Sentiment::markable_34::Intensity=medium case=nom|Target::markable_35::Preferred=true|num=pl|Target::markable_35::Anaphref=empty|Sentiment::markable_34::Sentiment=True|*=True|Target::markable_35::Target=True case=nom|*=True|num=pl|Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True case=acc|EmoExpression::markable_33::Sarcasm=false|gender=fem|EmoExpression::markable_33::Intensity=medium|num=sg|EmoExpression::markable_33::Uncertain=false|Sentiment::markable_34::Sentiment=True|EmoExpression::markable_33::Polarity=negative|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::SubjectiveFact=false case=nom|gender=neut|num=sg
328213044507328512	positive	@xo_Yassi__ hahahahaha xD sorry aber... ich kann gerade nicht anders :'D :* ❤	@xo_Yassi__ hahahahaha xD sorry aber... ich können gerade nicht anders :'D :* ❤	NN NE ADJA NN NE PPER VMFIN ADV PTKNEG ADV ADJA NN NE	0/-- 4/AG 4/NK 0/-- 4/NK 7/SB 0/-- 7/MO 7/NG 11/MO 7/MO 13/PNC 11/OA	case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_36::EmoExpression=True|*=True|EmoExpression::markable_36::Intensity=medium|num=sg|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false case=nom|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Sarcasm=false|*=True|EmoExpression::markable_37::EmoExpression=True|num=sg|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive case=acc|*=True|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ EmoExpression::markable_38::Polarity=positive|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::SubjectiveFact=false|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive
328057278311841792	positive	RT @KohleZeichner: @portraetist Die positive Wirkung der Karikatur- und Portrait-Therapie wird geprüft und verifiziert! :)	RT @KohleZeichner: @portraetist die positiv Wirkung die Karikatur- und Portrait-Therapie werden geprüft und verifiziert! :)	NE ADJA NN ART ADJA NN ART TRUNC KON NN VAFIN ADJD KON ADJD ADJA	0/-- 1/UC 0/-- 6/NK 6/NK 11/SB 10/NK 9/CJ 10/CD 6/AG 0/-- 11/PD 12/CD 13/CJ 0/--	case=nom|*=True|num=sg case=nom|*=True|num=sg case=nom|gender=masc|num=sg case=nom|Sentiment::markable_41::Intensity=medium|gender=fem|Sentiment::markable_41::Polarity=positive|Target::markable_100500216::Target=True|Target::markable_100500216::Preferred=true|num=sg|Sentiment::markable_41::Sentiment=True|Target::markable_100500216::Anaphref=empty|Sentiment::markable_41::Sarcasm=false case=nom|EmoExpression::markable_43::Intensity=medium|gender=fem|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|pos=True|Target::markable_100500216::Target=True|num=sg|Sentiment::markable_41::Sentiment=True|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::EmoExpression=True case=nom|gender=fem|num=sg|Sentiment::markable_41::Sentiment=True|Target::markable_100500216::Target=True case=gen|gender=masc|num=pl|Sentiment::markable_41::Sentiment=True _ _ case=gen|gender=masc|num=pl pers=3|num=sg|tense=pres|mood=ind _ _ _ EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
323785547724251136	negative	RT @sepiagold: Helft mir, mein Whatsapp verschickt Audios von einem spanisch sprechenden Baby ! :(	RT @sepiagold: helfen mir, mein Whatsapp verschicken Audios von eine spanisch sprechend Baby ! :(	NE NN VVFIN NE PPOSAT NN VVFIN NN APPR ART ADJD ADJA NN $. ADJA	2/PNC 0/-- 7/MO 3/SB 6/NK 3/OA 0/-- 7/OA 7/MO 13/NK 12/MO 13/NK 9/NK 13/-- 0/--	case=nom|*=True|num=sg case=nom|*=True|num=sg mood=ind|Sentiment::markable_47::Polarity=negative|Sentiment::markable_47::Sentiment=True|pers=3|Sentiment::markable_47::Sarcasm=false|num=sg|tense=pres|Sentiment::markable_47::Intensity=medium case=nom|*=True|num=sg|Sentiment::markable_47::Sentiment=True case=acc|Target::markable_48::Preferred=true|num=sg|Target::markable_48::Target=True|gender=neut|Target::markable_48::Anaphref=empty|Sentiment::markable_47::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True case=acc|gender=neut|num=pl|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_48::Target=True|pos=True|Sentiment::markable_47::Sentiment=True case=dat|num=sg|Target::markable_48::Target=True|gender=masc|pos=True|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=negative|Sentiment::markable_47::Sentiment=True
322387272387420161	positive	@lankar wenn ich dich treffe, reisse ich mich immer ein wenig zusammen :-)	@lankar wenn ich du treffe, reißen ich ich immer eine wenige zusammen :-)	NN KOUS PPER PPER ADJD VVFIN PPER PRF ADV ART PIS PTKVZ $(	0/-- 5/CP 5/SB 5/DA 6/MO 0/-- 6/SB 6/OA 6/MO 11/NK 12/NK 6/OA 12/--	case=nom|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind pos=True mood=ind|Sentiment::markable_49::Polarity=positive|Target::markable_51::Anaphref=empty|pers=1|num=sg|tense=pres|Target::markable_51::Target=True|Sentiment::markable_49::Intensity=medium|Target::markable_51::Preferred=true|Sentiment::markable_49::Sentiment=True|Sentiment::markable_49::Sarcasm=false case=nom|pers=1|num=sg|Target::markable_51::Target=True|*=True|Sentiment::markable_49::Sentiment=True case=acc|pers=1|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True *=True|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True *=True|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|Sentiment::markable_49::Sentiment=True
328107886855217153	positive	@braveheartpirat ich habe 5.30Uhr angefangen ... Direkt mit einem Einsteiger für 20,-Euro nach Oberhausen HBF ;-)	@braveheartpirat ich haben 5.30Uhr anfangen ... Direkt mit eine Einsteiger für 20,-Euro nach Oberhausen HBF ;-)	NN PPER VAFIN NN VVPP $. NN APPR ART NN APPR NN APPR NE NE $(	0/-- 3/SB 0/-- 5/OA 3/OC 5/-- 0/-- 7/MNR 10/NK 8/NK 10/MNR 11/NK 10/MNR 15/PNC 13/NK 15/--	case=nom|gender=masc|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg _ _ pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=acc|gender=neut|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_100500218::Intensity=medium|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::Polarity=positive|EmoExpression::markable_100500218::Sarcasm=false|EmoExpression::markable_100500218::Uncertain=false
328021037486862337	positive	Die @Krissi_76 ist auch so ein flut-strahlendes Sonnenschein'chen :-)	die @Krissi_76 sein auch so eine flut-strahlendes Sonnenschein'chen :-)	ART NN VAFIN ADV ADV ART ADJA NN $(	2/NK 0/-- 0/-- 8/MO 8/MO 8/NK 8/NK 3/SB 8/--	case=nom|Sentiment::markable_52::Intensity=medium|Target::markable_53::Anaphref=empty|gender=fem|Target::markable_53::Preferred=true|Sentiment::markable_52::Polarity=positive|num=sg|Sentiment::markable_52::Sentiment=True|Sentiment::markable_52::Sarcasm=false|Target::markable_53::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_52::Sentiment=True|Target::markable_53::Target=True pers=3|Sentiment::markable_52::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_52::Sentiment=True Sentiment::markable_52::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_52::Sentiment=True case=nom|num=sg|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::EmoExpression=True|gender=neut|pos=True case=nom|gender=neut|num=sg|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::EmoExpression=True EmoExpression::markable_55::EmoExpression=True|EmoExpression::markable_55::Uncertain=false|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Sarcasm=false|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=positive
327367045987569665	negative	WTF geht diese Fahrt denn nie zünde? Mein Kopf und Hals platzen demnächst :(	WTF gehen dies Fahrt denn nie zünde? mein Kopf und Hals platzen demnächst :(	NN VVFIN PDAT NN KON ADV VVFIN PPOSAT NN KON NN VVFIN ADV ADJD	2/SB 0/-- 4/NK 2/SB 2/CD 7/MO 5/CJ 9/NK 12/SB 9/CD 10/CJ 0/-- 12/MO 12/MO	case=nom|EmoExpression::markable_100500219::SubjectiveFact=false|Sentiment::markable_56::Sentiment=True|gender=masc|Sentiment::markable_56::Polarity=negative|Sentiment::markable_56::Sarcasm=false|EmoExpression::markable_100500219::Uncertain=false|EmoExpression::markable_100500219::Intensity=strong|num=sg|Sentiment::markable_56::Intensity=strong|EmoExpression::markable_100500219::Sarcasm=false|EmoExpression::markable_100500219::Polarity=negative|EmoExpression::markable_100500219::EmoExpression=True pers=3|Sentiment::markable_56::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|Target::markable_58::Target=True|num=sg|Target::markable_58::Anaphref=empty|Target::markable_58::Preferred=true|Sentiment::markable_56::Sentiment=True|gender=fem case=acc|gender=fem|Target::markable_58::Target=True|num=sg|Sentiment::markable_56::Sentiment=True EmoExpression::markable_100500299::Polarity=negative|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_100500299::EmoExpression=True|EmoExpression::markable_100500299::Uncertain=true|EmoExpression::markable_100500299::Intensity=medium|EmoExpression::markable_100500299::Sarcasm=false|EmoExpression::markable_100500299::SubjectiveFact=false Sentiment::markable_56::Sentiment=True|EmoExpression::markable_100500299::EmoExpression=True pers=3|Sentiment::markable_56::Sentiment=True|num=sg|tense=past|mood=ind case=nom|EmoExpression::markable_59::Polarity=negative|EmoExpression::markable_59::EmoExpression=True|Sentiment::markable_56::Sentiment=True|gender=masc|EmoExpression::markable_59::Sarcasm=false|num=sg|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|EmoExpression::markable_59::Uncertain=true case=nom|gender=masc|num=sg|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_59::EmoExpression=True Sentiment::markable_56::Sentiment=True|EmoExpression::markable_59::EmoExpression=True Sentiment::markable_56::Sentiment=True|gender=neut|*=True|num=sg|EmoExpression::markable_59::EmoExpression=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_59::EmoExpression=True Sentiment::markable_56::Sentiment=True EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|Sentiment::markable_56::Sentiment=True|pos=True|EmoExpression::markable_60::Uncertain=false|EmoExpression::markable_60::Polarity=negative|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false
327500423281913857	positive	@miaklaraundich Oder der nackte Mann bzw. Frau :)	@miaklaraundich oder die nackt Mann bzw. Frau :)	NN KON ART ADJA NN KON NN ADJA	0/-- 5/JU 5/NK 5/NK 0/-- 5/CD 6/CJ 5/PAR	case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Sarcasm=false|gender=fem|EmoExpression::markable_61::Intensity=medium|pos=True|num=sg|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True
328153402053906432	positive	Eigentlich wollte ich ja heute Bundesliga schauen... eigentlich. :-(	eigentlich wollen ich ja heute Bundesliga schauen... eigentlich. :-(	ADV VMFIN PPER ADV ADV NN NE NE $(	2/MO 0/-- 2/SB 2/MO 2/MO 2/SB 6/NK 0/-- 0/--	Sentiment::markable_62::Sentiment=True|Sentiment::markable_62::Intensity=medium|Sentiment::markable_62::Sarcasm=false|Sentiment::markable_62::Polarity=positive Sentiment::markable_62::Sentiment=True|EmoExpression::markable_64::Sarcasm=false|EmoExpression::markable_64::SubjectiveFact=false|mood=ind|EmoExpression::markable_64::EmoExpression=True|pers=1|EmoExpression::markable_64::Intensity=medium|num=sg|tense=past|EmoExpression::markable_64::Polarity=positive|EmoExpression::markable_64::Uncertain=false case=nom|pers=1|num=sg|Sentiment::markable_62::Sentiment=True|*=True|Source::markable_66::Source=True|Source::markable_66::Anaphref=empty Sentiment::markable_62::Sentiment=True Sentiment::markable_62::Sentiment=True case=nom|num=sg|Target::markable_63::Target=True|Sentiment::markable_62::Sentiment=True|gender=fem|Target::markable_63::Anaphref=empty|Target::markable_63::Preferred=true case=nom|gender=fem|num=sg|Sentiment::markable_62::Sentiment=True Sentiment::markable_62::Sentiment=True|pos=True EmoExpression::markable_65::Uncertain=false|Sentiment::markable_62::Sentiment=True|EmoExpression::markable_65::Polarity=negative|EmoExpression::markable_65::Sarcasm=false|EmoExpression::markable_65::Intensity=medium|EmoExpression::markable_65::EmoExpression=True|EmoExpression::markable_65::SubjectiveFact=false
323698926370824192	positive	@haenni__luca schon auf dem weg nach köln :-)	@haenni__luca schon auf die weg nach Köln :-)	NN ADV APPR ART ADV APPR NE $(	0/-- 3/MO 0/-- 5/NK 3/NK 5/MO 6/NK 7/--	case=nom|gender=neut|num=sg _ _ case=dat|gender=masc|num=sg _ _ case=dat|gender=neut|num=sg EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::Polarity=positive|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::SubjectiveFact=false|EmoExpression::markable_67::EmoExpression=True
328188668714029058	positive	So jetzt ist Feierabend... :) Heute hat auch für mich die Hochzeizssaison begonnen. Das Wetter war zwar nicht... http://t.co/jvavGhe7Xl	so jetzt sein Feierabend... :) heute haben auch für ich die Hochzeizssaison begonnen. die Wetter sein zwar nicht... http://t.co/jvavGhe7Xl	ADV ADV VAFIN ADJA NN ADV VAFIN ADV APPR PPER ART NN NE ART NN VAFIN ADV ADJA NN	2/MO 3/MO 0/-- 3/SB 7/SB 5/MNR 0/-- 9/MO 7/MO 9/NK 12/NK 7/OA 12/NK 15/NK 16/SB 0/-- 16/MO 16/MO 0/--	Sentiment::markable_68::Intensity=medium|Sentiment::markable_68::Sarcasm=false|Sentiment::markable_68::Polarity=positive|Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True pers=3|Sentiment::markable_68::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_68::Sentiment=True case=nom|EmoExpression::markable_69::Polarity=positive|gender=fem|EmoExpression::markable_69::EmoExpression=True|Sentiment::markable_68::Sentiment=True|EmoExpression::markable_69::Intensity=medium|num=sg|EmoExpression::markable_69::Sarcasm=false|EmoExpression::markable_69::SubjectiveFact=false|EmoExpression::markable_69::Uncertain=false _ pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|*=True|num=sg|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|*=True|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ _
