324257473294917633	negative	@Schlumpfkanone Auf dem Tisch liegen Mozart Kugeln, ber ich will mich nicht bewegen... :(	@Schlumpfkanone auf die Tisch liegen Mozart Kugeln, ber ich wollen ich nicht bewegen... :(	NN APPR ART NN VVFIN NE NE VVFIN PPER VMFIN PPER PTKNEG ADJA ADJA	0/-- 5/MO 4/NK 2/NK 0/-- 7/PNC 5/DA 5/MO 8/SB 8/MO 10/OA 10/NG 8/MO 0/--	case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative case=nom|Target::markable_3::Anaphref=empty|*=True|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|Target::markable_3::Target=True pers=1|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=acc|pers=1|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True
318112734157881344	positive	"@littlewisehen: "Die GRÜNEN werden alles mitmachen, solange sie nur ihre Dienstwagen bekommen." :-)" Und dabei fuhren die früher Fahrrad!	"@littlewisehen: "Die grünen werden alle mitmachen, solange sie nur ihr Dienstwagen bekommen." :-)" und dabei fahren die früh Fahrrad!	NN NN VVINF VAINF PIS VVFIN KOUS PPER ADV PPOSAT NN ADJA NN KON PAV VVFIN ART ADJD ADJA	0/-- 4/OC 4/OC 0/-- 6/NK 4/OC 12/CP 12/SB 11/MO 11/NK 12/OA 6/MO 16/SB 13/CD 14/NK 0/-- 19/NK 19/MO 16/SB	case=nom|gender=masc|num=sg _ _ pers=3|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ case=nom|gender=fem|num=sg|pers=3 _ case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl case=acc|EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|gender=masc|pos=True|num=pl|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium pos=True _ _ pers=3|num=pl|tense=past|mood=ind case=nom|gender=masc|num=pl comp=True case=acc|gender=fem|num=pl|pos=True
318528604239720449	negative	RT @GrumpyMerkel: :-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	RT @GrumpyMerkel: :-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	NE ADJA $( NN NE ART NN ART NN NE	2/SB 0/-- 4/-- 0/-- 4/NK 7/NK 4/DA 9/NK 7/AG 9/NK	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True EmoExpression::markable_100500210::Polarity=negative|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::Uncertain=false|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::SubjectiveFact=false|EmoExpression::markable_100500210::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
333323056183402496	negative	@pfefferstreu Heisst, Merkel ist stets lull und lalle? . -))	@pfefferstreu Heisst, Merkel sein stets lullen und lalle? . -))	NN NE NE VAFIN ADV VVIMP KON VVFIN $. ADJA	0/-- 3/PNC 4/SB 0/-- 4/MO 4/CJ 4/CD 7/CJ 0/-- 0/--	pos=True case=nom|gender=neut|num=sg case=nom|Target::markable_100500212::Anaphref=empty|Sentiment::markable_100500211::Sentiment=True|Sentiment::markable_100500211::Sarcasm=false|gender=neut|Target::markable_100500212::Target=True|Sentiment::markable_100500211::Intensity=weak|num=sg|Target::markable_100500212::Preferred=true|Sentiment::markable_100500211::Polarity=negative pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Sarcasm=false|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false|pos=True|EmoExpression::markable_100500213::Intensity=weak|EmoExpression::markable_100500213::Polarity=negative Sentiment::markable_100500211::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_18::EmoExpression=True
317749432114356224	negative	@deppentoeter @Glamypunx wir brauchen die doch gar nicht bis September hat Merkel den Euro schon ganz alleine ruiniert:).	@deppentoeter @Glamypunx wir brauchen die doch gar nicht bis September haben Merkel die Euro schon ganz alleine ruiniert:).	ADJA NN PPER VVFIN ART ADV ADV PTKNEG APPR NN VAFIN NE ART NN ADV ADV ADV ADJA	0/-- 0/-- 4/SB 0/-- 4/OA 4/MO 8/MO 4/NG 4/MO 9/NK 9/CJ 11/SB 14/NK 4/OA 4/MO 17/MO 4/MO 4/MO	case=nom|gender=masc|num=sg|pos=True _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=sg _ _ _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_100500341::EmoExpression=True|EmoExpression::markable_100500341::Intensity=medium|EmoExpression::markable_100500341::Uncertain=false|EmoExpression::markable_100500341::SubjectiveFact=false|EmoExpression::markable_100500341::Polarity=negative|EmoExpression::markable_100500341::Sarcasm=false EmoExpression::markable_100500341::EmoExpression=True EmoExpression::markable_100500341::EmoExpression=True _
338015719956553728	negative	RT @RAStadler: Natürlich war die FDP eigentlich schon immer gegen das Drohnenprojekt. ;-) http://t.co/RneT0QTQjV	RT @RAStadler: natürlich sein die FDP eigentlich schon immer gegen die Drohnenprojekt. ;-) http://t.co/RneT0QTQjV	NE ADJD ADJD VAFIN ART NE ADV ADV ADV APPR ART NN $( NE	0/-- 1/PD 4/PD 0/-- 6/NK 4/SB 4/MO 9/MO 4/MO 4/MO 12/NK 10/NK 14/-- 0/--	case=nom|*=True|num=sg pos=True Sentiment::markable_100500216::Sentiment=True|Sentiment::markable_100500216::Sarcasm=false|pos=True|Sentiment::markable_100500216::Intensity=medium|Sentiment::markable_100500216::Polarity=negative Sentiment::markable_100500216::Sentiment=True|mood=ind|EmoExpression::markable_100500218::Uncertain=false|pers=3|EmoExpression::markable_100500218::Intensity=medium|num=sg|tense=past|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::Polarity=negative|EmoExpression::markable_100500218::Sarcasm=false case=nom|Source::markable_100500217::Source=True|num=sg|Sentiment::markable_100500216::Sentiment=True|Source::markable_100500217::Anaphref=empty|gender=fem case=nom|gender=fem|Source::markable_100500217::Source=True|num=sg|Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True|EmoExpression::markable_100500218::EmoExpression=True case=acc|Target::markable_100500219::Preferred=true|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500219::Target=True|gender=neut|Target::markable_100500219::Anaphref=empty case=acc|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _
334028793075351552	negative	RT @Mic_Ruby: Wie bei #Apple, das selbe Prinzip #Daimler :-( echt #grumpy #haf #hartaberfair #Lindner #FDP &lt;- BUH	RT @Mic_Ruby: wie bei #Apple, die selbe Prinzip #Daimler :-( echt #grumpy #haf #hartaberfair #Lindner #FDP &lt;- buhen	NE ADJD KOKOM APPR NN PDS PDAT NN NN $( ADJD ADJD ADJD ADJA NN NN TRUNC VVIMP	0/-- 1/PD 4/CM 18/MO 4/NK 8/NK 8/NK 5/AG 18/PD 9/-- 12/MO 15/NK 14/MO 15/NK 9/CJ 15/NK 9/AG 0/--	case=nom|*=True|num=sg pos=True _ _ case=dat|gender=masc|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_21::EmoExpression=True|gender=masc|EmoExpression::markable_21::Intensity=medium|num=sg|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=false pos=True EmoExpression::markable_100500342::Intensity=medium|EmoExpression::markable_100500342::SubjectiveFact=false|EmoExpression::markable_100500342::EmoExpression=True|EmoExpression::markable_100500342::Polarity=negative|EmoExpression::markable_100500342::Sarcasm=false|EmoExpression::markable_100500342::Uncertain=false pos=True case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg case=nom|gender=fem|num=sg _ EmoExpression::markable_100500215::SubjectiveFact=false|EmoExpression::markable_100500215::Polarity=negative|EmoExpression::markable_100500215::Sarcasm=false|EmoExpression::markable_100500215::Uncertain=false|EmoExpression::markable_100500215::EmoExpression=True|EmoExpression::markable_100500215::Intensity=medium
320082761090224128	positive	Ich glaub es nicht ;-) - Die Gelben jetzt auch! #cdu #spd #fdp #ltnrw http://t.co/PA9LFaHFU8 http://t.co/lTvqte2MOo	ich glauben es nicht ;-) - die Gelbe jetzt auch! #cdu #spd #fdp #ltnrw http://t.co/PA9LFaHFU8 http://t.co/lTvqte2MOo	PPER VVIMP PPER PTKNEG $( $( ART NN ADV ADJA NN ADJA NN ADJD CARD NN	4/SB 1/NK 2/OA 0/-- 4/-- 7/-- 8/NK 10/OA 10/MO 0/-- 0/-- 13/NK 11/NK 15/MO 16/NK 11/PD	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _ case=nom|gender=neut|num=pl|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pos=True _ case=acc|gender=fem|num=pl
322440939207528448	positive	Dann war doch tatsächlich heute der Bundespräsident in unserer stadt! Endlich auch mal was los hier :)	dann sein doch tatsächlich heute die Bundespräsident in unser stadt! endlich auch mal was los hier :)	ADV VAFIN ADV ADJD ADV ART NN APPR PPOSAT ADJA ADV ADV ADV PIS ADJD ADV ADJA	2/MO 0/-- 2/MO 2/MO 2/MO 7/NK 2/SB 2/MO 10/NK 8/NK 17/MO 15/MO 15/MO 15/NK 17/MO 17/MO 0/--	_ pers=3|num=sg|tense=past|mood=ind _ pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True Sentiment::markable_24::Intensity=medium|EmoExpression::markable_100500221::SubjectiveFact=false|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_100500221::Sarcasm=false|Sentiment::markable_24::Polarity=positive|EmoExpression::markable_100500221::Polarity=positive|EmoExpression::markable_100500221::EmoExpression=True|Target::markable_25::Target=True|Target::markable_25::Preferred=true|Sentiment::markable_24::Sarcasm=false|EmoExpression::markable_100500221::Uncertain=false|Target::markable_25::Anaphref=empty|EmoExpression::markable_100500221::Intensity=medium Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_24::Sentiment=True|Target::markable_25::Target=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True case=dat|EmoExpression::markable_23::SubjectiveFact=false|gender=fem|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|Sentiment::markable_24::Sentiment=True|num=sg|EmoExpression::markable_23::EmoExpression=True|comp=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Sarcasm=false
335852189388001280	mixed	Wir sind schon ganz gespannt auf den ESC Beitrag von Nordkorea :) http://t.co/JmrYWD4els	wir sein schon ganz gespannt auf die ESC Beitrag von Nordkorea :) http://t.co/JmrYWD4els	PPER VAFIN ADV ADV ADJD APPR ART NE NN APPR NE ADJA NN	2/SB 0/-- 2/MO 5/MO 2/MO 2/MO 9/NK 9/NK 6/NK 9/PG 13/AG 13/NK 10/NK	case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind _ _ pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|EmoExpression::markable_100500343::Uncertain=false|EmoExpression::markable_100500343::Intensity=medium|EmoExpression::markable_100500343::Sarcasm=false|EmoExpression::markable_100500343::Polarity=negative|gender=neut|EmoExpression::markable_100500343::EmoExpression=True|num=sg|EmoExpression::markable_100500343::SubjectiveFact=true case=dat|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=neut|EmoExpression::markable_26::Polarity=positive|num=sg|EmoExpression::markable_26::SubjectiveFact=false case=gen|gender=neut|num=sg
332241137748287488	positive	@Eaglepowder Die treten bei jeder Wahl an:) #ampunkt	@Eaglepowder die treten bei jede Wahl an:) #ampunkt	NN PDS VVFIN APPR PIAT NN NN NN	0/-- 3/SB 0/-- 3/MO 6/NK 4/NK 3/OA 7/NK	_ case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=nom|gender=neut|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|num=sg|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false case=nom|gender=neut|num=sg
335153276972564480	mixed	"Wenn Sie hier so weitermachen hat Frau Merkel bald einen Hals." ;-)	"Wenn Sie hier so weitermachen haben Frau Merkel bald eine Hals." ;-)	NN PPER ADV ADV VVINF VAFIN NN NE ADV ART NN $(	5/OA 6/SB 5/MO 5/MO 6/OC 0/-- 6/SB 7/NK 6/MO 11/NK 6/OA 0/--	case=nom|gender=masc|num=sg case=nom|*=True|num=pl|pers=3 _ _ _ EmoExpression::markable_100500220::SubjectiveFact=false|EmoExpression::markable_100500220::Polarity=negative|mood=ind|EmoExpression::markable_100500220::Sarcasm=false|EmoExpression::markable_100500220::Uncertain=false|EmoExpression::markable_100500220::Intensity=medium|pers=3|EmoExpression::markable_100500220::EmoExpression=True|num=sg|tense=pres case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=masc|EmoExpression::markable_100500220::EmoExpression=True|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
335167640039464960	positive	Das Handelsblatt mit einem zehnseitigen Spezial "150 Jahre SPD". Da bin ich aber mal gespannt :) http://t.co/G6cmmKlim8	die Handelsblatt mit eine zehnseitig Spezial "150 Jahr SPD". da sein ich aber mal gespannt :) http://t.co/G6cmmKlim8	ART NN APPR ART ADJA NN CARD NN NE ADV VAFIN PPER ADV ADV ADJD ADJA NN	2/NK 0/-- 2/MNR 6/NK 6/NK 3/NK 8/NK 2/PAR 8/NK 11/MO 0/-- 11/SB 11/MO 11/MO 16/MO 17/NK 11/PD	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ case=nom|gender=neut|num=pl case=nom|gender=masc|num=sg _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ pos=True case=dat|EmoExpression::markable_29::Intensity=medium|gender=masc|pos=True|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=pl|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::SubjectiveFact=false case=dat|gender=masc|num=pl
335485629439832064	positive	@ZDF da bleibt ja dann nicht mehr viel Zeit für die Lieblingspartei der heute-show,der FDP;-)!	@ZDF da bleiben ja dann nicht mehr viele Zeit für die Lieblingspartei die heute-show,der FDP;-)!	NN ADV VVFIN ADV ADV PTKNEG ADV PIAT NN APPR ART NN ART NN ADJA	0/-- 3/MO 0/-- 3/MO 3/MO 3/NG 6/MO 9/NK 15/OA 9/MNR 12/NK 10/NK 14/NK 12/AG 3/OC	case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ *=True case=acc|gender=fem|num=sg _ case=acc|Sentiment::markable_100500225::Sentiment=True|num=sg|gender=fem|Sentiment::markable_100500225::Sarcasm=false|Sentiment::markable_100500225::Polarity=positive|Sentiment::markable_100500225::Intensity=medium case=acc|gender=fem|num=sg|Sentiment::markable_100500225::Sentiment=True case=gen|Target::markable_100500226::Target=True|num=pl|Sentiment::markable_100500225::Sentiment=True|Target::markable_100500226::Anaphref=empty|gender=masc|Target::markable_100500226::Preferred=true case=gen|gender=masc|EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|num=pl|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false case=gen|gender=masc|num=pl|pos=True
335147496026275840	positive	RT @tj_tweets: Der Abend geht, @DoroBaer erfrischt weiterhin den Bundestag :) #mitternachtsberatung http://t.co/vNstMEQKQP	RT @tj_tweets: die Abend geht, @DoroBaer erfrischen weiterhin die Bundestag :) #mitternachtsberatung http://t.co/vNstMEQKQP	NE NN ART NN NE NN VVFIN ADV ART NN ADJA NN NN	2/AG 0/-- 4/NK 0/-- 6/PNC 4/NK 0/-- 7/MO 10/NK 7/OA 12/NK 10/AG 7/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|Sentiment::markable_100500229::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|gender=masc|Target::markable_100500230::Anaphref=empty|Sentiment::markable_100500229::Polarity=positive|num=sg|Sentiment::markable_100500229::Sarcasm=false|Target::markable_100500230::Target=True|Target::markable_100500230::Preferred=true EmoExpression::markable_100500231::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|EmoExpression::markable_100500231::Polarity=positive|EmoExpression::markable_100500231::SubjectiveFact=false|EmoExpression::markable_100500231::EmoExpression=True|EmoExpression::markable_100500231::Uncertain=false|EmoExpression::markable_100500231::Sarcasm=false Sentiment::markable_100500229::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500229::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500229::Sentiment=True case=gen|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|Sentiment::markable_100500229::Sentiment=True|gender=fem|pos=True|EmoExpression::markable_35::EmoExpression=True|num=sg|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=positive case=gen|gender=fem|num=sg case=nom|gender=fem|num=sg
325355598579372033	positive	@TimSchmuckall @MeikeBruhns Das stimmt. Ist aber mit Merkel und Schwarz-Gelb genauso ;-)	@TimSchmuckall @MeikeBruhns die stimmt. sein aber mit Merkel und Schwarz-Gelb genauso ;-)	NN NN ART NN VAFIN ADV APPR NE KON NN ADV $(	0/-- 0/-- 4/NK 0/-- 0/-- 5/MO 5/MO 7/NK 8/CD 9/CJ 5/PD 11/--	case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|*=True|num=sg _ case=dat|*=True|num=sg _ EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
337296596230340608	negative	RT @DirtyDickDaddy: #Merkel hat Deutschland ausgedient, werft sie auf die Müllhalde der Geschichte! :(	RT @DirtyDickDaddy: #Merkel haben Deutschland ausgedient, werfen sie auf die Müllhalde die Geschichte! :(	NE ADJA NN VAFIN NE NE VVFIN PPER APPR ART NN ART ADJA NN	0/-- 1/PNC 4/SB 0/-- 4/SB 7/OA 4/OC 7/SB 7/MO 11/NK 9/NK 13/NK 11/AG 0/--	case=nom|*=True|num=sg *=True|pos=True case=nom|*=True|num=sg|Target::markable_100500222::Target=True|Sentiment::markable_37::Sentiment=True|Sentiment::markable_37::Sarcasm=false|Target::markable_100500222::Preferred=true|Sentiment::markable_37::Polarity=negative|Target::markable_100500222::Anaphref=empty|Sentiment::markable_37::Intensity=medium pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_37::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_37::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_37::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_37::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True|pers=3 Sentiment::markable_37::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True case=acc|EmoExpression::markable_100500223::Sarcasm=false|EmoExpression::markable_100500223::EmoExpression=True|EmoExpression::markable_100500223::SubjectiveFact=false|gender=fem|EmoExpression::markable_100500223::Polarity=negative|num=sg|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_100500223::Intensity=medium|EmoExpression::markable_100500223::Uncertain=false case=gen|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_39::Polarity=negative|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
332259786190102528	positive	@wiemerspricht Rösler und Brüderle wegen deren Parteitagsreden wären der "Rede wert", oder gab's das schon ? :-) ansonsten gerne #CDU :-)	@wiemerspricht Rösler und Brüderle wegen die Parteitagsrede sein die "Rede wert", oder geben die schon ? :-) ansonsten gerne #CDU :-)	NN NN KON NN APPR PDAT NN VAFIN ART NN NE KON VVFIN PDS ADV $. $( ADV ADV NN $(	0/-- 8/SB 2/CD 3/CJ 2/MNR 7/NK 5/NK 0/-- 10/NK 8/SB 10/NK 8/CD 12/CJ 13/OA 13/MO 15/-- 18/-- 20/MO 20/MO 0/-- 20/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=pl _ case=nom|gender=masc|num=pl _ case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl pers=3|num=pl|tense=past|mood=subj case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive _ Sentiment::markable_41::Intensity=medium|EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True|Sentiment::markable_41::Polarity=positive|Sentiment::markable_41::Sentiment=True|Sentiment::markable_41::Sarcasm=false|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false case=nom|num=sg|Sentiment::markable_41::Sentiment=True|Target::markable_42::Target=True|gender=fem|Target::markable_42::Preferred=true|Target::markable_42::Anaphref=empty EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|Sentiment::markable_41::Sentiment=True|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
322803491292725248	positive	Stimmt, da war ja noch was ;-) RT @zeckenkamm: Unter Zeitdruck #Mehdorn #Berlin #Hauptstadtbahnhof #ber http://t.co/8Di2fvneD6	Stimmt, da sein ja noch was ;-) RT @zeckenkamm: unter Zeitdruck #Mehdorn #Berlin #Hauptstadtbahnhof #ber http://t.co/8Di2fvneD6	NE ADV VAFIN ADV ADV PIS $( NE NN APPR NN NN NE NN ADJD CARD	3/SB 1/MO 0/-- 3/MO 3/MO 3/SB 6/-- 9/PNC 3/PD 14/MO 10/NK 11/NK 12/NK 0/-- 16/MO 14/NK	case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=past|mood=ind _ _ case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|gender=neut|pos=True|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Sarcasm=false|EmoExpression::markable_45::SubjectiveFact=false|num=sg|EmoExpression::markable_45::Uncertain=false case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg _ _
