322318691100397568	positive	@EinfachJohannes die rote hose ist ja mal mega *-*	@EinfachJohannes die rot Hose sein ja mal mega *-*	NN ART ADJA NN VAFIN ADV ADV NN XY	0/-- 4/NK 4/NK 5/SB 0/-- 5/MO 8/MO 5/PD 8/NK	case=nom|gender=neut|num=sg case=nom|Target::markable_3::Anaphref=empty|gender=fem|Target::markable_3::Preferred=true|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Intensity=medium|Sentiment::markable_2::Sarcasm=false|Sentiment::markable_2::Polarity=positive|Sentiment::markable_2::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=fem|pos=True|Sentiment::markable_2::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_2::Sentiment=True Sentiment::markable_2::Sentiment=True Sentiment::markable_2::Sentiment=True EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::EmoExpression=True|*=True|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|Sentiment::markable_2::Sentiment=True EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|*=True|EmoExpression::markable_1::Sarcasm=false|Sentiment::markable_2::Sentiment=True|EmoExpression::markable_1::Intensity=medium
322408650880724992	positive	Uh meine Red Sox erster in der AL East :-)) #MLB	uh meinen red Sox erst in die AL east :-)) #MLB	ITJ VVFIN NE NE ADJA APPR ART NE FM ADJA NN	2/DM 0/-- 4/PNC 2/SB 6/SB 2/MO 8/NK 6/NK 11/AG 11/NK 2/OA	_ pers=3|num=sg|tense=pres|mood=subj case=nom|*=True|num=sg case=dat|*=True|num=sg case=nom|gender=masc|num=sg|pos=True _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|gender=fem|EmoExpression::markable_31::Polarity=positive|pos=True|num=sg|EmoExpression::markable_31::SubjectiveFact=false case=dat|gender=fem|num=sg
328228385073549312	negative	@Elalovesbieber und wie war es? *-* ❤❤ nein, ich durfte nicht :-(	@Elalovesbieber und wie sein es? *-* ❤❤ nein, ich dürfen nicht :-(	NN KON KOKOM VAFIN ADJA XY NN NE PPER VMFIN PTKNEG $(	0/-- 4/JU 4/CM 0/-- 4/MO 0/-- 0/-- 7/NK 10/SB 7/RS 10/NG 11/--	case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|EmoExpression::markable_32::Polarity=positive|gender=fem|EmoExpression::markable_32::EmoExpression=True|EmoExpression::markable_32::Intensity=medium|num=sg|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|EmoExpression::markable_33::Sarcasm=false|gender=fem|EmoExpression::markable_33::Intensity=medium|num=sg|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::SubjectiveFact=false case=nom|gender=fem|num=sg case=nom|Sentiment::markable_34::Sarcasm=false|Sentiment::markable_34::Intensity=medium|Target::markable_35::Anaphref=empty|Target::markable_35::Preferred=true|*=True|Target::markable_35::Target=True|pers=1|num=sg|Sentiment::markable_34::Sentiment=True|Sentiment::markable_34::Polarity=negative pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True Sentiment::markable_34::Sentiment=True|EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=negative|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
328189371675201536	negative	@SPORT1_Dopa @VfB @MOpdenhoevel @Matthias_aus_Do Herr Opdenhövel :-( oh oh oh was sind denn die Themen u.a. ?	@SPORT1_Dopa @VfB @MOpdenhoevel @Matthias_aus_Do Herr Opdenhövel :-( oh oh oh was sein denn die Thema u.a. ?	NN ADJA NN NN NN ADJA $( ITJ ITJ ITJ PWS VAFIN ADV ART NN ADV $.	0/-- 0/-- 0/-- 0/-- 12/PD 5/NK 6/-- 5/NK 5/NK 5/NK 5/NK 0/-- 12/MO 15/NK 12/SB 12/MO 16/--	case=nom|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|EmoExpression::markable_37::Uncertain=false|gender=masc|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::EmoExpression=True|num=sg|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=negative _ _ _ _ pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl _ _
323777519788646401	positive	Jetzt mit dem gammelbike zu jan :)	jetzt mit die gammelbike zu Jan :)	ADV APPR ART NN APPR NE ADJA	7/MO 7/MO 4/NK 2/NK 4/MNR 5/NK 0/--	Sentiment::markable_100500224::Sarcasm=false|Target::markable_100500225::Preferred=true|Sentiment::markable_100500224::Sentiment=True|Target::markable_100500225::Target=True|Sentiment::markable_100500224::Polarity=positive|Sentiment::markable_100500224::Intensity=medium|Target::markable_100500225::Anaphref=empty Target::markable_100500225::Target=True|Sentiment::markable_100500224::Sentiment=True case=dat|gender=neut|num=sg|Target::markable_100500225::Target=True|Sentiment::markable_100500224::Sentiment=True case=dat|gender=neut|num=sg|Target::markable_100500225::Target=True|Sentiment::markable_100500224::Sentiment=True Target::markable_100500225::Target=True|Sentiment::markable_100500224::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_100500225::Target=True|Sentiment::markable_100500224::Sentiment=True case=nom|EmoExpression::markable_38::Sarcasm=false|Sentiment::markable_100500224::Sentiment=True|EmoExpression::markable_38::EmoExpression=True|gender=masc|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium|EmoExpression::markable_38::Polarity=positive|num=sg|comp=True|EmoExpression::markable_38::SubjectiveFact=false
322328925084712961	positive	@JustynaGrund Sitze gegenüber der Messe im Hotel Ibis. Beim Kaffee ;-)	@JustynaGrund Sitz gegenüber die Messe in Hotel Ibis. bei Kaffee ;-)	NN NN APPR ART NN APPRART NN NE APPRART NN $(	0/-- 0/-- 2/MNR 5/NK 3/NK 5/MNR 6/NK 7/NK 0/-- 9/NK 10/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=pl _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg *=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
327960435510898689	positive	@Ostseeliebhaber oh, oh. Sollte man nicht tun :) wieviele Nächte hast du?	@Ostseeliebhaber oh, oh. sollen man nicht tun :) wieviele Nacht haben du?	NN NE NE VMFIN PIS PTKNEG VVFIN ADJA PWS NN VAFIN ADJA	0/-- 3/PNC 0/-- 0/-- 4/SB 7/NG 4/OC 10/NK 10/NK 11/SB 7/OC 11/MO	case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg _ _ case=nom|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::SubjectiveFact=false|*=True|pos=True|EmoExpression::markable_40::Sarcasm=false|num=pl|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive case=nom|*=True|num=pl case=acc|gender=fem|num=sg pers=2|num=sg|tense=pres|mood=ind _
323692939089936384	negative	Halbe Stunde #BVB-Hotline und kein Durchkommen :-(	halb Stunde #BVB-Hotline und keine Durchkommen :-(	ADJA NN NN KON PIAT NN $(	2/NK 0/-- 2/NK 2/CD 6/NK 4/CJ 6/--	case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|Sentiment::markable_41::Intensity=medium|gender=neut|Sentiment::markable_41::Polarity=negative|num=sg|Sentiment::markable_41::Sentiment=True|Sentiment::markable_41::Sarcasm=false|Target::markable_43::Target=True|Target::markable_43::Preferred=true|Target::markable_43::Anaphref=empty case=nom|EmoExpression::markable_100500333::EmoExpression=True|gender=neut|EmoExpression::markable_100500333::Sarcasm=false|EmoExpression::markable_100500333::Polarity=positive|num=sg|Sentiment::markable_41::Sentiment=True|EmoExpression::markable_100500333::Intensity=weak|EmoExpression::markable_100500333::SubjectiveFact=false|Target::markable_43::Target=True|EmoExpression::markable_100500333::Uncertain=true Sentiment::markable_41::Sentiment=True|EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=negative|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
328187670209654784	negative	@Sternemaedchen warum lese ich davon eigentlich immer erst, wenn es vorbei ist? :(	@Sternemaedchen warum lesen ich davon eigentlich immer erst, wenn es vorbei ist? :(	NN PWAV VVFIN PPER PAV ADV ADV VVFIN KOUS PPER ADV ADJA NN	0/-- 3/MO 0/-- 3/SB 4/NK 3/MO 3/MO 3/MO 3/MO 3/EP 3/MO 3/MO 0/--	_ Sentiment::markable_44::Sarcasm=false|Sentiment::markable_44::Sentiment=True|Sentiment::markable_44::Polarity=negative|Sentiment::markable_44::Intensity=medium Target::markable_46::Target=True|mood=ind|pers=1|num=sg|tense=pres|Target::markable_46::Anaphref=empty|Target::markable_46::Preferred=true|Sentiment::markable_44::Sentiment=True case=nom|pers=1|num=sg|Target::markable_46::Target=True|*=True|Sentiment::markable_44::Sentiment=True Target::markable_46::Target=True|Sentiment::markable_44::Sentiment=True Target::markable_46::Target=True|Sentiment::markable_44::Sentiment=True Target::markable_46::Target=True|Sentiment::markable_44::Sentiment=True Target::markable_46::Target=True|Sentiment::markable_44::Sentiment=True Target::markable_46::Target=True|Sentiment::markable_44::Sentiment=True case=nom|pers=3|num=sg|Target::markable_46::Target=True|gender=neut|Sentiment::markable_44::Sentiment=True Target::markable_46::Target=True|Sentiment::markable_44::Sentiment=True case=acc|gender=neut|num=pl|pos=True|Sentiment::markable_44::Sentiment=True EmoExpression::markable_45::SubjectiveFact=false|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|EmoExpression::markable_45::Polarity=negative|Sentiment::markable_44::Sentiment=True|EmoExpression::markable_45::Uncertain=false|EmoExpression::markable_45::Sarcasm=false
327180954282115072	positive	@lenas_view Ich bin morgen bei @TvTotal und bring Dir Fanpost mit! =:)	@lenas_view ich sein morgen bei @TvTotal und bringen du Fanpost mit! =:)	NN PPER VAFIN ADV APPR NN KON VVIMP PPER NN ADJA NN	0/-- 3/SB 0/-- 3/MO 3/MO 5/NK 10/JU 10/PNC 8/OA 0/-- 10/NK 0/--	_ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=sg _ pers=3|num=sg|tense=past|mood=ind case=dat|*=True|num=sg|pers=2 case=nom|gender=masc|num=sg _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium
327279083459325952	positive	@_MissFelton_ jaa *-* zufall das der auch noch harry heisst :D	@_MissFelton_ jaa *-* zufall die die auch noch Harry heißen :D	NN NE XY VVFIN PDS ART ADV ADV NE VVFIN ADJA	0/-- 9/PNC 9/PNC 9/PNC 4/SB 9/NK 9/MO 9/MO 10/SB 0/-- 10/MO	_ _ EmoExpression::markable_49::Polarity=positive|EmoExpression::markable_49::Sarcasm=false|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::SubjectiveFact=false|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=dat|gender=fem|num=sg _ _ case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::SubjectiveFact=false|num=pl|EmoExpression::markable_48::Intensity=strong|EmoExpression::markable_48::EmoExpression=True
328243252316737538	positive	RT @therealmoneyboy: Hat ein Fan heute zum Geburtstag bekommen. :) SWAG http://t.co/TwZm1oT4M2	RT @therealmoneyboy: haben eine Fan heute zu Geburtstag bekommen. :) SWAG http://t.co/TwZm1oT4M2	NE NN VAFIN ART NN ADV APPRART NN NE ADJA NN CARD	2/AG 0/-- 0/-- 5/NK 3/SB 3/MO 3/MO 7/NK 8/NK 11/NK 0/-- 11/NK	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True case=nom|gender=neut|num=sg _
323823283743121408	positive	@VANBANG98 :DDdu ich muss mal Hausaufgaben machen :D :) können ja später schreiben :)*	@VANBANG98 :DDdu ich müssen mal Hausaufgabe machen :D :) können ja spät schreiben :)*	CARD NN PPER VMFIN ADV NN VVFIN ADJA NN VMFIN ADV ADJD VVFIN ADJD	0/-- 9/NK 4/SB 2/MNR 4/MO 7/OA 4/OC 9/NK 10/SB 0/-- 10/MO 13/MO 10/OC 13/MO	_ pers=1|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=pl _ case=dat|EmoExpression::markable_51::Uncertain=false|gender=fem|pos=True|EmoExpression::markable_51::SubjectiveFact=false|num=pl|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Polarity=positive|EmoExpression::markable_51::Intensity=strong case=dat|EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|gender=fem|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false|num=pl|EmoExpression::markable_52::SubjectiveFact=false pers=3|num=pl|tense=pres|mood=ind _ comp=True _ EmoExpression::markable_53::Sarcasm=false|EmoExpression::markable_53::EmoExpression=True|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Polarity=positive
327369735224311809	positive	@fred_zwitschert Wer ist schon "nur" ein Mann und somit "echt"? ;-)	@fred_zwitschert wer sein schon "nur" eine Mann und somit "echt"? ;-)	NN PWS VAFIN ADV NN ART NN KON ADV NN $(	0/-- 3/SB 0/-- 5/MO 3/SB 7/NK 3/PD 7/CD 10/MO 8/CJ 0/--	_ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|EmoExpression::markable_54::Polarity=positive|EmoExpression::markable_54::Sarcasm=false|EmoExpression::markable_54::Intensity=medium
327394717107105794	positive	@juliaaa_w99 das hat eine freundin von meiner Freundin gemacht mit photoshop :)	@juliaaa_w99 die haben eine Freundin von mein Freundin machen mit photoshop :)	NN PDS VAFIN ART NN APPR PPOSAT NN VVPP APPR NE ADJA	0/-- 3/SB 0/-- 5/NK 9/OA 5/MNR 8/NK 6/NK 3/OC 12/MO 10/NK 9/MO	case=nom|gender=fem|num=sg case=nom|Sentiment::markable_100500238::Polarity=positive|Sentiment::markable_100500238::Sarcasm=false|Sentiment::markable_100500238::Intensity=medium|gender=neut|Sentiment::markable_100500238::Sentiment=True|Target::markable_100500239::Preferred=true|num=sg|Target::markable_100500239::Anaphref=empty|Target::markable_100500239::Target=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500238::Sentiment=True|Target::markable_100500239::Target=True case=acc|gender=fem|num=sg|Target::markable_100500239::Target=True|Sentiment::markable_100500238::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_100500239::Target=True|Sentiment::markable_100500238::Sentiment=True Sentiment::markable_100500238::Sentiment=True|Target::markable_100500239::Target=True case=dat|gender=fem|num=sg|Target::markable_100500239::Target=True|Sentiment::markable_100500238::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_100500239::Target=True|Sentiment::markable_100500238::Sentiment=True Sentiment::markable_100500238::Sentiment=True|Target::markable_100500239::Target=True Sentiment::markable_100500238::Sentiment=True|Target::markable_100500239::Target=True case=dat|gender=neut|num=sg|Target::markable_100500239::Target=True|Sentiment::markable_100500238::Sentiment=True EmoExpression::markable_55::EmoExpression=True|EmoExpression::markable_55::Uncertain=false|Sentiment::markable_100500238::Sentiment=True|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Sarcasm=false|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=positive
328163822605053952	negative	Auch #Alliander sagt, dass Vattenfall zu viel Geld für das Berliner Stromnetz will :-)	auch #Alliander sagt, dass Vattenfall zu viele Geld für die Berliner Stromnetz wollen :-)	ADV NN VVFIN KOUS NN APPR PIAT NN APPR ART ADJA NN VMFIN $(	2/MO 3/SB 0/-- 13/CP 13/SB 5/MNR 8/NK 6/NK 8/MNR 12/NK 12/NK 9/NK 3/MO 13/--	Sentiment::markable_100500240::Sentiment=True|Sentiment::markable_100500240::Intensity=medium|Sentiment::markable_100500240::Polarity=negative|Sentiment::markable_100500240::Sarcasm=false Sentiment::markable_100500240::Sentiment=True|Source::markable_100500241::Anaphref=empty|Source::markable_100500241::Source=True pers=3|Sentiment::markable_100500240::Sentiment=True|num=sg|tense=past|mood=ind Sentiment::markable_100500240::Sentiment=True case=nom|num=sg|Target::markable_100500242::Target=True|gender=masc|Target::markable_100500242::Preferred=true|Sentiment::markable_100500240::Sentiment=True|Target::markable_100500242::Anaphref=empty Sentiment::markable_100500240::Sentiment=True *=True|Sentiment::markable_100500240::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_100500240::Sentiment=True Sentiment::markable_100500240::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_100500240::Sentiment=True *=True|Sentiment::markable_100500240::Sentiment=True|pos=True case=acc|gender=neut|num=sg|Sentiment::markable_100500240::Sentiment=True pers=3|Sentiment::markable_100500240::Sentiment=True|num=sg|tense=pres|mood=ind EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|EmoExpression::markable_56::Polarity=positive|Sentiment::markable_100500240::Sentiment=True|EmoExpression::markable_56::Uncertain=false|EmoExpression::markable_56::Sarcasm=false
322402719581229056	positive	Erst mal eine Runde kicken gehen :-) #profimässig	erst mal eine Runde kicken gehen :-) #profimässig	ADV ADV ART NN VVINF VVINF $( ADJD	2/MO 6/MO 4/NK 5/OA 6/OC 0/-- 6/-- 6/SVP	Target::markable_59::Preferred=true|Target::markable_59::Anaphref=empty|Target::markable_59::Target=True Target::markable_59::Target=True case=nom|gender=fem|num=sg|Target::markable_59::Target=True case=nom|gender=fem|num=sg|Target::markable_59::Target=True Target::markable_59::Target=True Target::markable_59::Target=True EmoExpression::markable_57::Uncertain=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::SubjectiveFact=false|EmoExpression::markable_57::EmoExpression=True|Target::markable_59::Target=True|EmoExpression::markable_57::Polarity=positive EmoExpression::markable_100500244::Polarity=positive|pos=True|EmoExpression::markable_100500244::Uncertain=false|EmoExpression::markable_100500244::EmoExpression=True|EmoExpression::markable_100500244::Intensity=medium|EmoExpression::markable_100500244::SubjectiveFact=false|Target::markable_59::Target=True|EmoExpression::markable_100500244::Sarcasm=false
327329062865489921	positive	@t_mx Mein, meine Gewerkschaftsbeitragsgelder. Nichts Steuern. :-)	@t_mx Mein, mein Gewerkschaftsbeitragsgelder. nichts Steuern. :-)	NN NE PPOSAT NN PIAT NN $(	0/-- 4/SB 4/NK 0/-- 6/NK 0/-- 0/--	case=nom|gender=masc|num=sg case=nom|*=True|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg gender=neut|*=True case=nom|gender=fem|num=sg EmoExpression::markable_60::Polarity=positive|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Uncertain=false
327493533000925184	positive	@dd_rico Wo denkst du hin? :-D Nein,nein, das überlasse ich Profis wie @clemens_patrick . :-)	@dd_rico wo denken du hin? :-D Nein,nein, die überlassen ich Profi wie @clemens_patrick . :-)	NN PWAV VVFIN PPER ADJA NN NN PDS VVFIN PPER NN KOKOM NN $. $(	0/-- 3/MO 0/-- 3/SB 3/MO 9/CJ 6/NK 9/OA 0/-- 9/SB 9/OA 11/CD 12/CJ 0/-- 0/--	case=nom|gender=neut|num=sg _ pers=2|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=2 _ case=nom|EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Sarcasm=false|gender=fem|EmoExpression::markable_61::Intensity=medium|num=sg|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True case=nom|gender=fem|num=sg|Sentiment::markable_100500245::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_100500245::Sentiment=True pers=1|Sentiment::markable_100500245::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|pers=1|num=sg|Sentiment::markable_100500245::Sentiment=True|Source::markable_100500246::Source=True|*=True|Source::markable_100500246::Anaphref=empty case=acc|EmoExpression::markable_100500247::Sarcasm=false|Sentiment::markable_100500245::Sentiment=True|EmoExpression::markable_100500247::Polarity=positive|gender=neut|EmoExpression::markable_100500247::Uncertain=false|EmoExpression::markable_100500247::Intensity=medium|num=sg|EmoExpression::markable_100500247::EmoExpression=True|EmoExpression::markable_100500247::SubjectiveFact=true Sentiment::markable_100500245::Sentiment=True case=acc|Target::markable_100500248::Anaphref=empty|num=sg|Sentiment::markable_100500245::Sentiment=True|Target::markable_100500248::Preferred=true|Target::markable_100500248::Target=True|gender=masc Sentiment::markable_100500245::Sentiment=True EmoExpression::markable_62::SubjectiveFact=false|Sentiment::markable_100500245::Sentiment=True|EmoExpression::markable_62::EmoExpression=True|EmoExpression::markable_62::Sarcasm=false|EmoExpression::markable_62::Polarity=positive|EmoExpression::markable_62::Uncertain=false|EmoExpression::markable_62::Intensity=medium
322412864176533505	positive	@Landeinwohner Keinesfalls, mach so weiter, wie bisher. Es ist alles ok :-))	@Landeinwohner Keinesfalls, machen so weiter, wie bisher. Es sein alle ok :-))	NN NE VVIMP ADV VVFIN KOKOM ADJA NN VAFIN PIS ADJA NN	0/-- 5/SB 5/MO 5/MO 0/-- 7/CM 4/CC 9/SB 0/-- 9/SB 12/NK 9/PD	case=nom|gender=masc|num=sg case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind _ pos=True _ pos=True case=nom|gender=neut|Sentiment::markable_100500250::Sarcasm=false|pers=3|Sentiment::markable_100500250::Intensity=medium|num=sg|Sentiment::markable_100500250::Polarity=positive|Sentiment::markable_100500250::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500250::Sentiment=True case=nom|Target::markable_100500251::Target=True|num=sg|Target::markable_100500251::Preferred=true|gender=neut|Target::markable_100500251::Anaphref=empty|Sentiment::markable_100500250::Sentiment=True case=nom|EmoExpression::markable_100500252::Uncertain=false|gender=neut|EmoExpression::markable_100500252::Intensity=medium|pos=True|EmoExpression::markable_100500252::Sarcasm=false|EmoExpression::markable_100500252::SubjectiveFact=false|num=sg|EmoExpression::markable_100500252::Polarity=positive|EmoExpression::markable_100500252::EmoExpression=True|Sentiment::markable_100500250::Sentiment=True case=nom|EmoExpression::markable_63::EmoExpression=True|gender=neut|EmoExpression::markable_63::Uncertain=false|EmoExpression::markable_63::Intensity=medium|EmoExpression::markable_63::Sarcasm=false|EmoExpression::markable_63::Polarity=positive|num=sg|EmoExpression::markable_63::SubjectiveFact=false|Sentiment::markable_100500250::Sentiment=True
327315464927735808	positive	@chluehr Thanks, aber ich wollte einen Pro-Tipp und nicht Google. DAS kann ich tatsächlich selbst ;-).	@chluehr Thanks, aber ich wollen eine Pro-Tipp und nicht Google. DAS können ich tatsächlich selbst ;-).	NN NE ADV PPER VMFIN ART NN KON PTKNEG NN NE VMFIN PPER ADV ADV ADJA	0/-- 5/SB 5/MO 5/SB 0/-- 7/NK 5/OA 7/CD 10/NG 8/CJ 12/SB 0/-- 12/SB 12/MO 16/MO 12/MO	_ case=nom|*=True|Sentiment::markable_100500253::Sentiment=True|num=sg Sentiment::markable_100500253::Sentiment=True case=nom|pers=1|num=sg|Source::markable_100500254::Source=True|Sentiment::markable_100500253::Sentiment=True|*=True|Source::markable_100500254::Anaphref=empty EmoExpression::markable_100500255::Polarity=positive|mood=ind|EmoExpression::markable_100500255::EmoExpression=True|Sentiment::markable_100500253::Sentiment=True|pers=1|num=sg|tense=past|EmoExpression::markable_100500255::Uncertain=false|EmoExpression::markable_100500255::Intensity=medium|EmoExpression::markable_100500255::Sarcasm=false|EmoExpression::markable_100500255::SubjectiveFact=false case=acc|Target::markable_100500256::Anaphref=empty|num=sg|Target::markable_100500256::Preferred=true|Sentiment::markable_100500253::Sentiment=True|gender=masc|Target::markable_100500256::Target=True case=acc|gender=masc|Sentiment::markable_100500253::Sentiment=True|num=sg|Target::markable_100500256::Target=True Sentiment::markable_100500253::Sentiment=True Sentiment::markable_100500253::Sentiment=True case=nom|gender=masc|Sentiment::markable_100500253::Sentiment=True|num=sg case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 pos=True _ pers=1|num=sg|tense=pres|mood=ind
