334042502166347776	positive	Obama's "red line" und #Syrien - Ein Kommentar von John Stewart - https://t.co/9GpMvlwTsf :-)	Obama's "red line" und #Syrien - eine Kommentar von John Stewart - https://t.co/9GpMvlwTsf :-)	NN NE ADJD KON ADJD $( ART NN APPR NE NE $( NE $(	2/PNC 0/-- 2/PD 3/CD 4/CJ 7/-- 8/NK 0/-- 8/PG 11/PNC 9/NK 11/-- 11/PAR 13/--	*=True case=nom|*=True|num=sg pos=True _ pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|EmoExpression::markable_100500155::EmoExpression=True|gender=masc|EmoExpression::markable_100500155::Polarity=positive|EmoExpression::markable_100500155::Sarcasm=false|num=sg|EmoExpression::markable_100500155::SubjectiveFact=false|EmoExpression::markable_100500155::Uncertain=false|EmoExpression::markable_100500155::Intensity=medium
333396963368251392	negative	@dermaschinist Es läuft ja auch einiges schief in Europa. Aber das ändere ich wohl kaum durch die Wahl einer rechtsoffenen Spinnerpartei ;-)	@dermaschinist es laufen ja auch einige schief in Europa. aber die ändern ich wohl kaum durch die Wahl eine rechtsoffenen Spinnerpartei ;-)	NN PPER VVFIN ADV ADV PIAT ADJD APPR NE KON PDS VVFIN PPER ADV ADV APPR ART NN ART ADJA NN $(	0/-- 3/SB 0/-- 3/MO 3/MO 7/NK 3/MO 3/MO 8/NK 12/JU 12/OA 0/-- 12/SB 12/MO 12/MO 15/MO 18/NK 16/NK 21/NK 21/NK 18/AG 21/--	case=nom|gender=masc|num=sg case=nom|gender=neut|pers=3|Sentiment::markable_33::Sentiment=True|num=sg|Sentiment::markable_33::Intensity=medium|Sentiment::markable_33::Sarcasm=false|Sentiment::markable_33::Polarity=negative pers=3|Sentiment::markable_33::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True case=acc|Sentiment::markable_33::Sentiment=True|Target::markable_34::Target=True|num=pl|Target::markable_34::Anaphref=empty|gender=neut|Target::markable_34::Preferred=true EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|pos=True|EmoExpression::markable_35::EmoExpression=True|Sentiment::markable_33::Sentiment=True|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=negative Sentiment::markable_33::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_33::Sentiment=True _ case=acc|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True case=gen|gender=fem|EmoExpression::markable_100500162::SubjectiveFact=false|EmoExpression::markable_100500162::Sarcasm=false|num=sg|EmoExpression::markable_100500162::Polarity=negative|EmoExpression::markable_100500162::EmoExpression=True|EmoExpression::markable_100500162::Uncertain=false|EmoExpression::markable_100500162::Intensity=medium EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
317775455505764352	positive	@Bolkerito LOL - ich hatte eben schon fast die gleiche Antwort getippt. Allerdings mit SPD :)	@Bolkerito LOL - ich haben eben schon fast die gleich Antwort getippt. allerdings mit SPD :)	NE NE $( PPER VAFIN ADV ADV ADV ART ADJA NN NE ADV APPR NE ADJA	0/-- 5/PNC 2/-- 5/SB 0/-- 5/MO 5/MO 11/MO 11/NK 11/NK 5/OA 11/NK 16/MO 16/MO 14/NK 0/--	case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_100500163::SubjectiveFact=false|EmoExpression::markable_100500163::Polarity=positive|EmoExpression::markable_100500163::Sarcasm=false|*=True|EmoExpression::markable_100500163::Uncertain=false|EmoExpression::markable_100500163::Intensity=medium|EmoExpression::markable_100500163::EmoExpression=True|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ _ case=dat|gender=fem|num=sg case=dat|EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|gender=fem|pos=True|EmoExpression::markable_39::Polarity=positive|num=sg|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
323188697841418240	positive	@inkommodus Meine Konsumentenhaltung in Bezug auf Politik hält sich in Grenzen - daher #piraten ;-)	@inkommodus mein Konsumentenhaltung in Bezug auf Politik halten sich in Grenze - daher #piraten ;-)	NN PPOSAT NN APPR NN APPR NN VVFIN PRF APPR NN $( PAV NN $(	0/-- 3/NK 8/SB 3/MNR 4/NK 5/MNR 6/NK 0/-- 8/OA 8/MO 10/NK 11/-- 14/NK 11/APP 14/--	_ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=masc|num=sg _ case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ case=dat|gender=fem|num=pl _ Sentiment::markable_41::Intensity=medium|Sentiment::markable_41::Sentiment=True|Sentiment::markable_41::Polarity=positive|Sentiment::markable_41::Sarcasm=false mood=ind|Target::markable_42::Anaphref=empty|pers=3|num=pl|tense=past|Target::markable_42::Target=True|Sentiment::markable_41::Sentiment=True|Target::markable_42::Preferred=true EmoExpression::markable_43::Intensity=medium|Sentiment::markable_41::Sentiment=True|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
320095696634118144	negative	@Chappi_Baxton ;-) Und die Erzieher haben diese Atmosphäre tagtäglich... Inkl. Windeln wechseln weil es die Politik so will.	@Chappi_Baxton ;-) und die Erzieher haben dies Atmosphäre tagtäglich... inklusive Windel wechseln weil es die Politik so will.	NN $( KON ART NN VAFIN PDAT NN NE APPR NN VVFIN KOUS PPER ART NN ADV ADJA	0/-- 3/-- 6/JU 5/NK 6/SB 0/-- 8/NK 6/SB 6/OA 0/-- 12/SB 0/-- 18/CP 18/SB 16/NK 18/OA 18/MO 12/MO	case=nom|gender=neut|num=sg EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|Sentiment::markable_44::Sarcasm=false|Sentiment::markable_44::Polarity=negative|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Sarcasm=false|EmoExpression::markable_45::SubjectiveFact=false|Sentiment::markable_44::Intensity=weak|EmoExpression::markable_45::Uncertain=false|Sentiment::markable_44::Sentiment=True Sentiment::markable_44::Sentiment=True case=nom|Target::markable_46::Target=True|num=sg|Target::markable_46::Anaphref=empty|gender=fem|Target::markable_46::Preferred=true|Sentiment::markable_44::Sentiment=True case=nom|gender=fem|Sentiment::markable_44::Sentiment=True|num=sg|Target::markable_46::Target=True pers=3|Target::markable_46::Target=True|num=pl|tense=pres|mood=ind|Sentiment::markable_44::Sentiment=True case=acc|gender=fem|Sentiment::markable_44::Sentiment=True|num=sg|Target::markable_46::Target=True case=acc|gender=fem|Sentiment::markable_44::Sentiment=True|num=sg|Target::markable_46::Target=True case=nom|gender=neut|num=sg _ case=nom|gender=fem|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=gen|gender=masc|num=pl|comp=True
338035581206540289	positive	RT @Orwellsmith: nach der nächsten #BTW wird #Steinbrück Frauenbeauftragter der #SPD, der kann das.. nicht :-) siehe Wahlumfragen #heuteshow	RT @Orwellsmith: nach die nah #BTW werden #Steinbrück Frauenbeauftragte die #SPD, die können das.. nicht :-) sehen Wahlumfrage #heuteshow	NE NN APPR ART ADJA NN VAFIN NN NN ART NN ART VMFIN NE PTKNEG $( VVIMP NN NN	2/AG 0/-- 13/MO 6/NK 6/NK 3/NK 0/-- 7/SB 7/PD 11/NK 9/AG 14/NK 7/OC 11/AG 18/NG 15/-- 0/-- 17/OA 17/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium pers=2|num=sg|mood=imp case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl
335144920912367616	positive	@cherrykitty1411 Eine, schaue gerade den Bundestag live. :)	@cherrykitty1411 Eine, schauen gerade die Bundestag live. :)	NN NE VVFIN ADV ART NN ADJA NN	0/-- 3/SB 0/-- 3/MO 6/NK 3/OA 6/NK 0/--	case=nom|gender=masc|num=sg case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=subj _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True EmoExpression::markable_48::SubjectiveFact=false|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::EmoExpression=True|EmoExpression::markable_48::Intensity=medium
322447486578987008	positive	@Andena_ Und wahrscheinlich ändert die EU selbst jetzt ihre Politik nicht :-(	@Andena_ und wahrscheinlich ändern die EU selbst jetzt ihr Politik nicht :-(	ADJD KON ADJD VVFIN ART NN ADV ADV PPOSAT NN PTKNEG $(	0/-- 4/JU 4/MO 0/-- 6/NK 4/SB 8/MO 4/MO 10/NK 4/OA 4/NG 11/--	pos=True Sentiment::markable_49::Intensity=medium|Sentiment::markable_49::Sentiment=True|Sentiment::markable_49::Polarity=positive|Sentiment::markable_49::Sarcasm=false Sentiment::markable_49::Sentiment=True|pos=True mood=ind|Target::markable_51::Anaphref=empty|pers=3|num=sg|tense=pres|Target::markable_51::Target=True|Target::markable_51::Preferred=true|Sentiment::markable_49::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=negative|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|Sentiment::markable_49::Sentiment=True
335892433973948416	negative	@katrinhilger Seit die Wahl in den Focus rückt, spinnen sowieso viele rum. :(@timurbeygo	@katrinhilger seit die Wahl in die Focus rückt, spinnen sowieso viele rum. :(@timurbeygo	NN APPR ART NN APPR ART NE NE VVFIN ADV PIAT NN NE	0/-- 9/MO 4/NK 2/NK 4/MNR 8/NK 8/PNC 5/NK 0/-- 9/MO 12/NK 9/OA 0/--	comp=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_100500165::SubjectiveFact=false|Sentiment::markable_52::Intensity=weak|EmoExpression::markable_100500165::Sarcasm=false|EmoExpression::markable_100500165::EmoExpression=True|EmoExpression::markable_100500165::Uncertain=false|Sentiment::markable_52::Polarity=negative|EmoExpression::markable_100500165::Intensity=medium|EmoExpression::markable_100500165::Polarity=positive|Sentiment::markable_52::Sentiment=True|Sentiment::markable_52::Sarcasm=false Sentiment::markable_52::Sentiment=True case=acc|num=pl|Sentiment::markable_52::Sentiment=True|Target::markable_100500166::Anaphref=empty|Target::markable_100500166::Target=True|gender=masc|Target::markable_100500166::Preferred=true case=acc|EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|gender=masc|EmoExpression::markable_54::Polarity=negative|EmoExpression::markable_54::Sarcasm=false|num=pl|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::Intensity=medium case=nom|gender=neut|num=sg
319202574500782080	positive	@CoFi_juwi Ein Minister ist doch immer am Steuer, auch wenn er nicht selbst fährt ;-) @peteraltmaier	@CoFi_juwi eine Minister sein doch immer an Steuer, auch wenn er nicht selbst fahren ;-) @peteraltmaier	NN ART NN VAFIN ADV ADV APPRART NN ADV KOUS PPER PTKNEG ADV VVFIN $( ADJD	0/-- 3/NK 4/SB 0/-- 4/MO 7/MO 14/MO 7/NK 14/MO 14/CP 14/SB 14/NG 14/MO 4/PD 14/-- 14/MO	case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg|pers=3 _ _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_55::EmoExpression=True|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Sarcasm=false|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=positive comp=True
337290531291934720	negative	@siegstyle wusste gar nicht, dass die auch politik machen. ich dachte, die @Piratenpartei kreist nur um sich selbst? ;-)	@siegstyle wissen gar nicht, dass die auch politik machen. ich dachte, die @Piratenpartei kreisen nur um sich selbst? ;-)	NN VVFIN ADV ADV KOUS ART ADV ADJA NE PPER VVFIN ART NN VVFIN ADV APPR PRF ADJA $(	0/-- 0/-- 4/MO 9/MO 9/CP 9/NK 8/MO 9/NK 2/SB 11/SB 2/OC 13/NK 11/OA 0/-- 14/MO 14/MO 16/NK 16/MO 0/--	_ pers=3|num=sg|tense=past|mood=ind _ _ _ case=nom|gender=fem|num=pl _ case=nom|gender=fem|num=pl|pos=True case=nom|gender=fem|num=pl case=nom|Sentiment::markable_56::Sarcasm=false|Source::markable_57::Anaphref=empty|Sentiment::markable_56::Sentiment=True|Sentiment::markable_56::Polarity=negative|*=True|pers=1|num=sg|Sentiment::markable_56::Intensity=medium|Source::markable_57::Source=True pers=1|Sentiment::markable_56::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg|Sentiment::markable_56::Sentiment=True case=acc|Target::markable_58::Target=True|num=sg|Target::markable_58::Anaphref=empty|Target::markable_58::Preferred=true|Sentiment::markable_56::Sentiment=True|gender=fem pers=3|Sentiment::markable_56::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_56::Sentiment=True Sentiment::markable_56::Sentiment=True case=acc|pers=3|num=sg|Sentiment::markable_56::Sentiment=True Sentiment::markable_56::Sentiment=True EmoExpression::markable_60::Polarity=positive|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Uncertain=false
333732673996599296	positive	Bubernd aus dem Kriegsministerium ist Vorsitzender, CDU-Nerz Vize :-) #Piraten Noch Fragen?	Bubernd aus die Kriegsministerium sein Vorsitzender, CDU-Nerz Vize :-) #Piraten noch Fragen?	NE APPR ART NN VAFIN NE NN NN $( NN KON NN	5/SB 1/MNR 4/NK 2/NK 0/-- 7/PNC 5/SB 5/PD 8/-- 8/CJ 8/CD 11/CJ	case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::Sarcasm=false|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::Intensity=medium|EmoExpression::markable_61::EmoExpression=True gender=neut|*=True|num=sg _ case=acc|gender=masc|num=sg
333349352292622336	negative	Bayern ist gar kein deutsches Bundesland &gt;:( #sdr	Bayer sein gar keine deutsch Bundesland &gt;:( #sdr	NN VAFIN ADV PIAT ADJA NN ADJA NN	2/SB 0/-- 4/MO 6/NK 6/NK 2/SB 8/NK 2/PD	case=nom|Sentiment::markable_62::Sentiment=True|Sentiment::markable_62::Sarcasm=false|Sentiment::markable_62::Polarity=negative|gender=neut|Target::markable_63::Preferred=true|num=sg|Target::markable_63::Target=True|Target::markable_63::Anaphref=empty|Sentiment::markable_62::Intensity=medium pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_62::Sentiment=True Sentiment::markable_62::Sentiment=True case=nom|num=sg|Sentiment::markable_62::Sentiment=True|gender=neut|Negation::markable_65::EmoExpressionRef=empty|Negation::markable_65::Negation=True case=nom|gender=neut|num=sg|pos=True|Sentiment::markable_62::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_62::Sentiment=True case=nom|Sentiment::markable_62::Sentiment=True|EmoExpression::markable_66::EmoExpression=True|gender=neut|pos=True|num=sg|EmoExpression::markable_66::Polarity=negative|EmoExpression::markable_66::Uncertain=false|EmoExpression::markable_66::Intensity=medium|EmoExpression::markable_66::Sarcasm=false|EmoExpression::markable_66::SubjectiveFact=false case=nom|gender=neut|num=sg
317797998304309251	positive	Kaum spielt @CEstelmann #ingress liegen die grünen vorne:-)	kaum spielen @CEstelmann #ingress liegen die grün vorne:-)	ADV VVFIN NN NN VVFIN ART ADJA $(	2/MO 0/-- 2/OA 5/MO 0/-- 7/NK 5/SB 7/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ Sentiment::markable_67::Sentiment=True|mood=ind|Sentiment::markable_67::Sarcasm=false|pers=3|Sentiment::markable_67::Polarity=positive|num=pl|tense=pres|Sentiment::markable_67::Intensity=medium case=nom|Sentiment::markable_67::Sentiment=True|num=pl|Target::markable_100500167::Anaphref=empty|gender=masc|Target::markable_100500167::Preferred=true|Target::markable_100500167::Target=True case=nom|Sentiment::markable_67::Sentiment=True|num=pl|gender=masc|pos=True|Target::markable_100500167::Target=True case=nom|Sentiment::markable_67::Sentiment=True|EmoExpression::markable_68::Sarcasm=false|gender=masc|EmoExpression::markable_68::Intensity=medium|num=pl|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false
336247185765191680	positive	@Akinmuslera ah soo😄 hast du Instagram? Karsilikli takip yaparsan benide gormus olursun:) aber es ist Ihre Wahl, ob Sie wollen oder nicht	@Akinmuslera ah soo😄 haben du Instagram? Karsilikli takip yaparsan benide gormus olursun:) aber es sein ihr Wahl, ob Sie wollen oder nicht	NN ITJ ADJD VAFIN PPER NN NE NN NN VVFIN NN ADJA KON PPER VAFIN PPOSAT NN KOUS PPER VMFIN KON PTKNEG	0/-- 3/DM 6/NK 0/-- 4/SB 4/OA 8/PNC 10/SB 8/NK 0/-- 10/OA 11/NK 10/CD 15/SB 13/CJ 17/NK 15/PD 20/CP 20/SB 15/MO 20/CD 21/CJ	case=nom|gender=fem|num=sg _ _ pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 case=acc|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=subj case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_70::Intensity=medium|EmoExpression::markable_70::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_70::Polarity=positive|EmoExpression::markable_70::Sarcasm=false|EmoExpression::markable_70::SubjectiveFact=false|num=sg|EmoExpression::markable_70::Uncertain=false _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|*=True|num=pl|pers=3 pers=3|num=pl|tense=pres|mood=ind _ _
323214492395773952	positive	@0Thessa Hmmm... Schwarz-gelb, okay aber die Dame müsste liegen weil Querformat! :-)	@0Thessa Hmmm... Schwarz-gelb, Okay aber die Dame müssen liegen weil Querformat! :-)	NN NE NE NE KON ART NN VMFIN VVFIN KOUS NN $(	0/-- 4/PNC 4/PNC 8/SB 4/CD 7/NK 5/CJ 0/-- 8/OC 9/MO 10/NK 0/--	case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg|Sentiment::markable_71::Sentiment=True|Target::markable_73::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_71::Sentiment=True case=nom|EmoExpression::markable_72::EmoExpression=True|EmoExpression::markable_72::SubjectiveFact=false|EmoExpression::markable_72::Uncertain=false|gender=masc|EmoExpression::markable_72::Polarity=positive|EmoExpression::markable_72::Sarcasm=false|num=sg|EmoExpression::markable_72::Intensity=medium|Sentiment::markable_71::Sentiment=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|sup=True _ _ case=nom|gender=masc|num=sg EmoExpression::markable_74::EmoExpression=True|EmoExpression::markable_74::Uncertain=false|EmoExpression::markable_74::Intensity=medium|EmoExpression::markable_74::SubjectiveFact=false|EmoExpression::markable_74::Polarity=positive|EmoExpression::markable_74::Sarcasm=false
338040220698177536	positive	@vertigonix unentschieden nach Elfmeterschiessen :-) #Merkel wird dann eine Entscheidung treffen, Oh :-( #cl	@vertigonix unentschieden nach Elfmeterschiessen :-) #Merkel werden dann eine Entscheidung treffen, oh :-( #cl	NN ADJD APPR NN $( NN VAFIN ADV ART NN ADJA ITJ $( NN	0/-- 7/MO 2/MO 3/NK 4/-- 7/SB 0/-- 7/MO 10/NK 7/SB 14/NK 14/NK 12/-- 10/AG	case=nom|gender=masc|num=sg pos=True _ case=dat|gender=neut|num=pl EmoExpression::markable_79::Polarity=positive|EmoExpression::markable_79::Uncertain=false|EmoExpression::markable_79::Intensity=medium|EmoExpression::markable_79::EmoExpression=True|EmoExpression::markable_79::SubjectiveFact=false|EmoExpression::markable_79::Sarcasm=false case=dat|Target::markable_76::Preferred=true|gender=masc|Sentiment::markable_75::Sentiment=True|Sentiment::markable_75::Sarcasm=false|Sentiment::markable_75::Intensity=medium|Target::markable_76::Target=True|num=sg|Target::markable_76::Anaphref=empty|Sentiment::markable_75::Polarity=positive pers=3|Target::markable_76::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_75::Sentiment=True Target::markable_76::Target=True|Sentiment::markable_75::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_75::Sentiment=True|Target::markable_76::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_75::Sentiment=True|Target::markable_76::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_75::Sentiment=True|pos=True case=nom|EmoExpression::markable_77::Uncertain=false|gender=fem|Sentiment::markable_75::Sentiment=True|EmoExpression::markable_77::EmoExpression=True|EmoExpression::markable_77::SubjectiveFact=false|num=sg|EmoExpression::markable_77::Sarcasm=false|EmoExpression::markable_77::Polarity=negative|EmoExpression::markable_77::Intensity=medium case=nom|EmoExpression::markable_78::Polarity=negative|EmoExpression::markable_78::Sarcasm=false|EmoExpression::markable_78::Intensity=medium|gender=fem|Sentiment::markable_75::Sentiment=True|pos=True|num=sg|EmoExpression::markable_78::Uncertain=false|EmoExpression::markable_78::SubjectiveFact=false|EmoExpression::markable_78::EmoExpression=True case=nom|gender=fem|num=sg
319563493927944192	positive	RT @ErhardScherfer: Nächste Woche, dann ist auch die Kanzlerin zurück vom Baden... :-) MT @ge12345ge: Wann geht es denn bei Phoenix wied ...	RT @ErhardScherfer: Nächste Woche, dann sein auch die Kanzlerin zurück von Baden... :-) MT @ge12345ge: wann gehen es denn bei Phoenix wied ...	NE ADJA NN NE ADV VAFIN ADV ART NN PTKVZ APPRART NN $( ADJA NN PWAV VVFIN PPER ADV APPR NE NE $.	0/-- 1/PNC 6/SB 3/NK 3/MO 0/-- 9/MO 9/NK 6/SB 11/MO 6/PD 11/NK 14/-- 15/NK 0/-- 17/MO 0/-- 17/EP 17/MO 17/MO 22/PNC 20/NK 22/--	case=nom|*=True|num=sg *=True|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg EmoExpression::markable_80::Uncertain=false|EmoExpression::markable_80::Intensity=medium|EmoExpression::markable_80::Sarcasm=false|EmoExpression::markable_80::SubjectiveFact=false|EmoExpression::markable_80::EmoExpression=True|EmoExpression::markable_80::Polarity=positive case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ case=dat|*=True|num=sg _ _
337319800760049664	positive	@wahnsinn @jusos Ähem, ich sagte "Union und SPD" - das ist nicht schwarzgelb! :-)	@wahnsinn @jusos Ähem, ich sagen "Union und SPD" - die sein nicht schwarzgelb! :-)	NN NN NE PPER VVFIN NN KON VVFIN $( PDS VAFIN PTKNEG ADJA $(	0/-- 0/-- 5/SB 3/SB 0/-- 5/OA 5/CD 7/CJ 8/-- 11/SB 8/OC 13/NG 11/MO 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=pl pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 pers=3|num=sg|tense=past|mood=ind case=acc|gender=fem|num=sg _ pers=1|num=pl|tense=pres|mood=ind _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ pos=True EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Uncertain=false|EmoExpression::markable_81::Sarcasm=false
336212711765585922	positive	@supaheld Du hast fast die Bundestagswahl verpasst! ;-)	@supaheld du haben fast die Bundestagswahl verpasst! ;-)	NN PPER VAFIN ADV ART NN ADJA $(	0/-- 3/SB 0/-- 6/MO 6/NK 7/AMS 3/OC 0/--	case=nom|gender=neut|num=sg case=nom|*=True|num=sg|pers=2 pers=2|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_82::EmoExpression=True|EmoExpression::markable_82::Uncertain=false|EmoExpression::markable_82::Intensity=medium|EmoExpression::markable_82::Sarcasm=false|EmoExpression::markable_82::SubjectiveFact=false|EmoExpression::markable_82::Polarity=positive
