311919759388192769	positive	@christopherkohn Zum Glüch wurde der neue Papst heute gekürt ;-)	@christopherkohn zu Glüch werden die neu Papst heute küren ;-)	NN APPRART NN VAFIN ART ADJA NN ADV VVPP $(	0/-- 9/MO 2/NK 0/-- 7/NK 7/NK 4/SB 9/MO 4/OC 9/--	case=nom|gender=masc|num=sg case=dat|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=dat|gender=neut|num=sg|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True mood=ind|Target::markable_3::Anaphref=empty|Target::markable_3::Preferred=true|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True|pers=3|num=sg|tense=past case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
311905323038425088	positive	Neuer #Papst ist gewählt.. Ich bin es nicht ;-)	neu #Papst sein gewählt.. ich sein es nicht ;-)	ADJA NN VAFIN NE PPER VAFIN PPER PTKNEG $(	2/NK 3/PD 0/-- 3/SB 6/SB 0/-- 6/PD 6/NG 8/--	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
311914765658255360	positive	Mal gespannt wer der neue Papst ist:-)	Mal spannen wer die neu Papst ist:-)	NN VVPP PWS ART ADJA NN $(	2/MO 0/-- 2/OA 6/NK 6/NK 2/SB 6/--	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false|EmoExpression::markable_25::EmoExpression=True
311799961165639680	positive	. @Sebban80 Von uns kommen die nicht ;-) Wenn's nervt, abschalten! #Papst #Konklave	. @Sebban80 von wir kommen die nicht ;-) Wenn's nervt, abschalten! #Papst #Konklave	$. NN APPR PPER VVFIN ART PTKNEG $( VVFIN NE ADJA NN NN	0/-- 0/-- 5/MO 3/NK 0/-- 10/NK 10/NG 7/-- 10/NK 5/SB 10/UC 0/-- 12/NK	_ case=nom|gender=fem|num=sg _ case=dat|*=True|num=pl|pers=1 pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl _ EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive pers=3|num=pl|tense=pres|mood=ind pos=True _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl
311931250870996992	positive	#GUT :) ein bescheidener Mann RT @nwnews: Kardinal Bergoglio ist der neue Papst Franziskus | http://t.co/53CzL3EQ9s	#GUT :) eine bescheiden Mann RT @nwnews: Kardinal Bergoglio sein die neu Papst Franziskus | http://t.co/53CzL3EQ9s	NN NN ART ADJA NN NE ADJA NN NE VAFIN ART ADJA NN NE XY NN	0/-- 1/NK 5/NK 5/NK 1/SB 5/NK 6/PNC 10/SB 8/NK 0/-- 13/NK 13/NK 10/PD 16/PNC 16/NK 13/NK	case=nom|EmoExpression::markable_104012649::EmoExpression=True|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Sarcasm=false|EmoExpression::markable_104012649::Intensity=medium|gender=neut|EmoExpression::markable_104012649::Uncertain=false|Sentiment::markable_30::Intensity=medium|num=sg|EmoExpression::markable_104012649::SubjectiveFact=false|EmoExpression::markable_104012649::Sarcasm=false|Sentiment::markable_30::Polarity=positive|EmoExpression::markable_104012649::Polarity=positive case=nom|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|Sentiment::markable_30::Sentiment=True|gender=neut|EmoExpression::markable_28::Intensity=medium|num=sg|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false case=nom|num=sg|Sentiment::markable_30::Sentiment=True|gender=masc|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Target::markable_31::Anaphref=empty case=nom|Target::markable_31::Target=True|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_32::EmoExpression=True|num=sg|EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|comp=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=masc|num=sg
311925424299057154	neutral	*ACHTUNG:* Papst - erste Rede!!! Der neue Papst tritt vor das Volk: http://t.co/H1EjSNT3Hv	*ACHTUNG:* Papst - erst Rede!!! die neu Papst treten vor die Volk: http://t.co/H1EjSNT3Hv	ADJA NN $( ADJA NN ART ADJA NN VVFIN APPR ART NE NE	2/NK 0/-- 2/-- 5/NK 2/NK 8/NK 8/NK 9/SB 0/-- 9/MO 13/NK 13/PNC 10/NK	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=nom|gender=fem|num=sg
311842500010733568	neutral	RT @VoiceFromOff: RUFT JETZT FÜR DEN PAPST AN! 01379... Oder sende eine SMS mit "Konklave1" an die 666....6...:-)	RT @VoiceFromOff: rufen jetzt für die Papst AN! @card@ oder senden eine SMS mit "Konklave1" an die 666....6...:-)	NE NN VVFIN ADV APPR ART NN NN CARD KON VVFIN ART NE APPR NN APPR ART $(	2/AG 0/-- 0/-- 3/MO 3/MO 7/NK 5/NK 3/OA 0/-- 9/CD 10/CJ 13/NK 11/OA 11/MO 14/NK 15/MNR 16/NK 17/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ *=True *=True *=True _ _ pers=3|num=sg|tense=pres|mood=subj case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg
311905369922338816	positive	WEISSER RAUCH.... Wir haben einen neuen Papst ;-) http://t.co/9Z6TUxGC1P	weiß RAUCH.... wir haben eine neu Papst ;-) http://t.co/9Z6TUxGC1P	ADJA NN PPER VAFIN ART ADJA NN $( NN	2/NK 0/-- 4/SB 0/-- 7/NK 7/NK 4/OA 7/-- 7/NK	case=nom|EmoExpression::markable_104012638::EmoExpression=True|gender=neut|EmoExpression::markable_104012638::Polarity=positive|EmoExpression::markable_104012638::Sarcasm=false|pos=True|num=sg|EmoExpression::markable_104012638::SubjectiveFact=true|EmoExpression::markable_104012638::Uncertain=false|EmoExpression::markable_104012638::Intensity=medium case=nom|gender=neut|num=sg case=nom|Target::markable_34::Target=True|Sentiment::markable_33::Intensity=medium|*=True|pers=1|Sentiment::markable_33::Sentiment=True|num=pl|Target::markable_34::Anaphref=empty|Sentiment::markable_33::Sarcasm=false|Sentiment::markable_33::Polarity=positive|Target::markable_34::Preferred=true pers=1|Sentiment::markable_33::Sentiment=True|Target::markable_34::Target=True|num=pl|tense=pres|mood=ind case=acc|gender=masc|Target::markable_34::Target=True|num=sg|Sentiment::markable_33::Sentiment=True case=acc|Sentiment::markable_33::Sentiment=True|Target::markable_34::Target=True|num=sg|gender=masc|pos=True case=acc|gender=masc|Target::markable_34::Target=True|num=sg|Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _
311903559451037696	positive	Der neue Papst wird gleich vorgestellt... Ich denke, er wird aus Mittel- Südamerika kommen... mal schauen:)	die neu Papst werden gleich vorgestellt... ich denke, er werden aus Mittel- Südamerika kommen... mal schauen:)	ART ADJA NN VAFIN ADJD ADJA PPER ADJD PPER VAFIN APPR TRUNC NE NE ADV ADJA	3/NK 3/NK 4/SB 0/-- 6/MO 4/OC 10/SB 10/PD 10/SB 0/-- 8/MO 14/NK 14/PNC 11/NK 16/MO 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|pos=True|EmoExpression::markable_36::Intensity=medium|EmoExpression::markable_36::Sarcasm=false
311923020463751168	positive	Auch im Büro verpassen wir den Papst nicht :) #MKBerlin http://t.co/jR84lQ7njj	auch in Büro verpassen wir die Papst nicht :) #MKBerlin http://t.co/jR84lQ7njj	ADV APPRART NN VVFIN PPER ART NN PTKNEG ADJA NN NE	2/MO 4/MO 2/NK 0/-- 4/SB 7/NK 4/OA 9/NG 10/NK 7/AG 10/NK	_ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|EmoExpression::markable_37::Uncertain=false|gender=neut|EmoExpression::markable_37::Sarcasm=false|pos=True|EmoExpression::markable_37::EmoExpression=True|num=sg|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg
311912376763043841	positive	RT @sebastian0505: Und aus welchem Land kommt er nun? #papst wer wagt eine Prognose? ;-) ich tippe auf: Scherer ...	RT @sebastian0505: und aus welche Land kommen er nun? #papst wer wagen eine Prognose? ;-) ich tippen auf: Scherer ...	NE ADJD KON APPR PRELS NN VVFIN PPER ADV NN PWS VVFIN ART NN $( PPER VVFIN ADJA NN $.	0/-- 1/PD 7/JU 7/MO 6/NK 4/NK 0/-- 7/SB 7/MO 12/SVP 12/SB 0/-- 14/NK 12/OA 16/-- 17/SB 0/-- 19/NK 17/OA 19/--	case=nom|*=True|num=sg pos=True _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg EmoExpression::markable_38::Polarity=positive|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::SubjectiveFact=false|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=pl|pos=True case=acc|gender=neut|num=pl _
312122309030866945	positive	@wissensagentur das stimmt. Wobei... der Papst schon eine andere Nummer ist als der google reader :)	@wissensagentur die stimmt. Wobei... die Papst schon eine andere Nummer sein als die google reader :)	NN ART ADJA NN ART NN ADV ART PIAT NN VAFIN KOKOM ART NN ADJA ADJA	0/-- 3/NK 0/-- 0/-- 6/NK 11/SB 11/MO 10/NK 10/NK 11/SB 0/-- 14/CM 14/NK 11/MO 16/NK 14/NK	case=nom|gender=fem|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|*=True|pos=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
311974568514445312	positive	Ich werde den Papst nur noch Francis nennen und dabei an den Katerdetektiv denken :)	ich werden die Papst nur noch Francis nennen und dabei an die Katerdetektiv denken :)	PPER VAFIN ART NN ADV ADV NE VVINF KON PAV APPR ART NN VVFIN ADJD	2/SB 0/-- 4/NK 8/OA 8/MO 5/MO 8/OA 2/OC 2/CD 14/NK 14/OP 13/NK 11/NK 9/CJ 14/MO	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=masc|num=sg _ _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive
312116256440467456	positive	Nein wir berichten nicht über den neuen Papst :) Aber die heilligen Dance Hörer in diesem Lande sollten... http://t.co/WdQzDTk9Uu	Nein wir berichten nicht über die neu Papst :) aber die heilligen Dance Hörer in dies Land sollten... http://t.co/WdQzDTk9Uu	NN PPER VVFIN PTKNEG APPR ART ADJA NN ADJD KON ART ADJA NE NN APPR PDAT NN ADJA NN	0/-- 3/SB 1/OC 3/NG 3/OP 8/NK 8/NK 5/NK 3/MO 3/MO 14/NK 14/NK 14/PNC 18/OA 14/MNR 17/NK 15/NK 10/CJ 0/--	case=nom|gender=masc|num=sg case=nom|*=True|num=pl|pers=1 case=acc|pers=3|*=True _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=gen|gender=neut|num=pl|pos=True case=nom|gender=fem|num=sg
311931621613899776	positive	hey leute na wie geht es euch? es gibt wieder einen neuen papst :)	Hey leute na wie gehen es euch? es geben wieder eine neu Papst :)	NE ADJA ITJ KOKOM VVFIN PPER ADJA PPER VVFIN ADV ART ADJA NN ADJA	5/DA 1/UC 5/DM 5/CM 0/-- 5/EP 5/DA 9/EP 0/-- 9/MO 13/NK 13/NK 9/OA 13/NK	_ case=nom|*=True|num=pl _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 case=acc|gender=masc|num=pl|pos=True case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
311906235903528960	positive	RT @KHRieger: In Wasserburg läuten die katholischen Glocken. Jetzt ist die Nachricht analog getwittert. ;-) #Papst #habemuspapam	RT @KHRieger: in Wasserburg läuten die katholisch Glocken. jetzt sein die Nachricht analog getwittert. ;-) #Papst #habemuspapam	NE NN APPR NN VVFIN ART ADJA NE ADV VAFIN ART NN ADJD NN $( NN NN	2/PNC 0/-- 5/MO 3/NK 0/-- 8/NK 8/NK 5/SB 10/MO 0/-- 12/NK 10/SB 10/MO 10/PD 16/-- 0/-- 16/NK	case=nom|*=True|num=sg case=nom|*=True|Sentiment::markable_43::Sentiment=True|num=sg Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|Target::markable_45::Anaphref=empty|Target::markable_45::Preferred=true case=dat|gender=neut|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True case=nom|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_43::Sentiment=True case=nom|num=pl|gender=masc|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|pos=True case=nom|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True case=nom|gender=fem|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True case=nom|gender=fem|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|pos=True Sentiment::markable_43::Sentiment=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|Sentiment::markable_43::Sentiment=True|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::Polarity=positive case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
311922352701198338	mixed	RT @AnonNewsDE: Im #Vatikan wird gerade per weissen Rauchenzeichen kommuniziert, dass ein neuer Pädophiler entdeckt wurde. #Papst :)	RT @AnonNewsDE: in #Vatikan werden gerade per weiß Rauchenzeichen kommuniziert, dass eine neu Pädophiler entdecken wurde. #Papst :)	NE NN APPRART NN VAFIN ADV APPR ADJA NN TRUNC KOUS ART ADJA NN VVPP ADJA NN ADJA	2/AG 0/-- 15/MO 3/NK 0/-- 15/MO 15/MO 9/NK 7/NK 16/CJ 15/CP 14/NK 14/NK 15/SB 5/OC 15/MO 0/-- 17/NK	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True case=dat|gender=fem|num=pl|pos=True|Sentiment::markable_47::Sentiment=True case=dat|gender=fem|num=pl|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_47::Sentiment=True case=nom|EmoExpression::markable_51::Uncertain=false|gender=masc|EmoExpression::markable_51::EmoExpression=True|Sentiment::markable_47::Sentiment=True|EmoExpression::markable_51::SubjectiveFact=true|num=sg|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Polarity=negative|EmoExpression::markable_51::Intensity=medium Sentiment::markable_47::Sentiment=True case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_47::Sentiment=True case=nom|num=sg|Target::markable_49::Target=True|gender=fem|Target::markable_49::Anaphref=empty|Target::markable_49::Preferred=true|Sentiment::markable_47::Sentiment=True case=nom|EmoExpression::markable_50::Intensity=medium|gender=fem|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|pos=True|Sentiment::markable_47::Sentiment=True|num=sg|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::EmoExpression=True
311902524330344449	positive	Ein neuer Papst ist gewählt! Wir halten uns aus diesem Thema heraus ;-)	eine neu Papst sein gewählt! wir halten wir aus dies Thema heraus ;-)	ART ADJA NN VAFIN ADJD PPER VVFIN PPER APPR PDAT NN PTKVZ $(	3/NK 3/NK 4/SB 0/-- 4/PD 7/SB 0/-- 7/OA 7/MO 11/NK 9/NK 7/SVP 12/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|*=True|num=pl|pers=1 _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false
312084219847385089	negative	RT @hipsterschwein: Wieder kein Moslem als Papst. :-(	RT @hipsterschwein: wieder keine Moslem als Papst. :-(	NE NN ADV PIAT NN KOKOM NN $(	2/AG 0/-- 5/MO 5/NK 0/-- 5/CD 6/NK 0/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|Sentiment::markable_53::Sentiment=True Sentiment::markable_53::Sentiment=True case=nom|Target::markable_55::Target=True|num=sg|Target::markable_55::Anaphref=empty|gender=masc|Sentiment::markable_53::Sentiment=True|Target::markable_55::Preferred=true case=nom|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True|Target::markable_55::Target=True Target::markable_55::Target=True|Sentiment::markable_53::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|EmoExpression::markable_56::Polarity=negative|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_56::Uncertain=false|EmoExpression::markable_56::Sarcasm=false
311905048860966915	positive	@rutm Das sind doch eher veraltete Ansichten. Dann müsste ja der Papst mit blauem Rauch gemeldet werden. ;-)	@rutm die sein doch eher veraltet Ansichten. dann müssen ja die Papst mit blau Rauch melden werden. ;-)	NN PDS VAFIN ADV ADV ADJA NN ADV VMFIN ADV ART NN APPR ADJA NN VVPP NE $(	0/-- 3/SB 0/-- 3/MO 6/MO 7/NK 3/PD 9/MO 0/-- 9/MO 12/NK 9/SB 12/MNR 15/NK 13/NK 9/OC 16/OA 0/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ EmoExpression::markable_57::Uncertain=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::SubjectiveFact=false|EmoExpression::markable_57::EmoExpression=True|EmoExpression::markable_57::Polarity=positive
311908081497944067	positive	@mapu_de Nur 'mal zwischendurch - auch wenn die Spannung steigt #Papst - wer wird neuer Präsi bei #1860 ? ;-)	@mapu_de nur 'mal zwischendurch - auch wenn die Spannung steigen #Papst - wer werden neu Präsi bei #1860 ? ;-)	NN ADV NN ADV $( ADV KOUS ART NN VVFIN NN $( PWS VAFIN ADJA NN APPR CARD $. $(	0/-- 3/MO 10/SB 3/MNR 4/-- 10/MO 10/CP 9/NK 10/SB 0/-- 10/OA 11/-- 14/SB 11/PAR 16/NK 14/PD 10/MO 17/NK 18/-- 0/--	case=nom|gender=fem|num=sg _ case=acc|gender=neut|num=sg _ _ _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ EmoExpression::markable_58::Polarity=positive|EmoExpression::markable_58::Sarcasm=false|EmoExpression::markable_58::SubjectiveFact=false|EmoExpression::markable_58::Uncertain=false|EmoExpression::markable_58::Intensity=medium|EmoExpression::markable_58::EmoExpression=True
312088942738567168	positive	Guten Morgen! Die Welt ist geretten, #weil es ist ein Argentinier :-) #MOIN #PAPST	gut Morgen! die Welt sein geretten, #weil es sein eine Argentinier :-) #MOIN #PAPST	ADJA NN ART NN VAFIN ADJA NN PPER VAFIN ART NN $( ADJA NN	2/NK 0/-- 4/NK 5/SB 0/-- 7/NK 5/SB 9/SB 5/CJ 11/NK 9/PD 11/-- 14/NK 9/PD	case=acc|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|gender=masc|pos=True|EmoExpression::markable_60::Uncertain=false|EmoExpression::markable_60::Polarity=positive|num=sg|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false case=acc|gender=masc|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_59::Polarity=positive|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|EmoExpression::markable_59::EmoExpression=True|EmoExpression::markable_59::Sarcasm=false|EmoExpression::markable_59::Uncertain=false case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg
