375349415168724992	positive	Die beiden sehen sich ja auch so ähnlich %PosSmiley	die beide sehen sich ja auch so ähnlich %PosSmiley	ART PIS VVFIN PRF ADV ADV ADV ADJD ITJ	2/NK 3/SB 0/-- 3/OA 3/MO 8/MO 8/MO 3/MO 8/DM	case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ pos=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
380983256893882368	negative	Koalition aus SDP- CDU- lehnt mal wieder den Mindestlohn im AGH im Hauptausschuss ab. Soviel zu Wahlversprechen %NegSmiley ...	Koalition aus SDP- CDU- lehnen mal wieder die Mindestlohn in AGH in Hauptausschuss ab. soviele zu Wahlversprechen %NegSmiley ...	NN APPR TRUNC TRUNC VVFIN ADV ADV ART NN APPRART NE APPRART NN NE PIS APPR NN ITJ $.	5/SB 1/MNR 4/CJ 2/NK 0/-- 5/MO 5/MO 9/NK 5/OA 9/MNR 10/NK 5/MO 12/NK 13/NK 0/-- 15/MNR 16/NK 17/NK 17/--	case=nom|Sentiment::markable_16::Intensity=medium|gender=fem|Sentiment::markable_16::Sentiment=True|Source::markable_100500110::Anaphref=empty|Sentiment::markable_16::Sarcasm=false|num=sg|Sentiment::markable_16::Polarity=negative|Source::markable_100500110::Source=True Source::markable_100500110::Source=True|Sentiment::markable_16::Sentiment=True Source::markable_100500110::Source=True|Sentiment::markable_16::Sentiment=True Sentiment::markable_16::Sentiment=True EmoExpression::markable_100500111::Uncertain=false|EmoExpression::markable_100500111::Polarity=positive|EmoExpression::markable_100500111::Sarcasm=false|mood=ind|Sentiment::markable_16::Sentiment=True|pers=3|num=sg|tense=pres|EmoExpression::markable_100500111::Intensity=medium|EmoExpression::markable_100500111::SubjectiveFact=false|EmoExpression::markable_100500111::EmoExpression=True Sentiment::markable_16::Sentiment=True Sentiment::markable_16::Sentiment=True case=acc|num=sg|Target::markable_100500112::Anaphref=empty|gender=masc|Target::markable_100500112::Preferred=true|Sentiment::markable_16::Sentiment=True|Target::markable_100500112::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_16::Sentiment=True|Target::markable_100500112::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True case=nom|*=True|num=sg *=True _ case=dat|gender=fem|num=pl EmoExpression::markable_15::Polarity=negative|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|Sentiment::markable_16::Sentiment=True|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false _
374071956498554880	positive	Ohje. Aber wenigstens fahren nun wieder alle Züge %PosSmiley	Ohje. aber wenigstens fahren nun wieder alle Zug %PosSmiley	NN KON ADV VVFIN ADV ADV PIAT NN ITJ	0/-- 4/JU 4/MO 0/-- 4/MO 4/MO 8/NK 4/SB 4/DM	case=nom|gender=neut|num=sg|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|mood=ind|pers=3|num=pl|tense=pres|Sentiment::markable_18::Sentiment=True|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True case=acc|gender=masc|num=pl|Sentiment::markable_18::Sentiment=True|Target::markable_20::Target=True case=acc|gender=masc|num=pl|Sentiment::markable_18::Sentiment=True|Target::markable_20::Target=True EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive|Sentiment::markable_18::Sentiment=True
362214654526758914	positive	Laut Ticketsystem ist der Wahlkampf zu 49,1% abgeschlossen %PosSmiley %Link	laut Ticketsystem sein die Wahlkampf zu @card@ abschließen %PosSmiley %Link	APPR NN VAFIN ART NN APPR CARD VVPP ITJ XY	3/MO 1/NK 0/-- 5/NK 3/SB 8/MO 6/NK 3/PD 10/NK 8/OA	_ case=dat|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium _
381020140189413376	positive	Derzeitiger Stand der FOCUS Online Wahlumfrage : AfD+ über 58% - nice! %PosSmiley %Link via %User	derzeitig Stand die Focus Online Wahlumfrage : AfD+ über @card@ - nice! %PosSmiley %Link via %User	ADJA NN ART NE NE NN $. NN APPR CARD $( ADJA ITJ XY APPR NE	2/NK 0/-- 6/NK 5/PNC 6/NK 2/AG 6/-- 12/SB 8/MNR 9/NK 10/-- 2/PAR 12/NK 0/-- 0/-- 15/NK	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg *=True *=True case=acc|gender=fem|num=sg _ case=acc|gender=neut|num=sg _ _ _ pers=2|num=sg|mood=imp EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false _ _ case=nom|gender=masc|num=sg
375337386982797312	positive	%PosSmiley deswegen SPD und UDE "Euch nervt gerade eure Internetgeschwindigkeit? - Wir ändern das: %Link tvduell"	%PosSmiley deswegen SPD und Ude "Euch nerven gerade euer Internetgeschwindigkeit? - wir ändern das: %Link tvduell"	ITJ PAV NE KON NE NN VVFIN ADV PPOSAT NN $( PPER VVFIN ADJA XY ADJA	3/NK 3/NK 6/NK 3/CD 4/CJ 7/SB 0/-- 7/MO 10/NK 7/OA 12/-- 13/SB 0/-- 16/MO 14/NK 13/OA	EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false _ case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True
371308997107675136	positive	Eine Analyse des Wahlspots der CDU- - Der Kommentator dürfte kein CDU-Wähler sein %PosSmiley %Link	eine Analyse die Wahlspot die CDU- - die Kommentator dürfen keine CDU-Wähler sein %PosSmiley %Link	ART NN ART NN ART TRUNC $( ART NN VMFIN PIAT NN VAINF ITJ XY	2/NK 0/-- 4/NK 2/AG 6/NK 4/AG 8/-- 9/NK 10/SB 0/-- 12/NK 13/PD 10/OC 13/NK 14/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg case=gen|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=subj case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false|EmoExpression::markable_25::EmoExpression=True _
365744457917804544	positive	Dazu kommen noch ca. 100 FlexiPlex Plakate von %User und Herbert Dobner und ein Grossplakat %PosSmiley. SPD ltwhe btw13	dazu kommen noch ca. 100 FlexiPlex Plakat von %User und Herbert Dobner und eine Grossplakat %PosSmiley. SPD ltwhe btw13	PAV VVFIN ADV ADV CARD NN NN APPR NE KON NE NE KON ART NN NN NE NN CARD	2/NK 0/-- 2/MO 5/MO 6/NK 2/SB 6/NK 7/PG 8/NK 9/CD 12/PNC 10/CJ 6/CD 15/NK 13/CJ 15/NK 18/PNC 0/-- 18/NK	_ pers=3|num=pl|tense=pres|mood=ind _ _ _ case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl _ case=dat|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=masc|EmoExpression::markable_26::Polarity=positive|num=sg|EmoExpression::markable_26::SubjectiveFact=false case=nom|gender=masc|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _
379306514689060864	mixed	Grüne 8,5% (zu viel), FDP 3,2% (zählt jetzt wohl zu Sonstige 3%PosSmiley ), CSU natürlich mit dicker Lippe, ist halt Bayern. %PosSmiley	Grüne @card@ (zu viel), FDP @card@ (zählt jetzt wohl zu Sonstige 3%PosSmiley ), CSU natürlich mit dick Lippe, sein halt Bayern. %PosSmiley	NN CARD ADV ADJA NE CARD NN ADV ADV APPR NN NE NE NE ADV APPR ADJA NE VAFIN ADV NE ITJ	5/NK 5/NK 4/MO 5/NK 7/NK 8/AMS 19/SB 7/MO 7/MO 7/MO 10/NK 14/PNC 14/PNC 11/NK 7/MO 7/MNR 18/NK 16/NK 0/-- 19/MO 19/SB 0/NK	case=nom|*=True|num=pl case=nom|*=True|num=pl _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=dat|EmoExpression::markable_104010170::EmoExpression=True|EmoExpression::markable_104010170::Uncertain=false|EmoExpression::markable_104010170::SubjectiveFact=false|gender=fem|EmoExpression::markable_104010170::Polarity=negative|pos=True|EmoExpression::markable_104010170::Intensity=medium|num=sg|EmoExpression::markable_104010170::Sarcasm=false case=dat|gender=fem|num=sg mood=ind|EmoExpression::markable_104010171::EmoExpression=True|EmoExpression::markable_104010171::Uncertain=false|EmoExpression::markable_104010171::Polarity=negative|EmoExpression::markable_104010171::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_104010171::SubjectiveFact=false|EmoExpression::markable_104010171::Intensity=medium EmoExpression::markable_104010171::EmoExpression=True case=nom|*=True|num=sg EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false
373469904780808193	neutral	Hab auch kein anderes Ergebnis erwartet %PosSmiley SPD+ fb	Hab auch keine andere Ergebnis erwarten %PosSmiley SPD+ fb	NN ADV PIAT PIS NN VVPP ITJ ADJA NN	6/SB 5/MO 5/NK 5/NK 6/OA 0/-- 9/NK 9/NK 6/OA	case=nom|gender=masc|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|*=True|num=sg _
380299058142662657	positive	So, der 24-Stunden-Wahlkampf kann kommen! %PosSmiley LINKE btw13	So, die 24-Stunden-Wahlkampf können kommen! %PosSmiley linken btw13	NE ART NN VMFIN ADJA ITJ VVFIN CARD	4/SB 3/NK 4/SB 0/-- 4/MO 4/DM 0/-- 7/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|EmoExpression::markable_31::SubjectiveFact=false|EmoExpression::markable_31::Polarity=positive pers=3|num=sg|tense=past|mood=ind _
378966376666238976	positive	Sonst findest du auch immer alles auf %Link %PosSmiley	sonst finden du auch immer alle auf %Link %PosSmiley	ADV VVFIN PPER ADV ADV PIS PTKVZ XY ITJ	2/MO 0/-- 2/SB 5/MO 2/MO 2/SB 2/SVP 7/NK 7/NK	_ pers=2|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=2 _ _ case=nom|gender=neut|num=sg _ _ EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True
366835881312649216	positive	Auf jeden Fall genug Platz für die Piratenbus-Kundgebung %PosSmiley	auf jede Fall genug Platz für die Piratenbus-Kundgebung %PosSmiley	APPR PIAT NN ADV NN APPR ART NN ITJ	5/MO 3/NK 1/NK 5/MO 0/-- 5/MNR 8/NK 6/NK 8/NK	_ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false
