319780665581264897	negative	JETZT geb ich Player 6 den Todesstoss. Lange genug hat er sich gewehrt %PosSmiley	jetzt geb ich Player 6 die Todesstoss. Lange genug haben er sich wehren %PosSmiley	ADV VVFIN PPER NN CARD ART NN NE ADV VAFIN PPER PRF VVPP ITJ	2/MO 0/-- 2/SB 2/SB 2/MO 7/NK 2/OA 10/SB 8/MO 0/-- 10/SB 13/OA 10/OC 13/NK	Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative Sentiment::markable_1::Sentiment=True case=nom|pers=1|num=sg|Source::markable_3::Anaphref=empty|*=True|Source::markable_3::Source=True|Sentiment::markable_1::Sentiment=True mood=ind|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|tense=past|Target::markable_2::Anaphref=empty|Target::markable_2::Preferred=true|Target::markable_2::Target=True Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|pers=3|num=sg _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
326381569679953921	positive	Awwwwww, ich hab mehrere Yodas %PosSmiley	Awwwwww, ich haben mehrere Yodas %PosSmiley	NE PPER VAIMP PIAT NN ITJ	0/-- 1/SB 2/NK 5/NK 3/NK 2/NK	case=nom|*=True|num=sg|Sentiment::markable_44::Sentiment=True case=nom|Target::markable_45::Preferred=true|*=True|Target::markable_45::Anaphref=empty|pers=1|num=sg|Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True case=acc|gender=neut|Target::markable_45::Target=True|num=pl|Sentiment::markable_44::Sentiment=True case=acc|gender=neut|Target::markable_45::Target=True|num=pl|Sentiment::markable_44::Sentiment=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive|Sentiment::markable_44::Sentiment=True
325214398916472832	positive	da hätte ich tonnenweise - nur gerade keine gelegenheit %PosSmiley nutzlosesuperkräfte	da haben ich tonnenweise - nur gerade keine gelegenheit %PosSmiley nutzlosesuperkräfte	ADV VAFIN PPER ADJD $( ADV ADV PIAT ADJA ITJ ADJA	2/MO 0/-- 2/SB 2/MO 4/-- 9/MO 8/MO 9/MO 10/NK 4/DM 2/MO	_ pers=1|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 _ _ _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|gender=fem|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::Intensity=medium|EmoExpression::markable_48::SubjectiveFact=false|num=sg|EmoExpression::markable_48::EmoExpression=True case=nom|gender=fem|num=sg|pos=True
328947846684483585	positive	ja, die medienwelt ist wieder in Ordnung %PosSmiley	ja, die Medienwelt sein wieder in Ordnung %PosSmiley	NE ART NN VAFIN ADV APPR NN ITJ	4/SB 3/NK 4/SB 0/-- 4/MO 4/MO 6/NK 7/NK	case=nom|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True case=nom|num=sg|Target::markable_51::Target=True|gender=fem|Target::markable_51::Preferred=true|Sentiment::markable_49::Sentiment=True|Target::markable_51::Anaphref=empty case=nom|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True pers=3|Sentiment::markable_49::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_49::Sentiment=True EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false|Sentiment::markable_49::Sentiment=True case=dat|gender=fem|num=sg|EmoExpression::markable_52::EmoExpression=True|Sentiment::markable_49::Sentiment=True EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|Sentiment::markable_49::Sentiment=True
320835355953741824	positive	piero @ lori: chönnder schnäll hinter dem vo hangover stah? ich möcht ihn fötele... %PosSmiley	Piero @ lori: chönnder schnäll hinter die vo hangover stah? ich möcht er fötele... %PosSmiley	NE XY ADJA ADJA NN APPR ART NE VVFIN ADJD PPER VVFIN PPER ADJA ITJ	5/NK 0/-- 1/UC 5/NK 9/SB 5/MNR 8/NK 6/NK 0/-- 9/MO 12/SB 0/-- 12/OA 12/MO 0/NK	_ _ _ _ _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ pos=True case=nom|*=True|num=sg|pers=1 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 case=acc|gender=neut|num=pl|pos=True EmoExpression::markable_53::Sarcasm=false|EmoExpression::markable_53::EmoExpression=True|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Polarity=positive
328220056083365888	negative	ach passt ihr jetzt auf mich auf oder was??? %PosSmiley das will ich nicht %PosSmiley und vor allem die zweite woche sind wir eh alleine %PosSmiley %PosSmiley ❤	ach passen ihr jetzt auf ich auf oder was??? %PosSmiley die wollen ich nicht %PosSmiley und vor alle die zweit Woche sein wir eh alleine %PosSmiley %PosSmiley ❤	ITJ VVFIN PPER ADV APPR PRF PTKVZ KON ADJA ITJ PDS VMFIN PPER PTKNEG ITJ KON APPR PIS ART ADJA NN VAFIN PPER ADV PTKVZ ITJ ITJ ADJA	2/DM 0/-- 2/DA 2/MO 2/MO 5/NK 2/SVP 7/CD 8/CJ 7/NK 12/OA 0/-- 12/SB 12/NG 12/DM 12/CD 21/MO 17/NK 21/NK 21/NK 22/MO 16/CJ 22/SB 22/MO 22/MO 25/NK 25/NK 22/MO	_ pers=2|num=pl|tense=pres|mood=ind|Target::markable_63::Target=True|Target::markable_63::Anaphref=empty|Target::markable_63::Preferred=true case=dat|gender=fem|num=sg|Target::markable_63::Target=True|pers=3 Target::markable_63::Target=True Target::markable_63::Target=True case=acc|*=True|num=sg|Target::markable_63::Target=True|pers=1 Target::markable_63::Target=True _ case=dat|gender=neut|num=pl|pos=True case=dat|EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|gender=neut|EmoExpression::markable_54::Polarity=positive|EmoExpression::markable_54::Sarcasm=false|num=pl|EmoExpression::markable_54::Intensity=medium case=acc|gender=neut|Target::markable_59::Preferred=true|Sentiment::markable_58::Sarcasm=false|Sentiment::markable_58::Sentiment=True|num=sg|Sentiment::markable_58::Polarity=negative|Target::markable_59::Anaphref=markable_63|Target::markable_59::Target=True|Sentiment::markable_58::Intensity=medium EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::Sarcasm=false|EmoExpression::markable_61::SubjectiveFact=false|mood=ind|EmoExpression::markable_61::Intensity=medium|pers=1|Sentiment::markable_58::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True case=nom|pers=1|Sentiment::markable_58::Sentiment=True|num=sg|Source::markable_60::Source=True|Source::markable_60::Anaphref=empty|*=True Negation::markable_62::EmoExpressionRef=empty|Sentiment::markable_58::Sentiment=True|Negation::markable_62::Negation=True EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Intensity=medium|EmoExpression::markable_100500213::Polarity=positive|EmoExpression::markable_100500213::Sarcasm=false|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false|Sentiment::markable_58::Sentiment=True _ _ case=dat|gender=neut|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ EmoExpression::markable_55::EmoExpression=True|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Sarcasm=false|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=positive EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Uncertain=false|EmoExpression::markable_56::Sarcasm=false EmoExpression::markable_57::Uncertain=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::SubjectiveFact=false|EmoExpression::markable_57::EmoExpression=True|EmoExpression::markable_57::Polarity=positive
328184575765393408	positive	%User hast die entsprechende App nicht drauf %PosSmiley	%User haben die entsprechend App nicht drauf %PosSmiley	NE VAFIN ART ADJA NN PTKNEG PAV ITJ	2/SB 0/-- 5/NK 5/NK 2/OA 2/NG 8/NK 2/NK	case=nom|*=True|num=sg pers=2|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ EmoExpression::markable_64::Intensity=medium|EmoExpression::markable_64::Sarcasm=false|EmoExpression::markable_64::SubjectiveFact=false|EmoExpression::markable_64::Polarity=positive|EmoExpression::markable_64::EmoExpression=True|EmoExpression::markable_64::Uncertain=false
325975421726375936	positive	ich bin selber traurich und ich habe 5 stunden nur geheult wegen dir %NegSmiley	ich sein selber traurich und ich haben 5 stunden nur heulen wegen du %NegSmiley	PPER VAFIN ADV VVFIN KON PPER VAFIN CARD VVFIN ADV VVPP APPR PPER ITJ	2/SB 0/-- 2/MO 2/PD 2/CD 7/SB 5/CJ 9/MO 7/OC 11/MO 9/MO 11/MO 12/NK 13/NK	case=nom|Source::markable_69::Anaphref=empty|Sentiment::markable_65::Intensity=medium|Sentiment::markable_65::Sentiment=True|Sentiment::markable_65::Polarity=positive|Sentiment::markable_65::Sarcasm=false|*=True|pers=1|num=sg|Source::markable_69::Source=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True EmoExpression::markable_68::Sarcasm=false|Sentiment::markable_65::Sentiment=True|pos=True|EmoExpression::markable_68::Intensity=medium|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false Sentiment::markable_65::Sentiment=True case=nom|pers=1|num=sg|Sentiment::markable_65::Sentiment=True|Source::markable_100500214::Source=True|*=True|Source::markable_100500214::Anaphref=empty pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True pers=3|num=pl|tense=past|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True EmoExpression::markable_70::SubjectiveFact=false|EmoExpression::markable_70::Intensity=strong|EmoExpression::markable_70::EmoExpression=True|EmoExpression::markable_70::Polarity=positive|Sentiment::markable_65::Sentiment=True|EmoExpression::markable_70::Uncertain=false|EmoExpression::markable_70::Sarcasm=false Sentiment::markable_65::Sentiment=True case=dat|Sentiment::markable_65::Sentiment=True|*=True|pers=2|num=sg|Target::markable_66::Anaphref=empty|Target::markable_66::Preferred=true|Target::markable_66::Target=True EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::Polarity=negative|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::SubjectiveFact=false|Sentiment::markable_65::Sentiment=True|EmoExpression::markable_67::EmoExpression=True
328191002076663808	positive	Ich hab die Partei gerade mal wieder sehr gern %PosSmiley	ich haben die Partei gerade mal wieder sehr gern %PosSmiley	PPER VAIMP ART NN ADV ADV ADV ADV ADV ITJ	0/-- 1/NK 4/NK 8/OA 8/MO 5/MO 8/MO 9/MO 2/NK 9/DM	case=nom|Sentiment::markable_71::Polarity=positive|Source::markable_72::Anaphref=empty|Sentiment::markable_71::Sarcasm=false|*=True|pers=1|num=sg|Sentiment::markable_71::Intensity=medium|Source::markable_72::Source=True|Sentiment::markable_71::Sentiment=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_71::Sentiment=True case=acc|num=sg|Target::markable_75::Preferred=true|Target::markable_75::Target=True|gender=fem|Target::markable_75::Anaphref=empty|Sentiment::markable_71::Sentiment=True case=acc|gender=fem|Target::markable_75::Target=True|num=sg|Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True Intensifier::markable_76::EmoExpressionRef=emo-expression:markable_73|Intensifier::markable_76::Degree=medium|Intensifier::markable_76::Intensifier=True|Sentiment::markable_71::Sentiment=True EmoExpression::markable_73::EmoExpression=True|EmoExpression::markable_73::Uncertain=false|EmoExpression::markable_73::Intensity=medium|EmoExpression::markable_73::Sarcasm=false|EmoExpression::markable_73::SubjectiveFact=false|EmoExpression::markable_73::Polarity=positive|Sentiment::markable_71::Sentiment=True EmoExpression::markable_74::EmoExpression=True|EmoExpression::markable_74::Uncertain=false|EmoExpression::markable_74::Intensity=medium|EmoExpression::markable_74::SubjectiveFact=false|EmoExpression::markable_74::Polarity=positive|EmoExpression::markable_74::Sarcasm=false|Sentiment::markable_71::Sentiment=True
323541138080411648	negative	benachrichtigungen bei whats app fi**en mich aber ab %PosSmiley	Benachrichtigung bei whats app fi**en ich aber ab %PosSmiley	NN APPR NN ADJD VVFIN PRF ADV PTKVZ ITJ	4/DA 1/MNR 2/NK 5/MO 0/-- 5/OA 5/MO 5/SVP 8/NK	Sentiment::markable_77::Sentiment=True|mood=ind|Target::markable_78::Target=True|Sentiment::markable_77::Polarity=negative|pers=3|num=pl|tense=pres|Target::markable_78::Preferred=true|Sentiment::markable_77::Intensity=strong|Sentiment::markable_77::Sarcasm=false|Target::markable_78::Anaphref=empty Sentiment::markable_77::Sentiment=True|Target::markable_78::Target=True case=dat|gender=masc|Target::markable_78::Target=True|num=pl|Sentiment::markable_77::Sentiment=True Sentiment::markable_77::Sentiment=True|Target::markable_78::Target=True|pos=True pers=3|Sentiment::markable_77::Sentiment=True|num=pl|tense=pres|mood=ind|EmoExpression::markable_79::EmoExpression=True case=acc|pers=1|num=sg|Source::markable_100500215::Source=True|Sentiment::markable_77::Sentiment=True|Source::markable_100500215::Anaphref=empty Sentiment::markable_77::Sentiment=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::EmoExpression=True EmoExpression::markable_80::Uncertain=false|EmoExpression::markable_80::Intensity=medium|EmoExpression::markable_80::Sarcasm=false|EmoExpression::markable_80::SubjectiveFact=false|Sentiment::markable_77::Sentiment=True|EmoExpression::markable_80::EmoExpression=True|EmoExpression::markable_80::Polarity=positive
321626017309544448	positive	Hallöchen mein erstes kurzvideo und schreibt in den kommentaren was für videos ich machen soll %PosSmiley %Link	Hallöchen mein erst kurzvideo und schreiben in die Kommentar was für Video ich machen sollen %PosSmiley %Link	NN PPOSAT ADJA NN KON VVFIN APPR ART NN PIS APPR NN PPER VVINF VMFIN ITJ XY	15/SB 4/NK 4/NK 14/OA 4/CD 5/CJ 6/MO 9/NK 7/NK 14/OA 10/MNR 11/NK 15/SB 15/OC 0/-- 17/NK 15/SB	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl gender=neut|*=True _ case=acc|gender=neut|num=pl case=nom|*=True|num=sg|pers=1 _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Uncertain=false|EmoExpression::markable_81::Sarcasm=false case=nom|*=True|num=sg
324495631651594241	positive	Und dann lande ausgerechnet ich bei einem Paper über optische Computer und so. Irgendwie lustig %PosSmiley	und dann landen ausgerechnet ich bei eine Paper über optisch Computer und so. irgendwie lustig %PosSmiley	KON ADV VVFIN ADJD PPER APPR ART NN APPR ADJA NN KON VVFIN ADV ADJD ITJ	3/JU 3/MO 0/-- 8/MO 3/SB 3/MO 8/NK 6/NK 8/MNR 11/NK 9/NK 3/CD 12/CJ 15/MO 0/-- 15/DM	Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|Sentiment::markable_82::Sarcasm=false|Target::markable_83::Anaphref=empty|Sentiment::markable_82::Polarity=positive|Target::markable_83::Preferred=true|Sentiment::markable_82::Intensity=medium Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=nom|pers=1|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|*=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=dat|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|gender=masc|pos=True case=dat|gender=masc|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=dat|gender=masc|num=sg|pos=True|Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True EmoExpression::markable_84::Sarcasm=false|EmoExpression::markable_84::EmoExpression=True|EmoExpression::markable_84::Uncertain=false|EmoExpression::markable_84::Intensity=medium|EmoExpression::markable_84::Polarity=positive|pos=True|Sentiment::markable_82::Sentiment=True|EmoExpression::markable_84::SubjectiveFact=false EmoExpression::markable_85::EmoExpression=True|EmoExpression::markable_85::Uncertain=false|EmoExpression::markable_85::Intensity=medium|Sentiment::markable_82::Sentiment=True|EmoExpression::markable_85::SubjectiveFact=false|EmoExpression::markable_85::Polarity=positive|EmoExpression::markable_85::Sarcasm=false
323452872828260354	mixed	Auf dem Mond leben nur Nazis und keine Piraten %PosSmiley	auf die Mond leben nur Nazi und keine Pirat %PosSmiley	APPR ART NN VVFIN ADV NN KON PIAT NN ITJ	4/MO 3/NK 1/NK 0/-- 6/MO 4/SB 6/CD 9/NK 7/CJ 6/NK	_ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind _ case=nom|EmoExpression::markable_100500216::Sarcasm=false|EmoExpression::markable_100500216::EmoExpression=True|EmoExpression::markable_100500216::SubjectiveFact=false|gender=masc|EmoExpression::markable_100500216::Polarity=negative|num=pl|EmoExpression::markable_100500216::Uncertain=false|EmoExpression::markable_100500216::Intensity=medium _ case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl case=nom|EmoExpression::markable_86::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_86::Intensity=medium|num=pl|EmoExpression::markable_86::Uncertain=false|EmoExpression::markable_86::Polarity=positive|EmoExpression::markable_86::EmoExpression=True|EmoExpression::markable_86::SubjectiveFact=false
320918467555508225	positive	Bin total ausgepowert, habe endlich was für meine Figur getan %PosSmiley Und jetzt ein Eis %PosSmiley	sein total ausgepowert, haben endlich was für mein Figur tun %PosSmiley und jetzt eine Eis %PosSmiley	VAFIN ADJD NE VAFIN ADV PIS APPR PPOSAT NN VVPP ITJ KON ADV ART NN ITJ	2/MO 3/MO 4/SB 0/-- 10/MO 10/OA 10/MO 9/NK 7/NK 4/OC 10/NK 4/CD 15/MO 15/NK 12/CJ 15/NK	Sentiment::markable_87::Sarcasm=false|Sentiment::markable_87::Intensity=medium|Target::markable_88::Anaphref=empty|Target::markable_88::Preferred=true|Sentiment::markable_87::Sentiment=True|Sentiment::markable_87::Polarity=positive|Target::markable_88::Target=True Intensifier::markable_100500218::Degree=medium|Sentiment::markable_87::Sentiment=True|Target::markable_88::Target=True|pos=True|Intensifier::markable_100500218::EmoExpressionRef=emo-expression:markable_100500217|Intensifier::markable_100500218::Intensifier=True Sentiment::markable_87::Sentiment=True mood=subj|Target::markable_89::Anaphref=empty|Target::markable_89::Preferred=true|pers=3|Target::markable_89::Target=True|num=sg|tense=pres|Sentiment::markable_87::Sentiment=True EmoExpression::markable_100500219::SubjectiveFact=false|Target::markable_89::Target=True|EmoExpression::markable_100500219::Uncertain=false|EmoExpression::markable_100500219::Intensity=medium|EmoExpression::markable_100500219::Sarcasm=false|EmoExpression::markable_100500219::Polarity=positive|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_100500219::EmoExpression=True case=acc|gender=neut|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True Target::markable_89::Target=True|Sentiment::markable_87::Sentiment=True case=acc|gender=fem|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True case=acc|gender=fem|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True Target::markable_89::Target=True|Sentiment::markable_87::Sentiment=True case=acc|EmoExpression::markable_90::EmoExpression=True|gender=fem|EmoExpression::markable_90::Intensity=medium|num=sg|EmoExpression::markable_90::SubjectiveFact=false|sup=True|EmoExpression::markable_90::Uncertain=false|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_90::Polarity=positive|EmoExpression::markable_90::Sarcasm=false Sentiment::markable_91::Polarity=positive|Sentiment::markable_91::Intensity=medium|Sentiment::markable_91::Sarcasm=false|Sentiment::markable_91::Sentiment=True Sentiment::markable_91::Sentiment=True case=acc|num=sg|Sentiment::markable_91::Sentiment=True|Target::markable_92::Preferred=true|gender=neut|Target::markable_92::Target=True|Target::markable_92::Anaphref=empty case=acc|gender=neut|Target::markable_92::Target=True|num=sg|Sentiment::markable_91::Sentiment=True EmoExpression::markable_93::Uncertain=false|EmoExpression::markable_93::Intensity=medium|EmoExpression::markable_93::Sarcasm=false|Sentiment::markable_91::Sentiment=True|EmoExpression::markable_93::EmoExpression=True|EmoExpression::markable_93::Polarity=positive|EmoExpression::markable_93::SubjectiveFact=false
328114711679881216	positive	Ich hab die Daily News von vorgestern für dich %PosSmiley	ich haben die Daily News von vorgestern für du %PosSmiley	PPER VAIMP ART NE NN APPR ADV APPR PPER ITJ	5/SB 5/NK 5/NK 5/NK 0/-- 5/MNR 6/NK 5/UC 8/NK 9/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg *=True *=True _ _ _ case=acc|*=True|num=sg|pers=2 EmoExpression::markable_94::Intensity=medium|EmoExpression::markable_94::Polarity=positive|EmoExpression::markable_94::Sarcasm=false|EmoExpression::markable_94::SubjectiveFact=false|EmoExpression::markable_94::Uncertain=false|EmoExpression::markable_94::EmoExpression=True
324469049314643968	positive	Eine wunderhübsche (Audio-)Rezension zu Swantje Berndt/S.B. Sasori's DAS BIEST IN IHM findet sich ganz frisch in... ht ...	eine wunderhübsch (Audio-)Rezension zu Swantje Berndt/S.B. Sasori's die Biest in er finden sich ganz frisch in... ht ...	ART ADJA NN APPR NE NE NE ART NN APPR PPER VVFIN PRF ADV ADJD ADJA NN $.	3/NK 3/NK 12/SB 3/MNR 4/NK 7/PNC 5/AG 9/NK 5/PAR 9/MNR 10/NK 0/-- 12/OA 15/MO 16/MO 12/SB 0/-- 17/--	case=nom|Target::markable_97::Anaphref=empty|gender=fem|Target::markable_97::Target=True|Sentiment::markable_95::Sentiment=True|num=sg|Sentiment::markable_95::Intensity=strong|Sentiment::markable_95::Sarcasm=false|Target::markable_97::Preferred=true|Sentiment::markable_95::Polarity=positive case=nom|gender=fem|Target::markable_97::Target=True|pos=True|EmoExpression::markable_96::EmoExpression=True|Sentiment::markable_95::Sentiment=True|EmoExpression::markable_96::Uncertain=false|num=sg|EmoExpression::markable_96::Intensity=strong|EmoExpression::markable_96::SubjectiveFact=false|EmoExpression::markable_96::Polarity=positive|EmoExpression::markable_96::Sarcasm=false case=nom|gender=fem|num=sg|Target::markable_97::Target=True|Sentiment::markable_95::Sentiment=True Sentiment::markable_95::Sentiment=True|Target::markable_97::Target=True case=dat|gender=neut|num=sg|Target::markable_97::Target=True|Sentiment::markable_95::Sentiment=True case=dat|gender=neut|num=sg case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=fem|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ pos=True case=acc|gender=neut|num=sg|pos=True _ _
324955751145672704	positive	ich habe das Buch gelesen %PosSmiley	ich haben die Buch lesen %PosSmiley	PPER VAFIN ART NN VVPP ITJ	2/SB 0/-- 4/NK 5/OA 2/OC 5/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ EmoExpression::markable_98::Uncertain=false|EmoExpression::markable_98::EmoExpression=True|EmoExpression::markable_98::Polarity=positive|EmoExpression::markable_98::Sarcasm=false|EmoExpression::markable_98::Intensity=medium|EmoExpression::markable_98::SubjectiveFact=false
323802072011128832	neutral	Und auch hier das zugehörige Pad %PosSmiley %User	und auch hier die zugehörig Pad %PosSmiley %User	KON ADV ADV ART ADJA NN ITJ NE	6/JU 3/MO 6/MO 6/NK 6/NK 0/-- 8/NK 6/NK	_ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg
319973164375486464	positive	Morgen sind meine Eltern wieder da! %PosSmiley	Morgen sein mein Eltern wieder da! %PosSmiley	NN VAFIN PPOSAT NN ADV ADJA ITJ	2/SB 0/-- 4/NK 2/SB 2/MO 2/MO 6/NK	case=nom|Target::markable_101::Preferred=true|gender=fem|Sentiment::markable_100::Sentiment=True|Sentiment::markable_100::Sarcasm=false|Target::markable_101::Anaphref=empty|num=pl|Sentiment::markable_100::Polarity=positive|Sentiment::markable_100::Intensity=medium|Target::markable_101::Target=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True case=nom|*=True|num=pl|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True case=nom|*=True|num=pl|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True case=nom|*=True|num=pl|Sentiment::markable_100::Sentiment=True case=nom|EmoExpression::markable_103::SubjectiveFact=false|EmoExpression::markable_103::Sarcasm=false|*=True|Sentiment::markable_100::Sentiment=True|EmoExpression::markable_103::Polarity=positive|EmoExpression::markable_103::Intensity=medium|EmoExpression::markable_103::Uncertain=false|num=pl|EmoExpression::markable_103::EmoExpression=True
