369517901734096896	positive	Piraten bei puls4! gleich geht los %PosSmiley %Link	Pirat bei puls4! gleich gehen los %PosSmiley %Link	NN APPR ADJD ADJD VVFIN PTKVZ ITJ XY	0/-- 1/MNR 2/NK 5/MO 0/-- 5/SVP 6/NK 6/NK	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=masc|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=pl|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True pos=True|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _
380665137994035201	positive	Nee, da gehen nur die Originale! Zweitstimme - FDP Mövenpick btw13 %PosSmiley	Nee, da gehen nur die Originale! Zweitstimme - FDP Mövenpick btw13 %PosSmiley	NE ADV VVFIN ADV ART ADJA NN $( NE NN VVPP ITJ	3/SB 1/MO 0/-- 6/MO 6/NK 3/SB 0/-- 9/-- 10/NK 11/OA 0/-- 11/NK	case=nom|*=True|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
374261320822296578	positive	Er hat die Koalition mit der Linke ausgeschlossen, aber nicht die "Tolerierung" durch sie! %PosSmiley tvduell	er haben die Koalition mit die Linke ausgeschlossen, aber nicht die "Tolerierung" durch sie! %PosSmiley tvduell	PPER VAFIN ART NN APPR ART NN NE ADV PTKNEG ART NN APPR ADJA ITJ ADJD	2/SB 0/-- 4/NK 2/OA 4/MNR 7/NK 5/NK 7/AG 2/MO 2/NG 12/NK 2/OA 12/MNR 13/NK 13/MO 0/--	case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=gen|*=True|num=sg _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True pos=True
380257271105605633	positive	mir scheint, der Sprecher ist ein wenig erkältet... %PosSmiley	ich scheint, die Sprecher sein eine wenige erkältet... %PosSmiley	PPER NE ART NN VAFIN ART PIAT ADJA ITJ	5/DA 5/SB 4/NK 5/SB 0/-- 7/NK 8/NK 5/SB 8/NK	case=dat|*=True|num=sg|pers=1 case=nom|*=True|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind *=True *=True *=True EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|*=True|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
365928303221161986	negative	Ich fasse es nicht, wie uncool und spiessig sie mittlerweile sind. %NegSmiley Grüne Verbotsorgien Zeigefingerwahn Dogmen Z...	ich fassen es nicht, wie uncool und spießig sie mittlerweile sind. %NegSmiley grün Verbotsorgien Zeigefingerwahn Dogma Z...	PPER VVFIN PPER ADJD KOKOM ADJD KON ADJD PPER ADV ADJA ITJ ADJA NN NN NN NE	2/SB 0/-- 2/OA 2/MO 4/CD 5/CJ 6/CD 11/MO 11/SB 11/MO 7/CJ 14/NK 14/NK 0/-- 14/APP 15/NK 16/NK	case=nom|pers=1|num=sg|Source::markable_47::Anaphref=markable_46|Sentiment::markable_45::Sentiment=True|Source::markable_47::Source=True|*=True pers=1|Sentiment::markable_45::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=neut|Sentiment::markable_45::Sentiment=True|num=sg|pers=3 Sentiment::markable_45::Sentiment=True|pos=True Sentiment::markable_45::Sentiment=True EmoExpression::markable_49::Polarity=negative|EmoExpression::markable_49::Sarcasm=false|Sentiment::markable_45::Sentiment=True|EmoExpression::markable_49::SubjectiveFact=false|pos=True|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium Sentiment::markable_45::Sentiment=True EmoExpression::markable_50::Intensity=medium|Sentiment::markable_45::Sentiment=True|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|pos=True|EmoExpression::markable_50::Polarity=negative|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::EmoExpression=True case=nom|Target::markable_48::Target=True|Target::markable_48::Preferred=true|Sentiment::markable_45::Sentiment=True|gender=fem|Target::markable_48::Anaphref=empty|pers=3|num=sg Sentiment::markable_45::Sentiment=True pers=3|Sentiment::markable_45::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_51::Uncertain=false|Sentiment::markable_45::Sentiment=True|EmoExpression::markable_51::Polarity=negative|*=True|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false|num=pl|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Intensity=medium case=nom|*=True|num=pl case=acc|EmoExpression::markable_10409138::EmoExpression=True|EmoExpression::markable_10409138::SubjectiveFact=false|gender=fem|num=pl|EmoExpression::markable_10409138::Intensity=medium|EmoExpression::markable_10409138::Sarcasm=false|EmoExpression::markable_10409138::Uncertain=false|EmoExpression::markable_10409138::Polarity=negative case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl case=nom|*=True|num=sg
380815605189718017	positive	muha - raab klebt die piraten aufkleber auf die instrumente seiner Band %PosSmiley	muha - Raab kleben die piraten Aufkleber auf die Instrument sein Band %PosSmiley	NN $( NE VVFIN ART ADJA NN APPR ART NN PPOSAT NN ITJ	4/SB 1/-- 1/CJ 0/-- 7/NK 7/NK 4/OA 4/MO 10/NK 8/NK 12/NK 10/AG 12/NK	case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=pl case=nom|gender=masc|num=pl|sup=True case=acc|gender=masc|*=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl case=gen|EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|gender=masc|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false|num=pl|EmoExpression::markable_52::SubjectiveFact=false
381854950168330240	mixed	Ich will nicht von konservativen, schwulenfeindlichen Geronten regiert werden %NegSmiley	ich wollen nicht von konservativen, schwulenfeindlich Geronten regieren werden %NegSmiley	PPER VMFIN PTKNEG APPR NE ADJA NN VVPP VAINF ITJ	2/SB 0/-- 2/NG 8/SBP 7/AG 7/NK 4/NK 9/OC 2/OC 9/NK	case=nom|pers=1|num=sg|Sentiment::markable_53::Sentiment=True|*=True|Source::markable_55::Source=True|Source::markable_55::Anaphref=markable_54 EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::EmoExpression=True|mood=ind|EmoExpression::markable_56::Intensity=medium|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Sarcasm=false|pers=1|num=sg|tense=pres|EmoExpression::markable_56::Uncertain=false Negation::markable_57::EmoExpressionRef=emo-expression:markable_56|Negation::markable_57::Negation=True|Sentiment::markable_53::Sentiment=True Sentiment::markable_53::Sentiment=True case=dat|gender=neut|Sentiment::markable_53::Sentiment=True|num=sg|Target::markable_58::Target=True case=dat|Target::markable_58::Target=True|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|gender=neut|Sentiment::markable_53::Sentiment=True|pos=True|EmoExpression::markable_60::Uncertain=false|EmoExpression::markable_60::Polarity=negative|num=sg|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false case=dat|EmoExpression::markable_61::Polarity=negative|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Sarcasm=false|gender=neut|EmoExpression::markable_61::Intensity=medium|Sentiment::markable_53::Sentiment=True|num=sg|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True|Target::markable_58::Target=True Target::markable_58::Target=True|Sentiment::markable_53::Sentiment=True Target::markable_58::Target=True|Sentiment::markable_53::Sentiment=True EmoExpression::markable_62::SubjectiveFact=false|EmoExpression::markable_62::Polarity=negative|EmoExpression::markable_62::EmoExpression=True|EmoExpression::markable_62::Sarcasm=false|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_62::Uncertain=false|EmoExpression::markable_62::Intensity=medium
352790805888516096	positive	da hat ne Einzelperson drei verschiedene Parteien mit kuriosen Namen zur Bundestagswahl angemeldet %PosSmiley	da haben eine Einzelperson drei verschieden Partei mit kurios Name zu Bundestagswahl anmelden %PosSmiley	ADV VAFIN ART NN CARD ADJA NN APPR ADJA NN APPRART NN VVPP ITJ	2/MO 0/-- 4/NK 2/SB 7/NK 7/NK 13/OA 7/MNR 10/NK 8/NK 13/MO 11/NK 2/OC 13/NK	Target::markable_65::Anaphref=empty|Sentiment::markable_64::Polarity=positive|Sentiment::markable_64::Intensity=medium|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True|Sentiment::markable_64::Sarcasm=false|Target::markable_65::Preferred=true pers=3|num=sg|tense=pres|mood=ind|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=acc|num=pl|gender=fem|Target::markable_65::Target=True|pos=True|Sentiment::markable_64::Sentiment=True case=acc|gender=fem|num=pl|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=dat|EmoExpression::markable_66::EmoExpression=True|gender=masc|EmoExpression::markable_66::Sarcasm=false|pos=True|EmoExpression::markable_66::SubjectiveFact=false|num=pl|EmoExpression::markable_66::Polarity=positive|EmoExpression::markable_66::Uncertain=true|EmoExpression::markable_66::Intensity=medium|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=dat|gender=masc|num=pl|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True EmoExpression::markable_63::Polarity=positive|EmoExpression::markable_63::Sarcasm=false|EmoExpression::markable_63::EmoExpression=True|EmoExpression::markable_63::SubjectiveFact=false|EmoExpression::markable_63::Uncertain=false|EmoExpression::markable_63::Intensity=medium|Sentiment::markable_64::Sentiment=True
379327099305467904	negative	Für ne Minderheitsregierung ist die SPD viel zu staatstragend. %NegSmiley	für eine Minderheitsregierung sein die SPD viel zu staatstragend. %NegSmiley	APPR ART NN VAFIN ART NE ADV APPR ADJA ITJ	4/MO 3/NK 1/NK 0/-- 6/NK 4/SB 9/MO 9/PM 4/OC 0/NK	Sentiment::markable_68::Intensity=weak|Sentiment::markable_68::Sarcasm=false|Sentiment::markable_68::Polarity=negative|Sentiment::markable_68::Sentiment=True case=nom|gender=fem|num=sg|pos=True|Sentiment::markable_68::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_68::Sentiment=True pers=3|Sentiment::markable_68::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|Sentiment::markable_68::Sentiment=True|num=sg|Target::markable_69::Preferred=true|Target::markable_69::Target=True|gender=fem|Target::markable_69::Anaphref=empty case=nom|gender=fem|Target::markable_69::Target=True|num=sg|Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True|pos=True Sentiment::markable_68::Sentiment=True|EmoExpression::markable_67::Polarity=negative|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::EmoExpression=True|EmoExpression::markable_67::SubjectiveFact=false
372270907588620288	positive	Wieso sollte die FDP auch eine Veranstaltung für''s gemeine Volk machen? %PosSmiley VIPBereich britaarena	wieso sollen die FDP auch eine Veranstaltung für''s gemein Volk machen? %PosSmiley VIPBereich britaarena	PWAV VMFIN ART NE ADV ART NN VVFIN ADJA NN ADJA ITJ NN ADJA	2/MO 0/-- 4/NK 2/SB 7/MO 7/NK 8/SB 2/OC 10/NK 8/SB 12/NK 8/DM 14/SB 0/--	_ pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|EmoExpression::markable_70::Intensity=medium|EmoExpression::markable_70::EmoExpression=True|gender=fem|EmoExpression::markable_70::Polarity=positive|EmoExpression::markable_70::Sarcasm=false|EmoExpression::markable_70::SubjectiveFact=false|num=sg|EmoExpression::markable_70::Uncertain=false case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl|pos=True
358231670358417412	positive	einen "grünen Faden" und "ne runde Kiste" - das gibt''s nur bei %User ! %PosSmiley	eine "grünen Faden" und "ne rund Kiste" - die gibt''s nur bei %User ! %PosSmiley	ART NN NN KON NN ADJA NN $( PDS VVFIN ADV APPR NE $. ITJ	2/NK 6/OA 2/NK 3/CD 4/CJ 7/NK 9/RE 7/-- 10/SB 0/-- 12/MO 10/MO 12/NK 13/-- 10/DM	case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=dat|*=True|num=sg _ case=dat|EmoExpression::markable_71::Intensity=medium|EmoExpression::markable_71::SubjectiveFact=false|*=True|EmoExpression::markable_71::Polarity=positive|EmoExpression::markable_71::Uncertain=false|num=sg|EmoExpression::markable_71::Sarcasm=false|EmoExpression::markable_71::EmoExpression=True
384381557244710912	positive	"Zitiert den Tweet und fügt euren Platz beim WWA Konzert in Düsseldorf hinzu %PosSmiley" Grüne Zone %PosSmiley xx	"Zitiert die Tweet und fügen euer Platz bei WWA Konzert in Düsseldorf hinzu %PosSmiley" Grüne Zone %PosSmiley xx	NN ART NN KON VVFIN PPOSAT NN APPRART NE NN APPR NE ADV ADJA NN NN ITJ ADJA	0/-- 3/NK 1/OA 1/CD 4/CJ 7/NK 5/OA 7/MNR 10/PNC 8/NK 10/MNR 11/NK 5/MO 15/NK 5/OA 5/OA 18/NK 16/NK	_ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ case=nom|*=True|num=pl|pos=True case=nom|*=True|num=pl case=acc|gender=fem|num=sg case=acc|EmoExpression::markable_73::EmoExpression=True|EmoExpression::markable_73::Uncertain=false|gender=fem|EmoExpression::markable_73::SubjectiveFact=false|EmoExpression::markable_73::Polarity=positive|num=sg|EmoExpression::markable_73::Intensity=medium|EmoExpression::markable_73::Sarcasm=false case=acc|gender=fem|num=sg|pos=True
372373930339999744	negative	%Link - Dramatische Szenen im Wahlkampf bei der hängt sich auf! Piraten %PosSmiley	%Link - dramatisch Szene in Wahlkampf bei die hängen sich auf! Pirat %PosSmiley	XY $( ADJA NN APPRART NN APPR ART VVFIN PRF ADJA NN ITJ	0/-- 1/-- 4/NK 0/-- 4/MNR 5/NK 6/MNR 9/SB 7/NK 9/OA 9/MO 0/-- 12/NK	_ _ Sentiment::markable_74::Intensity=medium|EmoExpression::markable_76::Intensity=medium|EmoExpression::markable_76::SubjectiveFact=false|EmoExpression::markable_76::Uncertain=false|pos=True|Sentiment::markable_74::Polarity=negative|num=pl|Sentiment::markable_74::Sentiment=True|EmoExpression::markable_76::Polarity=negative|EmoExpression::markable_76::Sarcasm=false|case=nom|EmoExpression::markable_76::EmoExpression=True|gender=fem|Target::markable_75::Target=True|Sentiment::markable_74::Sarcasm=false|Target::markable_75::Preferred=true|Target::markable_75::Anaphref=empty case=nom|gender=fem|Target::markable_75::Target=True|num=pl|Sentiment::markable_74::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_74::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_74::Sentiment=True Sentiment::markable_74::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_74::Sentiment=True Sentiment::markable_78::Sentiment=True|EmoExpression::markable_80::Intensity=medium|EmoExpression::markable_80::Sarcasm=false|mood=ind|EmoExpression::markable_80::Uncertain=false|EmoExpression::markable_80::EmoExpression=True|pers=3|num=sg|tense=pres|EmoExpression::markable_80::SubjectiveFact=false|EmoExpression::markable_80::Polarity=negative case=acc|pers=3|EmoExpression::markable_80::EmoExpression=True|num=sg|Sentiment::markable_78::Sentiment=True Sentiment::markable_78::Sentiment=True case=nom|gender=masc|num=pl case=nom|EmoExpression::markable_77::Uncertain=false|gender=masc|EmoExpression::markable_77::EmoExpression=True|EmoExpression::markable_77::SubjectiveFact=false|num=pl|EmoExpression::markable_77::Sarcasm=false|EmoExpression::markable_77::Polarity=positive|EmoExpression::markable_77::Intensity=medium
369215716026617856	positive	Tagesaktuellen Stand gibts in der Plakate-App. Die gibts für PC oder Handy. Piraten+ habens drauf. %PosSmiley	tagesaktuell Stand gibts in die Plakate-App. die gibts für PC oder Handy. Piraten+ <UNKNOWN> drauf. %PosSmiley	ADJA NN NN APPR ART NN ART NN APPR NE KON NE NN ADV VVIZU ITJ	2/NK 0/-- 2/NK 2/MO 6/NK 4/NK 8/NK 0/-- 8/MNR 9/NK 10/CD 11/CJ 0/-- 15/MO 13/OC 0/NK	case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|*=True|num=sg _ case=acc|*=True|num=sg case=nom|gender=masc|num=sg _ _ EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Uncertain=false|EmoExpression::markable_81::Sarcasm=false
383201896905052160	positive	Schauen gerade %User''s video über die Wahlen in Geschichte! aaaaaaah *-*	Schau|Schauen gerade %User''s Video über die Wahl in Geschichte! aaaaaaah *-*	NN ADV ADJA NN APPR ART NN APPR NN NE XY	0/-- 3/MO 4/NK 1/MNR 4/MNR 7/NK 5/NK 7/MNR 8/NK 0/-- 0/--	case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl _ case=dat|gender=neut|num=sg EmoExpression::markable_82::EmoExpression=True|EmoExpression::markable_82::Uncertain=false|EmoExpression::markable_82::Intensity=medium|EmoExpression::markable_82::Sarcasm=false|EmoExpression::markable_82::SubjectiveFact=false|EmoExpression::markable_82::Polarity=positive EmoExpression::markable_83::EmoExpression=True|EmoExpression::markable_83::SubjectiveFact=false|EmoExpression::markable_83::Uncertain=false|EmoExpression::markable_83::Polarity=positive|EmoExpression::markable_83::Sarcasm=false|EmoExpression::markable_83::Intensity=medium
374834674197356544	positive	Sohn Wetta wie heute morjen am 22. und die Piraten kriejen minnistens 15% %PosSmiley	Sohn Wetta wie heute morjen an 22. und die Pirat kriejen minnistens @card@ %PosSmiley	NN NE KOKOM ADV ADJD APPRART ADJA KON ART NN ADJA NN CARD ITJ	0/-- 1/NK 5/CM 5/MO 1/PAR 5/MO 12/NK 7/CD 10/NK 11/OA 8/CJ 6/NK 12/NK 1/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pos=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True _ case=acc|Sentiment::markable_85::Sentiment=True|Target::markable_86::Target=True|Sentiment::markable_85::Sarcasm=false|gender=fem|Target::markable_86::Preferred=true|Sentiment::markable_85::Intensity=medium|num=pl|Target::markable_86::Anaphref=empty|Sentiment::markable_85::Polarity=positive case=acc|gender=fem|num=pl|Sentiment::markable_85::Sentiment=True|Target::markable_86::Target=True case=gen|gender=neut|num=sg|Sentiment::markable_85::Sentiment=True|pos=True case=gen|gender=neut|num=sg|Sentiment::markable_85::Sentiment=True Sentiment::markable_85::Sentiment=True EmoExpression::markable_84::Sarcasm=false|EmoExpression::markable_84::EmoExpression=True|Sentiment::markable_85::Sentiment=True|EmoExpression::markable_84::Uncertain=false|EmoExpression::markable_84::Intensity=medium|EmoExpression::markable_84::SubjectiveFact=false|EmoExpression::markable_84::Polarity=positive
374246702422958080	positive	Ich wähle die NSA - die hören wenigstens zu. %PosSmiley bundestagswahl	ich wählen die Nsa - die hören wenigstens zu. %PosSmiley bundestagswahl	PPER VVFIN ART NE $( PRELS VVFIN ADV ADJA ITJ ADJA	2/SB 0/-- 4/NK 2/OA 4/-- 7/NK 2/OC 9/MO 7/MO 11/NK 0/--	case=nom|Sentiment::markable_88::Sarcasm=false|Source::markable_89::Anaphref=empty|Sentiment::markable_88::Polarity=positive|Source::markable_89::Source=True|*=True|pers=1|num=sg|Sentiment::markable_88::Sentiment=True|Sentiment::markable_88::Intensity=medium mood=ind|EmoExpression::markable_90::EmoExpression=True|EmoExpression::markable_90::Intensity=medium|pers=1|num=sg|tense=pres|EmoExpression::markable_90::SubjectiveFact=false|Sentiment::markable_88::Sentiment=True|EmoExpression::markable_90::Uncertain=false|EmoExpression::markable_90::Polarity=positive|EmoExpression::markable_90::Sarcasm=false case=acc|Target::markable_91::Target=True|num=pl|Sentiment::markable_88::Sentiment=True|Target::markable_91::Anaphref=empty|*=True|Target::markable_91::Preferred=true case=acc|*=True|num=pl|Sentiment::markable_88::Sentiment=True|Target::markable_91::Target=True _ case=acc|*=True|num=pl case=acc|*=True|num=pl _ case=acc|*=True|num=pl|pos=True EmoExpression::markable_87::Intensity=medium|EmoExpression::markable_87::Polarity=positive|EmoExpression::markable_87::Sarcasm=false|EmoExpression::markable_87::SubjectiveFact=false|EmoExpression::markable_87::Uncertain=false|EmoExpression::markable_87::EmoExpression=True case=nom|gender=fem|num=pl|pos=True
381661310414778368	positive	%PosSmiley was haben Sie denn fürs Folgen von mir bekommen? Schönen Wahlsonntag!	%PosSmiley was haben Sie denn fürs Folge von ich bekommen? schön Wahlsonntag!	ITJ PWS VAFIN PPER ADV APPRART NN APPR PPER ADJA ADJA NN	2/NK 3/OA 0/-- 3/SB 3/MO 3/MO 6/NK 7/PG 8/NK 6/MO 12/NK 0/--	EmoExpression::markable_92::SubjectiveFact=false|EmoExpression::markable_92::Intensity=medium|EmoExpression::markable_92::EmoExpression=True|EmoExpression::markable_92::Polarity=positive|EmoExpression::markable_92::Uncertain=false|EmoExpression::markable_92::Sarcasm=false case=acc|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=dat|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|EmoExpression::markable_93::Uncertain=false|EmoExpression::markable_93::Intensity=medium|EmoExpression::markable_93::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_93::EmoExpression=True|num=sg|EmoExpression::markable_93::SubjectiveFact=false|EmoExpression::markable_93::Polarity=positive case=acc|gender=masc|num=sg
362611909561819137	mixed	Die SPD ist gar keine Alternative zur CDU. Aber wem erzähl ich das %NegSmiley %Link Bundestagswahl Wahl Polit...	die SPD sein gar keine Alternative zu CDU. aber wer erzählen ich die %NegSmiley %Link Bundestagswahl Wahl Polit...	ART NE VAFIN ADV PIAT NN APPRART NE KON PWS VVIMP PPER PDS ITJ XY NN NN NN	2/NK 3/SB 0/-- 5/MO 6/NK 3/SB 6/MNR 7/NK 10/JU 11/NK 0/-- 10/SB 16/NK 16/NK 16/NK 11/OA 11/OA 11/OA	case=nom|Target::markable_96::Anaphref=empty|num=sg|Target::markable_96::Preferred=true|gender=fem|Sentiment::markable_94::Sentiment=True|Target::markable_96::Target=True case=nom|gender=fem|Sentiment::markable_94::Sentiment=True|num=sg|Target::markable_96::Target=True pers=3|Sentiment::markable_94::Sentiment=True|num=sg|tense=pres|mood=ind Intensifier::markable_99::EmoExpressionRef=emo-expression:markable_97|Sentiment::markable_94::Sentiment=True|Intensifier::markable_99::Degree=medium|Intensifier::markable_99::Intensifier=True case=acc|Negation::markable_98::Negation=True|num=sg|Negation::markable_98::EmoExpressionRef=emo-expression:markable_97|gender=fem|Sentiment::markable_94::Sentiment=True case=acc|EmoExpression::markable_97::Sarcasm=false|EmoExpression::markable_97::EmoExpression=True|EmoExpression::markable_97::Uncertain=true|EmoExpression::markable_97::Intensity=medium|gender=fem|EmoExpression::markable_97::Polarity=positive|num=sg|EmoExpression::markable_97::SubjectiveFact=false|Sentiment::markable_94::Sentiment=True case=dat|gender=fem|Sentiment::markable_94::Sentiment=True|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=masc|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_100::EmoExpression=True|EmoExpression::markable_100::SubjectiveFact=false|gender=neut|EmoExpression::markable_100::Sarcasm=false|EmoExpression::markable_100::Uncertain=false|EmoExpression::markable_100::Polarity=negative|num=sg|EmoExpression::markable_100::Intensity=medium case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
