334042502166347776	positive	Obama's "red line" und Syrien - Ein Kommentar von John Stewart - %Link %PosSmiley	Obama's "red line" und Syrien - eine Kommentar von John Stewart - %Link %PosSmiley	NN NE ADJD KON NE $( ART NN APPR NE NE $( XY ITJ	0/-- 1/NK 1/PAR 3/CD 4/CJ 7/-- 8/NK 0/-- 8/PG 11/PNC 9/NK 11/-- 11/PAR 13/NK	_ _ _ _ case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_100500155::EmoExpression=True|gender=fem|EmoExpression::markable_100500155::Polarity=positive|EmoExpression::markable_100500155::Sarcasm=false|num=sg|EmoExpression::markable_100500155::SubjectiveFact=false|EmoExpression::markable_100500155::Uncertain=false|EmoExpression::markable_100500155::Intensity=medium
333396963368251392	negative	Es läuft ja auch einiges schief in Europa. Aber das ändere ich wohl kaum durch die Wahl einer rechtsoffenen Spinnerpartei %PosSmiley	es laufen ja auch einige schief in Europa. aber die ändern ich wohl kaum durch die Wahl eine rechtsoffenen Spinnerpartei %PosSmiley	PPER VVFIN ADV ADV PIAT ADJD APPR NE KON PDS VVFIN PPER ADV ADV APPR ART NN ART ADJA NN ITJ	2/SB 0/-- 2/MO 2/MO 6/NK 2/MO 2/MO 7/NK 11/JU 11/OA 0/-- 11/SB 11/MO 11/MO 14/MO 17/NK 15/NK 20/NK 20/NK 17/AG 14/DM	case=nom|gender=neut|pers=3|Sentiment::markable_33::Sentiment=True|num=sg|Sentiment::markable_33::Intensity=medium|Sentiment::markable_33::Sarcasm=false|Sentiment::markable_33::Polarity=negative pers=3|Sentiment::markable_33::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True case=acc|Sentiment::markable_33::Sentiment=True|Target::markable_34::Target=True|num=pl|Target::markable_34::Anaphref=empty|gender=neut|Target::markable_34::Preferred=true EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|pos=True|EmoExpression::markable_35::EmoExpression=True|Sentiment::markable_33::Sentiment=True|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=negative Sentiment::markable_33::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_33::Sentiment=True _ case=acc|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True case=gen|gender=fem|EmoExpression::markable_100500162::SubjectiveFact=false|EmoExpression::markable_100500162::Sarcasm=false|num=sg|EmoExpression::markable_100500162::Polarity=negative|EmoExpression::markable_100500162::EmoExpression=True|EmoExpression::markable_100500162::Uncertain=false|EmoExpression::markable_100500162::Intensity=medium EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
317775455505764352	positive	%PosSmiley - ich hatte eben schon fast die gleiche Antwort getippt. Allerdings mit SPD %PosSmiley	%PosSmiley - ich haben eben schon fast die gleich Antwort getippt. allerdings mit SPD %PosSmiley	ITJ $( PPER VAFIN ADV ADV ADV ART ADJA NN NE ADV APPR NE ITJ	4/NK 1/-- 4/SB 0/-- 4/MO 4/MO 10/MO 10/NK 10/NK 4/OA 10/NK 13/MO 0/-- 13/NK 13/MO	EmoExpression::markable_100500163::SubjectiveFact=false|EmoExpression::markable_100500163::Polarity=positive|EmoExpression::markable_100500163::Sarcasm=false|EmoExpression::markable_100500163::Uncertain=false|EmoExpression::markable_100500163::EmoExpression=True|EmoExpression::markable_100500163::Intensity=medium _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ _ case=dat|gender=fem|num=sg EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
323188697841418240	positive	Meine Konsumentenhaltung in Bezug auf Politik hält sich in Grenzen - daher piraten %PosSmiley	mein Konsumentenhaltung in Bezug auf Politik halten sich in Grenze - daher Pirat %PosSmiley	PPOSAT NN APPR NN APPR NN VVFIN PRF APPR NN $( PAV NN ITJ	2/NK 7/SB 2/MNR 3/NK 4/MNR 5/NK 0/-- 7/OA 7/MO 9/NK 10/-- 13/NK 7/SB 7/DM	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=masc|num=sg _ case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ case=dat|gender=fem|num=pl _ Sentiment::markable_41::Intensity=medium|Sentiment::markable_41::Sentiment=True|Sentiment::markable_41::Polarity=positive|Sentiment::markable_41::Sarcasm=false mood=ind|Target::markable_42::Anaphref=empty|pers=3|num=pl|tense=past|Target::markable_42::Target=True|Sentiment::markable_41::Sentiment=True|Target::markable_42::Preferred=true EmoExpression::markable_43::Intensity=medium|Sentiment::markable_41::Sentiment=True|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
320095696634118144	negative	%PosSmiley Und die Erzieher haben diese Atmosphäre tagtäglich... Inkl. Windeln wechseln weil es die Politik so will.	%PosSmiley und die Erzieher haben dies Atmosphäre tagtäglich... inklusive Windel wechseln weil es die Politik so will.	ITJ KON ART NN VAFIN PDAT NN NE APPR NN VVFIN KOUS PPER ART NN ADV ADJA	8/NK 5/JU 4/NK 5/OA 0/-- 7/NK 5/SB 5/OA 0/-- 11/SB 0/-- 17/CP 17/SB 15/NK 17/OA 17/MO 11/MO	EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|Sentiment::markable_44::Sarcasm=false|Sentiment::markable_44::Polarity=negative|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Sarcasm=false|EmoExpression::markable_45::SubjectiveFact=false|Sentiment::markable_44::Intensity=weak|EmoExpression::markable_45::Uncertain=false|Sentiment::markable_44::Sentiment=True Sentiment::markable_44::Sentiment=True case=acc|Target::markable_46::Target=True|num=pl|Target::markable_46::Anaphref=empty|gender=neut|Target::markable_46::Preferred=true|Sentiment::markable_44::Sentiment=True case=acc|gender=neut|Sentiment::markable_44::Sentiment=True|num=pl|Target::markable_46::Target=True pers=3|Target::markable_46::Target=True|num=pl|tense=pres|mood=ind|Sentiment::markable_44::Sentiment=True case=acc|gender=neut|Sentiment::markable_44::Sentiment=True|num=pl|Target::markable_46::Target=True case=acc|gender=neut|Sentiment::markable_44::Sentiment=True|num=pl|Target::markable_46::Target=True case=nom|gender=neut|num=sg _ case=nom|gender=fem|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=gen|gender=masc|num=pl|comp=True
338035581206540289	positive	nach der nächsten BTW wird Steinbrück Frauenbeauftragter der SPD, der kann das.. nicht %PosSmiley siehe Wahlumfragen heuteshow	nach die nah BTW werden Steinbrück Frauenbeauftragte die SPD, die können das.. nicht %PosSmiley siehe Wahlumfrage heuteshow	APPR ART ADJA NN VAFIN NN NN ART NE ART VMFIN NE PTKNEG ITJ ADV NN NN	11/MO 4/NK 4/NK 1/NK 0/-- 5/SB 9/PNC 9/NK 6/NK 12/NK 5/OC 11/SB 16/NG 16/NK 16/MO 0/-- 16/NK	_ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium pers=2|num=sg|mood=imp case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl
335144920912367616	positive	Eine, schaue gerade den Bundestag live. %PosSmiley	Eine, schauen gerade die Bundestag live. %PosSmiley	NE VVFIN ADV ART NN ADJA ITJ	2/SB 0/-- 2/MO 5/NK 2/OA 5/NK 0/NK	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=subj _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True EmoExpression::markable_48::SubjectiveFact=false|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::EmoExpression=True|EmoExpression::markable_48::Intensity=medium
322447486578987008	positive	Und wahrscheinlich ändert die EU selbst jetzt ihre Politik nicht %NegSmiley	und wahrscheinlich ändern die EU selbst jetzt ihr Politik nicht %NegSmiley	KON ADJD VVFIN ART NN ADV ADV PPOSAT NN PTKNEG ITJ	3/JU 3/MO 0/-- 5/NK 3/SB 7/MO 3/MO 9/NK 3/OA 3/NG 3/DM	Sentiment::markable_49::Intensity=medium|Sentiment::markable_49::Sentiment=True|Sentiment::markable_49::Polarity=positive|Sentiment::markable_49::Sarcasm=false Sentiment::markable_49::Sentiment=True|pos=True mood=ind|Target::markable_51::Anaphref=empty|pers=3|num=sg|tense=pres|Target::markable_51::Target=True|Target::markable_51::Preferred=true|Sentiment::markable_49::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=negative|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|Sentiment::markable_49::Sentiment=True
335892433973948416	negative	Seit die Wahl in den Focus rückt, spinnen sowieso viele rum. %NegSmiley@timurbeygo	seit die Wahl in die Focus rückt, spinnen sowieso viele rum. %NegSmiley@timurbeygo	APPR ART NN APPR ART NE NE VVFIN ADV PIAT NN NE	8/MO 3/NK 1/NK 3/MNR 7/NK 7/PNC 4/NK 0/-- 8/MO 11/NK 8/OA 0/--	_ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_100500165::SubjectiveFact=false|Sentiment::markable_52::Intensity=weak|EmoExpression::markable_100500165::Sarcasm=false|EmoExpression::markable_100500165::EmoExpression=True|EmoExpression::markable_100500165::Uncertain=false|Sentiment::markable_52::Polarity=negative|EmoExpression::markable_100500165::Intensity=medium|EmoExpression::markable_100500165::Polarity=positive|Sentiment::markable_52::Sentiment=True|Sentiment::markable_52::Sarcasm=false Sentiment::markable_52::Sentiment=True case=acc|num=pl|Sentiment::markable_52::Sentiment=True|Target::markable_100500166::Anaphref=empty|Target::markable_100500166::Target=True|gender=masc|Target::markable_100500166::Preferred=true case=acc|EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|gender=masc|EmoExpression::markable_54::Polarity=negative|EmoExpression::markable_54::Sarcasm=false|num=pl|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::Intensity=medium case=nom|gender=neut|num=sg
319202574500782080	positive	Ein Minister ist doch immer am Steuer, auch wenn er nicht selbst fährt %PosSmiley %User	eine Minister sein doch immer an Steuer, auch wenn er nicht selbst fahren %PosSmiley %User	ART NN VAFIN ADV ADV APPRART NN ADV KOUS PPER PTKNEG ADV VVFIN ITJ NE	2/NK 3/SB 0/-- 3/MO 6/MO 13/MO 6/NK 13/MO 13/CP 13/SB 12/NG 10/MNR 3/PD 15/NK 13/SB	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg|pers=3 _ _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_55::EmoExpression=True|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Sarcasm=false|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=positive case=nom|*=True|num=sg
337290531291934720	negative	wusste gar nicht, dass die auch politik machen. ich dachte, die %User kreist nur um sich selbst? %PosSmiley	wissen gar nicht, dass die auch politik machen. ich dachte, die %User kreisen nur um sich selbst? %PosSmiley	VVFIN ADV ADV KOUS ART ADV ADJA NE PPER VVFIN ART NE VVFIN ADV APPR PRF ADJA ITJ	13/MO 3/MO 13/MO 13/CP 8/NK 7/MO 8/NK 13/SB 10/SB 8/RC 12/NK 10/OA 0/-- 15/MO 13/MO 15/NK 15/MO 15/MO	pers=3|num=sg|tense=past|mood=ind _ _ _ case=nom|gender=fem|num=pl _ case=nom|gender=fem|num=pl|pos=True case=nom|gender=fem|num=pl case=nom|Sentiment::markable_56::Sarcasm=false|Source::markable_57::Anaphref=empty|Sentiment::markable_56::Sentiment=True|Sentiment::markable_56::Polarity=negative|*=True|pers=1|num=sg|Sentiment::markable_56::Intensity=medium|Source::markable_57::Source=True pers=1|Sentiment::markable_56::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg|Sentiment::markable_56::Sentiment=True case=acc|Target::markable_58::Target=True|num=sg|Target::markable_58::Anaphref=empty|Target::markable_58::Preferred=true|Sentiment::markable_56::Sentiment=True|gender=fem pers=3|Sentiment::markable_56::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_56::Sentiment=True Sentiment::markable_56::Sentiment=True case=acc|pers=3|num=sg|Sentiment::markable_56::Sentiment=True Sentiment::markable_56::Sentiment=True EmoExpression::markable_60::Polarity=positive|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Uncertain=false
333732673996599296	positive	Bubernd aus dem Kriegsministerium ist Vorsitzender, CDU-Nerz Vize %PosSmiley Piraten Noch Fragen?	Bubernd aus die Kriegsministerium sein Vorsitzender, CDU-Nerz Vize %PosSmiley Pirat noch Fragen?	NE APPR ART NN VAFIN NE NN NN ITJ NN KON NN	5/SB 1/MNR 4/NK 2/NK 0/-- 7/PNC 5/SB 5/PD 10/NK 8/NK 8/CD 11/CJ	case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Sarcasm=false|gender=neut|EmoExpression::markable_61::Intensity=medium|pers=3|num=sg|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True case=dat|gender=masc|num=pl _ case=acc|gender=masc|num=sg
333349352292622336	negative	Bayern ist gar kein deutsches Bundesland &gt;%NegSmiley sdr	Bayer sein gar keine deutsch Bundesland &gt;%NegSmiley sdr	NN VAFIN ADV PIAT ADJA NN NE NE	2/SB 0/-- 4/MO 6/NK 6/NK 2/SB 8/PNC 6/NK	case=nom|Sentiment::markable_62::Sentiment=True|Sentiment::markable_62::Sarcasm=false|Sentiment::markable_62::Polarity=negative|gender=neut|Target::markable_63::Preferred=true|num=sg|Target::markable_63::Target=True|Target::markable_63::Anaphref=empty|Sentiment::markable_62::Intensity=medium pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_62::Sentiment=True Sentiment::markable_62::Sentiment=True case=nom|num=sg|Sentiment::markable_62::Sentiment=True|gender=neut|Negation::markable_65::EmoExpressionRef=empty|Negation::markable_65::Negation=True case=nom|gender=neut|num=sg|pos=True|Sentiment::markable_62::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_62::Sentiment=True case=nom|Sentiment::markable_62::Sentiment=True|EmoExpression::markable_66::EmoExpression=True|gender=neut|num=sg|EmoExpression::markable_66::Polarity=negative|EmoExpression::markable_66::Uncertain=false|EmoExpression::markable_66::Intensity=medium|EmoExpression::markable_66::Sarcasm=false|EmoExpression::markable_66::SubjectiveFact=false _
317797998304309251	positive	Kaum spielt %User ingress liegen die grünen vorne%PosSmiley	kaum spielen %User ingress liegen die grün vorne%PosSmiley	ADV VVFIN NE NN VVFIN ART ADJA ADJA	2/MO 0/-- 4/PNC 2/SB 2/OC 8/NK 8/MO 5/SB	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg Sentiment::markable_67::Sentiment=True|mood=ind|Sentiment::markable_67::Sarcasm=false|pers=3|Sentiment::markable_67::Polarity=positive|num=pl|tense=pres|Sentiment::markable_67::Intensity=medium case=nom|Sentiment::markable_67::Sentiment=True|num=pl|Target::markable_100500167::Anaphref=empty|gender=masc|Target::markable_100500167::Preferred=true|Target::markable_100500167::Target=True case=nom|Sentiment::markable_67::Sentiment=True|num=pl|gender=masc|pos=True|Target::markable_100500167::Target=True case=nom|Sentiment::markable_67::Sentiment=True|EmoExpression::markable_68::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_68::Intensity=medium|num=pl|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false
336247185765191680	positive	ah soo%PosSmiley hast du Instagram? Karsilikli takip yaparsan benide gormus olursun%PosSmiley aber es ist Ihre Wahl, ob Sie wollen oder nicht	ah soo%PosSmiley haben du Instagram? Karsilikli takip yaparsan benide gormus olursun%PosSmiley aber es sein ihr Wahl, ob Sie wollen oder nicht	ITJ NE VAFIN PPER NN NE NN NN VVFIN NN ADJA KON PPER VAFIN PPOSAT NN KOUS PPER VMFIN KON PTKNEG	2/NK 5/NK 0/-- 3/SB 3/OA 7/PNC 9/SB 7/NK 0/-- 9/OA 10/NK 9/CD 14/SB 12/CJ 16/NK 14/PD 19/CP 19/SB 14/MO 19/CD 20/CJ	_ _ pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 case=acc|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=subj case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_70::Intensity=medium|EmoExpression::markable_70::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_70::Polarity=positive|EmoExpression::markable_70::Sarcasm=false|EmoExpression::markable_70::SubjectiveFact=false|num=sg|EmoExpression::markable_70::Uncertain=false _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|*=True|num=pl|pers=3 pers=3|num=pl|tense=pres|mood=ind _ _
323214492395773952	positive	Hmmm... Schwarz-gelb, okay aber die Dame müsste liegen weil Querformat! %PosSmiley	Hmmm... Schwarz-gelb, Okay aber die Dame müssen liegen weil Querformat! %PosSmiley	NN NE NE KON ART NN VMFIN VVFIN KOUS NN ITJ	8/SB 3/PNC 1/NK 1/CD 6/NK 4/CJ 0/-- 7/OC 8/MO 9/NK 10/NK	case=nom|gender=masc|num=sg|Sentiment::markable_71::Sentiment=True|Target::markable_73::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_71::Sentiment=True case=nom|EmoExpression::markable_72::EmoExpression=True|EmoExpression::markable_72::SubjectiveFact=false|EmoExpression::markable_72::Uncertain=false|gender=masc|EmoExpression::markable_72::Polarity=positive|EmoExpression::markable_72::Sarcasm=false|num=sg|EmoExpression::markable_72::Intensity=medium|Sentiment::markable_71::Sentiment=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|sup=True _ _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_74::EmoExpression=True|EmoExpression::markable_74::Uncertain=false|EmoExpression::markable_74::Intensity=medium|gender=masc|EmoExpression::markable_74::Polarity=positive|EmoExpression::markable_74::Sarcasm=false|num=sg|EmoExpression::markable_74::SubjectiveFact=false
338040220698177536	positive	unentschieden nach Elfmeterschiessen %PosSmiley Merkel wird dann eine Entscheidung treffen, Oh %NegSmiley cl	unentschieden nach Elfmeterschiessen %PosSmiley Merkel werden dann eine Entscheidung treffen, oh %NegSmiley cl	ADJD APPR NN ITJ NE VAFIN ADV ART NN ADJA ITJ ITJ NE	2/MO 10/MO 2/NK 5/NK 3/NK 0/-- 10/MO 9/NK 10/OA 6/OC 13/NK 13/NK 10/OA	pos=True _ case=dat|gender=masc|num=pl case=dat|EmoExpression::markable_79::Polarity=positive|gender=masc|EmoExpression::markable_79::Intensity=medium|EmoExpression::markable_79::Sarcasm=false|EmoExpression::markable_79::SubjectiveFact=false|num=pl|EmoExpression::markable_79::Uncertain=false|EmoExpression::markable_79::EmoExpression=True case=nom|Target::markable_76::Preferred=true|gender=masc|Sentiment::markable_75::Sentiment=True|Sentiment::markable_75::Sarcasm=false|Sentiment::markable_75::Intensity=medium|Target::markable_76::Target=True|num=sg|Target::markable_76::Anaphref=empty|Sentiment::markable_75::Polarity=positive pers=3|Target::markable_76::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_75::Sentiment=True Target::markable_76::Target=True|Sentiment::markable_75::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_75::Sentiment=True|Target::markable_76::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_75::Sentiment=True|Target::markable_76::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_75::Sentiment=True|pos=True case=acc|EmoExpression::markable_77::Uncertain=false|gender=fem|Sentiment::markable_75::Sentiment=True|EmoExpression::markable_77::EmoExpression=True|EmoExpression::markable_77::SubjectiveFact=false|num=sg|EmoExpression::markable_77::Sarcasm=false|EmoExpression::markable_77::Polarity=negative|EmoExpression::markable_77::Intensity=medium EmoExpression::markable_78::Intensity=medium|EmoExpression::markable_78::Polarity=negative|EmoExpression::markable_78::Uncertain=false|EmoExpression::markable_78::Sarcasm=false|EmoExpression::markable_78::SubjectiveFact=false|Sentiment::markable_75::Sentiment=True|EmoExpression::markable_78::EmoExpression=True _
319563493927944192	neutral	Nächste Woche, dann ist auch die Kanzlerin zurück vom Baden... %PosSmiley Wann geht es denn bei Phoenix wied ...	Nächste Woche, dann sein auch die Kanzlerin zurück von Baden... %PosSmiley wann gehen es denn bei Phoenix wied ...	NN NE ADV VAFIN ADV ART NN PTKVZ APPRART NN ITJ PWAV VVFIN PPER ADV APPR NE NE $.	4/SB 1/NK 1/MO 0/-- 7/MO 7/NK 4/SB 9/MO 4/PD 9/NK 10/NK 13/MO 0/-- 13/EP 13/MO 13/MO 18/PNC 16/NK 18/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ case=dat|*=True|num=sg _ _
337319800760049664	positive	Ähem, ich sagte "Union und SPD" - das ist nicht schwarzgelb! %PosSmiley	Ähem, ich sagen "Union und SPD" - die sein nicht schwarzgelb! %PosSmiley	NN PPER VVFIN NN KON VVFIN $( PDS VAFIN PTKNEG ADJA ITJ	3/SB 3/SB 0/-- 3/OA 3/CD 5/CJ 6/-- 9/SB 6/PAR 11/NG 9/PD 11/NK	pers=1|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ pos=True EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Uncertain=false|EmoExpression::markable_81::Sarcasm=false
336212711765585922	positive	Du hast fast die Bundestagswahl verpasst! %PosSmiley	du haben fast die Bundestagswahl verpasst! %PosSmiley	PPER VAFIN ADV ART NN ADJA ITJ	2/SB 0/-- 6/MO 5/NK 6/OA 2/OC 6/NK	case=nom|*=True|num=sg|pers=2 pers=2|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|EmoExpression::markable_82::Uncertain=false|gender=fem|EmoExpression::markable_82::Sarcasm=false|EmoExpression::markable_82::EmoExpression=True|num=sg|EmoExpression::markable_82::Intensity=medium|EmoExpression::markable_82::SubjectiveFact=false|EmoExpression::markable_82::Polarity=positive
319187555029508096	negative	Bundesregierung will an die Verschlüsselung in der Cloud Privatsphäre ist denen wohl ein Fremdwort %NegSmiley	Bundesregierung wollen an die Verschlüsselung in die Cloud Privatsphäre sein die wohl eine Fremdwort %NegSmiley	NN VMFIN APPR ART NN APPR ART NE NN VAFIN PDS ADV ART NN ITJ	2/SB 0/-- 2/MO 5/NK 3/NK 5/MNR 9/NK 9/NK 6/NK 2/CJ 10/SB 10/MO 14/NK 10/PD 14/NK	case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=dat|gender=fem|num=sg *=True case=dat|Sentiment::markable_83::Sarcasm=false|Target::markable_85::Preferred=true|gender=fem|Sentiment::markable_83::Intensity=medium|Target::markable_85::Target=True|Target::markable_85::Anaphref=empty|num=sg|Sentiment::markable_83::Polarity=negative|Sentiment::markable_83::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_83::Sentiment=True case=dat|*=True|num=pl|Sentiment::markable_83::Sentiment=True Sentiment::markable_83::Sentiment=True case=nom|EmoExpression::markable_86::Sarcasm=false|gender=neut|EmoExpression::markable_86::Intensity=medium|num=sg|EmoExpression::markable_86::Uncertain=false|EmoExpression::markable_86::Polarity=negative|EmoExpression::markable_86::EmoExpression=True|Sentiment::markable_83::Sentiment=True|EmoExpression::markable_86::SubjectiveFact=false case=nom|gender=neut|num=sg|EmoExpression::markable_86::EmoExpression=True|Sentiment::markable_83::Sentiment=True _
