324257473294917633	negative	Auf dem Tisch liegen Mozart Kugeln, ber ich will mich nicht bewegen... %NegSmiley	auf die Tisch liegen Mozart Kugeln, ber ich wollen ich nicht bewegen... %NegSmiley	APPR ART NN VVFIN NE NE VVFIN PPER VMFIN PPER PTKNEG ADJA ITJ	4/MO 3/NK 1/NK 0/-- 6/PNC 4/DA 4/MO 7/SB 7/MO 9/OA 9/NG 9/OC 12/NK	_ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative case=nom|Target::markable_3::Anaphref=empty|*=True|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|Target::markable_3::Target=True pers=1|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=acc|pers=1|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True
318112734157881344	positive	""Die GRÜNEN werden alles mitmachen, solange sie nur ihre Dienstwagen bekommen." %PosSmiley" Und dabei fuhren die früher Fahrrad!	""Die grünen werden alle mitmachen, solange sie nur ihr Dienstwagen bekommen." %PosSmiley" und dabei fahren die früh Fahrrad!	NN VVINF VAINF PIS VVFIN KOUS PPER ADV PPOSAT NN ADJA NN KON PAV VVFIN ART ADJD ADJA	3/OC 3/OC 0/-- 5/NK 3/OC 11/CP 11/SB 10/MO 10/NK 11/OA 5/MO 15/SB 12/CD 13/NK 0/-- 18/NK 18/MO 15/SB	_ _ pers=3|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ case=nom|gender=fem|num=sg|pers=3 _ case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl case=acc|EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|gender=masc|pos=True|num=pl|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium pos=True _ _ pers=3|num=pl|tense=past|mood=ind case=nom|gender=masc|num=pl comp=True case=acc|gender=fem|num=pl|pos=True
318528604239720449	negative	:-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	:-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	$( NN NE ART NN ART NN NE	2/-- 0/-- 2/NK 5/NK 2/DA 7/NK 5/AG 7/NK	EmoExpression::markable_100500210::Polarity=negative|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::Uncertain=false|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::SubjectiveFact=false|EmoExpression::markable_100500210::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
333323056183402496	negative	Heisst, Merkel ist stets lull und lalle? %PosSmiley	Heisst, Merkel sein stets lullen und lalle? %PosSmiley	NE NE VAFIN ADV VVIMP KON ADJA ITJ	2/PNC 3/SB 0/-- 3/MO 3/CJ 5/CD 6/CJ 5/NK	case=nom|gender=neut|num=sg case=nom|Target::markable_100500212::Anaphref=empty|Sentiment::markable_100500211::Sentiment=True|Sentiment::markable_100500211::Sarcasm=false|gender=neut|Target::markable_100500212::Target=True|Sentiment::markable_100500211::Intensity=weak|num=sg|Target::markable_100500212::Preferred=true|Sentiment::markable_100500211::Polarity=negative pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Sarcasm=false|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false|pos=True|EmoExpression::markable_100500213::Intensity=weak|EmoExpression::markable_100500213::Polarity=negative Sentiment::markable_100500211::Sentiment=True EmoExpression::markable_18::SubjectiveFact=false|Sentiment::markable_100500211::Sentiment=True|pos=True|EmoExpression::markable_18::Intensity=medium|EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_18::EmoExpression=True
317749432114356224	negative	wir brauchen die doch gar nicht bis September hat Merkel den Euro schon ganz alleine ruiniert%PosSmiley.	wir brauchen die doch gar nicht bis September haben Merkel die Euro schon ganz alleine ruiniert%PosSmiley.	PPER VVFIN ART ADV ADV PTKNEG APPR NN VAFIN NE ART NN ADV ADV ADV ADJA	2/SB 0/-- 2/OA 2/MO 6/MO 2/NG 2/MO 7/NK 7/CJ 9/SB 12/NK 2/OA 2/MO 15/MO 2/MO 2/MO	case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=sg _ _ _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_100500341::EmoExpression=True|EmoExpression::markable_100500341::Intensity=medium|EmoExpression::markable_100500341::Uncertain=false|EmoExpression::markable_100500341::SubjectiveFact=false|EmoExpression::markable_100500341::Polarity=negative|EmoExpression::markable_100500341::Sarcasm=false EmoExpression::markable_100500341::EmoExpression=True EmoExpression::markable_100500341::EmoExpression=True case=nom|gender=masc|num=sg|pos=True
338015719956553728	negative	Natürlich war die FDP eigentlich schon immer gegen das Drohnenprojekt. %PosSmiley %Link	natürlich sein die FDP eigentlich schon immer gegen die Drohnenprojekt. %PosSmiley %Link	ADJD VAFIN ART NE ADV ADV ADV APPR ART NN ITJ XY	2/PD 0/-- 4/NK 2/SB 2/MO 7/MO 2/MO 2/MO 10/NK 8/NK 12/NK 0/--	Sentiment::markable_100500216::Sentiment=True|Sentiment::markable_100500216::Sarcasm=false|pos=True|Sentiment::markable_100500216::Intensity=medium|Sentiment::markable_100500216::Polarity=negative Sentiment::markable_100500216::Sentiment=True|mood=ind|EmoExpression::markable_100500218::Uncertain=false|pers=3|EmoExpression::markable_100500218::Intensity=medium|num=sg|tense=past|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::Polarity=negative|EmoExpression::markable_100500218::Sarcasm=false case=nom|Source::markable_100500217::Source=True|num=sg|Sentiment::markable_100500216::Sentiment=True|Source::markable_100500217::Anaphref=empty|gender=fem case=nom|gender=fem|Source::markable_100500217::Source=True|num=sg|Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True|EmoExpression::markable_100500218::EmoExpression=True case=acc|Target::markable_100500219::Preferred=true|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500219::Target=True|gender=neut|Target::markable_100500219::Anaphref=empty case=acc|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _
334028793075351552	negative	Wie bei Apple, das selbe Prinzip Daimler %NegSmiley echt grumpy haf hartaberfair Lindner FDP &lt;- BUH	wie bei Apple, die selbe Prinzip Daimler %NegSmiley echt grumpy haf hartaberfair Lindner FDP &lt;- buhen	KOKOM APPR NE ART PDAT NN NE ITJ ADJD ADJD ADJA ADJA NE NE NN VVIMP	2/CM 11/MO 2/NK 6/NK 6/NK 11/OA 6/NK 10/DM 10/MO 11/MO 12/MO 0/-- 14/PNC 15/NK 12/SB 12/NK	_ _ case=dat|*=True|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=nom|*=True|num=sg case=nom|EmoExpression::markable_21::EmoExpression=True|*=True|EmoExpression::markable_21::Intensity=medium|num=sg|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=false pos=True EmoExpression::markable_100500342::Intensity=medium|EmoExpression::markable_100500342::SubjectiveFact=false|EmoExpression::markable_100500342::EmoExpression=True|EmoExpression::markable_100500342::Polarity=negative|EmoExpression::markable_100500342::Sarcasm=false|EmoExpression::markable_100500342::Uncertain=false case=nom|gender=fem|num=sg|pers=2 pos=True *=True|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_100500215::SubjectiveFact=false|EmoExpression::markable_100500215::Polarity=negative|gender=fem|EmoExpression::markable_100500215::Uncertain=false|EmoExpression::markable_100500215::Intensity=medium|EmoExpression::markable_100500215::EmoExpression=True|num=sg|EmoExpression::markable_100500215::Sarcasm=false
320082761090224128	positive	Ich glaub es nicht %PosSmiley - Die Gelben jetzt auch! cdu spd fdp ltnrw %Link	ich glauben es nicht %PosSmiley - die Gelbe jetzt auch! cdu spd fdp ltnrw %Link	PPER VVIMP PPER PTKNEG ITJ $( ART NN ADV ADJA NN ADJA NN NN XY	4/SB 1/NK 2/OA 0/-- 4/NK 7/-- 8/NK 10/OA 10/MO 0/-- 12/MO 0/-- 12/SB 12/OA 0/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _ case=nom|gender=neut|num=pl|pos=True _ _ _ _ _
322440939207528448	positive	Dann war doch tatsächlich heute der Bundespräsident in unserer stadt! Endlich auch mal was los hier %PosSmiley	dann sein doch tatsächlich heute die Bundespräsident in unser stadt! endlich auch mal was los hier %PosSmiley	ADV VAFIN ADV ADJD ADV ART NN APPR PPOSAT ADJA ADV ADV ADV PIS ADJD PTKVZ ITJ	2/MO 0/-- 2/MO 2/MO 2/MO 7/NK 2/SB 2/MO 10/NK 8/NK 15/MO 15/MO 15/MO 15/OA 0/-- 15/MO 16/NK	_ pers=3|num=sg|tense=past|mood=ind _ pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True Sentiment::markable_24::Intensity=medium|EmoExpression::markable_100500221::SubjectiveFact=false|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_100500221::Sarcasm=false|Sentiment::markable_24::Polarity=positive|EmoExpression::markable_100500221::Polarity=positive|EmoExpression::markable_100500221::EmoExpression=True|Target::markable_25::Target=True|Target::markable_25::Preferred=true|Sentiment::markable_24::Sarcasm=false|EmoExpression::markable_100500221::Uncertain=false|Target::markable_25::Anaphref=empty|EmoExpression::markable_100500221::Intensity=medium Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_24::Sentiment=True|Target::markable_25::Target=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
335852189388001280	mixed	Wir sind schon ganz gespannt auf den ESC Beitrag von Nordkorea %PosSmiley %Link	wir sein schon ganz gespannt auf die ESC Beitrag von Nordkorea %PosSmiley %Link	PPER VAFIN ADV ADV ADJD APPR ART NE NN APPR NE ITJ XY	2/SB 0/-- 2/MO 5/MO 2/MO 2/MO 9/NK 9/NK 6/NK 9/PG 10/NK 6/MO 12/NK	case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind _ _ pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|EmoExpression::markable_100500343::Uncertain=false|EmoExpression::markable_100500343::Intensity=medium|EmoExpression::markable_100500343::Sarcasm=false|EmoExpression::markable_100500343::Polarity=negative|gender=neut|EmoExpression::markable_100500343::EmoExpression=True|num=sg|EmoExpression::markable_100500343::SubjectiveFact=true EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive _
332241137748287488	positive	Die treten bei jeder Wahl an%PosSmiley ampunkt	die treten bei jede Wahl an%PosSmiley ampunkt	PDS VVFIN APPR PIAT NN NE NN	2/SB 0/-- 2/MO 5/NK 3/NK 5/NK 2/OA	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=nom|gender=neut|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|num=sg|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false case=acc|gender=masc|num=sg
335153276972564480	mixed	"Wenn Sie hier so weitermachen hat Frau Merkel bald einen Hals." %PosSmiley	"Wenn Sie hier so weitermachen haben Frau Merkel bald eine Hals." %PosSmiley	NN PPER ADV ADV VVINF VAFIN NN NE ADV ART NN ITJ	5/OA 6/SB 5/MO 5/MO 6/OC 0/-- 6/SB 7/NK 6/MO 11/NK 6/OA 0/NK	case=nom|gender=masc|num=sg case=nom|*=True|num=pl|pers=3 _ _ _ EmoExpression::markable_100500220::SubjectiveFact=false|EmoExpression::markable_100500220::Polarity=negative|mood=ind|EmoExpression::markable_100500220::Sarcasm=false|EmoExpression::markable_100500220::Uncertain=false|EmoExpression::markable_100500220::Intensity=medium|pers=3|EmoExpression::markable_100500220::EmoExpression=True|num=sg|tense=pres case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=masc|EmoExpression::markable_100500220::EmoExpression=True|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
335167640039464960	positive	Das Handelsblatt mit einem zehnseitigen Spezial "150 Jahre SPD". Da bin ich aber mal gespannt %PosSmiley %Link	die Handelsblatt mit eine zehnseitig Spezial "150 Jahr SPD". da sein ich aber mal spannen %PosSmiley %Link	ART NN APPR ART ADJA NN CARD NN NE ADV VAFIN PPER ADV ADV VVPP ITJ XY	2/NK 0/-- 2/MNR 6/NK 6/NK 3/NK 8/NK 2/PAR 8/NK 15/MO 0/-- 11/SB 15/MO 15/MO 11/OC 17/NK 15/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ case=nom|gender=neut|num=pl case=nom|gender=masc|num=sg _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false _
335485629439832064	positive	da bleibt ja dann nicht mehr viel Zeit für die Lieblingspartei der heute-show,der FDP%PosSmiley!	da bleiben ja dann nicht mehr viele Zeit für die Lieblingspartei die heute-show,der FDP%PosSmiley!	ADV VVFIN ADV ADV PTKNEG ADV PIAT NN APPR ART NN ART NN ADJA	2/MO 0/-- 2/MO 2/MO 2/NG 5/MO 8/NK 14/OA 8/MNR 11/NK 9/NK 13/NK 11/AG 2/OC	_ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ *=True case=acc|gender=fem|num=sg _ case=acc|Sentiment::markable_100500225::Sentiment=True|num=sg|gender=fem|Sentiment::markable_100500225::Sarcasm=false|Sentiment::markable_100500225::Polarity=positive|Sentiment::markable_100500225::Intensity=medium case=acc|gender=fem|num=sg|Sentiment::markable_100500225::Sentiment=True case=gen|Target::markable_100500226::Target=True|num=pl|Sentiment::markable_100500225::Sentiment=True|Target::markable_100500226::Anaphref=empty|gender=masc|Target::markable_100500226::Preferred=true case=gen|gender=masc|EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|num=pl|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false case=gen|gender=masc|num=pl|pos=True
335147496026275840	positive	Der Abend geht, %User erfrischt weiterhin den Bundestag %PosSmiley mitternachtsberatung	die Abend geht, %User erfrischen weiterhin die Bundestag %PosSmiley mitternachtsberatung	ART NN NE NE VVFIN ADV ART NN ITJ ADJA	2/NK 5/SB 4/PNC 2/NK 0/-- 5/MO 8/NK 5/OA 8/NK 5/MO	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|Sentiment::markable_100500229::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|gender=masc|Target::markable_100500230::Anaphref=empty|Sentiment::markable_100500229::Polarity=positive|num=sg|Sentiment::markable_100500229::Sarcasm=false|Target::markable_100500230::Target=True|Target::markable_100500230::Preferred=true EmoExpression::markable_100500231::Intensity=medium|mood=ind|EmoExpression::markable_100500231::EmoExpression=True|EmoExpression::markable_100500231::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_100500231::Polarity=positive|EmoExpression::markable_100500231::SubjectiveFact=false|EmoExpression::markable_100500231::Uncertain=false|Sentiment::markable_100500229::Sentiment=True Sentiment::markable_100500229::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500229::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500229::Sentiment=True EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|Sentiment::markable_100500229::Sentiment=True|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=positive _
325355598579372033	positive	Das stimmt. Ist aber mit Merkel und Schwarz-Gelb genauso %PosSmiley	die stimmt. sein aber mit Merkel und Schwarz-Gelb genauso %PosSmiley	ART NN VAFIN ADV APPR NE KON NN ADV ITJ	2/NK 0/-- 0/-- 3/MO 3/MO 5/NK 6/CD 7/CJ 3/PD 9/DM	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|*=True|num=sg _ case=dat|*=True|num=sg _ case=dat|EmoExpression::markable_36::EmoExpression=True|*=True|EmoExpression::markable_36::Intensity=medium|num=sg|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false
337296596230340608	negative	Merkel hat Deutschland ausgedient, werft sie auf die Müllhalde der Geschichte! %NegSmiley	Merkel haben Deutschland ausgedient, werfen sie auf die Müllhalde die Geschichte! %NegSmiley	NE VAFIN NE NE VVFIN PPER APPR ART NN ART NN ITJ	2/SB 0/-- 4/PNC 5/MO 2/OC 5/SB 5/MO 9/NK 7/NK 11/NK 9/AG 5/DM	case=nom|*=True|num=sg|Target::markable_100500222::Target=True|Sentiment::markable_37::Sentiment=True|Sentiment::markable_37::Sarcasm=false|Target::markable_100500222::Preferred=true|Sentiment::markable_37::Polarity=negative|Target::markable_100500222::Anaphref=empty|Sentiment::markable_37::Intensity=medium pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_37::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_37::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_37::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_37::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True|pers=3 Sentiment::markable_37::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True case=acc|EmoExpression::markable_100500223::Sarcasm=false|EmoExpression::markable_100500223::EmoExpression=True|EmoExpression::markable_100500223::SubjectiveFact=false|gender=fem|EmoExpression::markable_100500223::Polarity=negative|num=sg|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_100500223::Intensity=medium|EmoExpression::markable_100500223::Uncertain=false case=gen|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_39::Polarity=negative|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
332259786190102528	positive	Rösler und Brüderle wegen deren Parteitagsreden wären der "Rede wert", oder gab's das schon ? %PosSmiley ansonsten gerne CDU %PosSmiley	Rösler und Brüderle wegen die Parteitagsrede sein die "Rede wert", oder geben die schon ? %PosSmiley ansonsten gerne CDU %PosSmiley	NN KON NN APPR PDAT NN VAFIN ART NN NE KON VVFIN PDS ADV $. ITJ ADV ADV NE ITJ	7/SB 1/CD 2/CJ 1/MNR 6/NK 4/NK 0/-- 9/NK 7/SB 9/NK 7/CD 11/CJ 12/OA 12/MO 14/-- 14/DM 19/MO 19/MO 0/-- 19/NK	case=nom|gender=masc|num=pl _ case=nom|gender=masc|num=pl _ case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl pers=3|num=pl|tense=past|mood=subj case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive _ Sentiment::markable_41::Intensity=medium|EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True|Sentiment::markable_41::Polarity=positive|Sentiment::markable_41::Sentiment=True|Sentiment::markable_41::Sarcasm=false|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false case=nom|num=sg|Sentiment::markable_41::Sentiment=True|Target::markable_42::Target=True|gender=fem|Target::markable_42::Preferred=true|Target::markable_42::Anaphref=empty case=nom|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::SubjectiveFact=false|gender=fem|EmoExpression::markable_44::Polarity=positive|EmoExpression::markable_44::Uncertain=false|num=sg|Sentiment::markable_41::Sentiment=True|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::EmoExpression=True
322803491292725248	neutral	Stimmt, da war ja noch was %PosSmiley Unter Zeitdruck Mehdorn Berlin Hauptstadtbahnhof ber	Stimmt, da sein ja noch was %PosSmiley unter Zeitdruck Mehdorn Berlin Hauptstadtbahnhof ber	NE ADV VAFIN ADV ADV PIS ITJ APPR NN NE NE NN ADJA	3/SB 1/MO 0/-- 3/MO 6/MO 3/SB 8/MO 3/MO 8/NK 11/PNC 9/NK 3/PD 12/MO	case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=past|mood=ind _ _ gender=neut|*=True case=gen|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg _
337654220842995712	positive	Lassalle forderte schon einen Mindestlohn. Nach der letzten SPD-Regierung fordert man das immer noch %PosSmiley 150JahreSPD	Lassalle fordern schon eine Mindestlohn. nach die letzt SPD-Regierung fordern man die immer noch %PosSmiley 150JahreSPD	NN VVFIN ADV ART NE APPR ART ADJA NN VVFIN PIS PDS ADV ADV ITJ NN	2/SB 0/-- 2/MO 5/NK 2/OA 10/MO 9/NK 9/NK 6/NK 0/-- 10/SB 10/OA 14/MO 10/MO 16/NK 10/OA	case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=neut|num=sg _ _ case=nom|EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|gender=fem|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive|num=sg|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false case=nom|gender=fem|num=sg
320072692550217728	mixed	wahrscheinlich, Steinbrück fühlte sich als Kanzler ja eh unterbezahlt %PosSmiley	wahrscheinlich, Steinbrück fühlen sich als Kanzler ja eh unterbezahlen %PosSmiley	ADJA NN VVFIN PRF KOKOM NN ADV ADV VVPP ITJ	2/NK 3/SB 0/-- 3/OA 9/MO 5/NK 9/MO 9/MO 3/MO 9/NK	case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind case=acc|pers=3|num=sg _ case=nom|gender=masc|num=sg _ _ EmoExpression::markable_100500344::Intensity=medium|EmoExpression::markable_100500344::Sarcasm=false|EmoExpression::markable_100500344::SubjectiveFact=false|EmoExpression::markable_100500344::EmoExpression=True|EmoExpression::markable_100500344::Uncertain=false|EmoExpression::markable_100500344::Polarity=negative EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium
319178588505141250	positive	Mehr Partizipation bei der SPD %PosSmiley %Link	mehr Partizipation bei die SPD %PosSmiley %Link	ADV NN APPR ART NE ITJ XY	7/NK 1/CC 2/MNR 5/NK 3/NK 1/DM 0/--	*=True case=acc|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_48::SubjectiveFact=false|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::EmoExpression=True|EmoExpression::markable_48::Intensity=medium _
