381454356932861952	negative	so wird das nix mit meiner Stimme für die Piraten %PosSmiley	so werden die nix mit mein Stimme für die Pirat %PosSmiley	ADV VAFIN ART PIS APPR PPOSAT NN APPR ART NN ITJ	2/MO 0/-- 2/SB 5/MO 2/CJ 7/NK 5/NK 7/MNR 10/NK 8/NK 5/MO	Sentiment::markable_296::Sarcasm=false|Sentiment::markable_296::Intensity=medium|Sentiment::markable_296::Sentiment=True|Sentiment::markable_296::Polarity=negative pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_296::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_296::Sentiment=True gender=neut|*=True|Sentiment::markable_296::Sentiment=True|Negation::markable_299::Negation=True|Negation::markable_299::EmoExpressionRef=empty Sentiment::markable_296::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_296::Sentiment=True case=dat|EmoExpression::markable_298::Sarcasm=false|EmoExpression::markable_298::Uncertain=false|EmoExpression::markable_298::Polarity=positive|gender=fem|EmoExpression::markable_298::SubjectiveFact=false|num=sg|EmoExpression::markable_298::Intensity=medium|Sentiment::markable_296::Sentiment=True|EmoExpression::markable_298::EmoExpression=True Sentiment::markable_296::Sentiment=True case=acc|num=pl|Target::markable_297::Target=True|Target::markable_297::Preferred=true|Sentiment::markable_296::Sentiment=True|Target::markable_297::Anaphref=empty|gender=fem case=acc|gender=fem|num=pl|Target::markable_297::Target=True|Sentiment::markable_296::Sentiment=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|Sentiment::markable_296::Sentiment=True|EmoExpression::markable_1::Intensity=medium
377538254427258880	positive	Der Sachsenspiegel begleitet %User und %User auf Wahlkampf im Regen %PosSmiley %Link DresdenOrange Pirat...	die Sachsenspiegel begleiten %User und %User auf Wahlkampf in Regen %PosSmiley %Link DresdenOrange Pirat...	ART NN VVFIN NE KON NE APPR NN APPRART NN ITJ XY NN NE	2/NK 3/SB 0/-- 3/OA 4/CD 5/CJ 3/MO 7/NK 8/MNR 9/NK 14/NK 11/NK 14/PNC 10/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|*=True|num=sg _ case=acc|*=True|num=sg _ case=acc|gender=masc|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|*=True|EmoExpression::markable_22::Polarity=positive *=True *=True case=nom|*=True|num=sg
382116848201777152	negative	Die Grünen sind ja auch nicht Fleisch und Fisch. Und auf mehr lässt sich die CDU auch nicht ein. %PosSmiley	die Grüne sein ja auch nicht Fleisch und Fisch. und auf mehr lassen sich die CDU auch nicht ein. %PosSmiley	ART NN VAFIN ADV ADV PTKNEG NN KON NN KON APPR ADV VVFIN PRF ART NE ADV PTKNEG VVPP ITJ	2/NK 3/SB 0/-- 3/MO 7/MO 7/NG 3/SB 7/CD 8/CJ 13/JU 13/MO 11/NK 0/-- 19/OA 16/NK 13/SB 13/MO 13/NG 13/OC 0/NK	case=nom|Target::markable_302::Anaphref=empty|Sentiment::markable_301::Intensity=medium|Sentiment::markable_301::Sarcasm=false|Sentiment::markable_301::Sentiment=True|*=True|Target::markable_302::Target=True|num=pl|Target::markable_302::Preferred=true|Sentiment::markable_301::Polarity=negative case=nom|*=True|num=pl|Target::markable_302::Target=True|Sentiment::markable_301::Sentiment=True pers=3|Sentiment::markable_301::Sentiment=True|num=pl|tense=pres|mood=ind Sentiment::markable_301::Sentiment=True Sentiment::markable_301::Sentiment=True EmoExpression::markable_100500514::EmoExpression=True|EmoExpression::markable_100500514::Intensity=medium|EmoExpression::markable_100500514::Uncertain=false|EmoExpression::markable_100500514::SubjectiveFact=false|EmoExpression::markable_100500514::Polarity=negative|EmoExpression::markable_100500514::Sarcasm=false|Sentiment::markable_301::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_301::Sentiment=True|EmoExpression::markable_100500514::EmoExpression=True EmoExpression::markable_100500514::EmoExpression=True|Sentiment::markable_301::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_301::Sentiment=True _ _ _ mood=ind|EmoExpression::markable_100500515::Intensity=weak|pers=3|num=sg|tense=pres|EmoExpression::markable_100500515::EmoExpression=True|EmoExpression::markable_100500515::Uncertain=false|EmoExpression::markable_100500515::Polarity=positive|EmoExpression::markable_100500515::Sarcasm=false|EmoExpression::markable_100500515::SubjectiveFact=false case=acc|pers=3|num=sg|EmoExpression::markable_100500515::EmoExpression=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ _ EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
375345686994513920	positive	Seehofer "Ich bin ein Architekt der Energiewende". Ja Horst, du bist auch Kaiser von China %PosSmiley tvduell ltwby13 Horst	Seehofer "Ich sein eine Architekt die Energiewende". Ja Horst, du sein auch Kaiser von China %PosSmiley tvduell ltwby13 Horst	NE NN VAFIN ART NN ART ADJA NN NE PPER VAFIN ADV NN APPR NE ITJ ADJD CARD NN	3/SB 1/UC 0/-- 5/NK 3/PD 7/NK 5/AG 10/RE 8/NK 11/SB 0/-- 13/MO 11/PD 13/PG 14/NK 17/DM 18/MO 19/NK 11/MO	case=nom|*=True|num=sg *=True pers=1|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True case=nom|Sentiment::markable_24::Sentiment=True|num=sg|Sentiment::markable_24::Intensity=medium|gender=fem|Sentiment::markable_24::Sarcasm=true|Sentiment::markable_24::Polarity=positive case=nom|gender=fem|num=sg|Sentiment::markable_24::Sentiment=True case=nom|pers=2|num=sg|Sentiment::markable_24::Sentiment=True|*=True|Target::markable_26::Target=True pers=2|Sentiment::markable_24::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_26::Target=True Sentiment::markable_24::Sentiment=True|Target::markable_26::Target=True case=nom|gender=masc|num=sg|Target::markable_26::Target=True|Sentiment::markable_24::Sentiment=True Sentiment::markable_24::Sentiment=True|Target::markable_26::Target=True case=dat|gender=neut|num=sg|Target::markable_26::Target=True|Sentiment::markable_24::Sentiment=True case=dat|EmoExpression::markable_25::Polarity=positive|gender=neut|EmoExpression::markable_25::EmoExpression=True|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_25::Intensity=medium|num=sg|EmoExpression::markable_25::Sarcasm=true|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false pos=True _ gender=fem|*=True|num=sg
373759052226265088	positive	So saucool: Die Foto-Lovestory mit einem How-To-Briefwahl der %User %Link %PosSmiley spd+	so saucool: die Foto-Lovestory mit eine How-To-Briefwahl die %User %Link %PosSmiley spd+	ADV VVFIN ART NN APPR ART NN ART NE XY ITJ ADJA	2/MO 0/-- 4/NK 2/SB 2/MO 7/NK 5/NK 9/NK 7/AG 9/PNC 9/NK 9/NK	Intensifier::markable_307::Intensifier=True|Sentiment::markable_304::Polarity=positive|Intensifier::markable_307::Degree=medium|Sentiment::markable_304::Sentiment=True|Sentiment::markable_304::Sarcasm=false|Intensifier::markable_307::EmoExpressionRef=emo-expression:markable_306|Sentiment::markable_304::Intensity=strong pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_304::Sentiment=True case=nom|num=sg|Target::markable_305::Target=True|Target::markable_305::Preferred=true|Sentiment::markable_304::Sentiment=True|Target::markable_305::Anaphref=empty|gender=fem case=nom|gender=fem|num=sg|Target::markable_305::Target=True|Sentiment::markable_304::Sentiment=True Target::markable_305::Target=True|Sentiment::markable_304::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_305::Target=True|Sentiment::markable_304::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_305::Target=True|Sentiment::markable_304::Sentiment=True case=gen|gender=neut|num=pl case=gen|gender=fem|num=sg case=gen|EmoExpression::markable_308::Uncertain=false|Sentiment::markable_304::Sentiment=True|gender=fem|EmoExpression::markable_308::EmoExpression=True|EmoExpression::markable_308::Sarcasm=false|num=sg|EmoExpression::markable_308::SubjectiveFact=false|EmoExpression::markable_308::Polarity=positive|EmoExpression::markable_308::Intensity=medium case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True
381585246585905152	mixed	Nehme ich! "In Hessen verliert CDU 10%, SPD gewinnt 14%, FDP verliert 10% u kommt auf 8,8 - Grüne bei 10,7. Linke 23,7 %PosSmiley Raab"	nehmen ich! "In Hessen verlieren CDU @card@ SPD gewinnen @card@ FDP verlieren @card@ U kommen auf @card@ - Grüne bei @ord@ Linke @card@ %PosSmiley Raab"	VVFIN ADJA NN NE VVFIN NE CARD NE VVFIN CARD NE VVFIN CARD NN VVFIN APPR CARD $( NN APPR ADJA NN CARD ITJ ADJA	0/-- 1/MO 5/SB 3/NK 0/-- 5/SB 8/NK 9/SB 5/CJ 9/MO 12/SB 9/CJ 14/NK 12/OA 12/CJ 15/MO 19/NK 17/-- 16/NK 19/MNR 22/NK 20/NK 24/NK 25/NK 19/UC	pers=1|num=sg|tense=pres|mood=ind _ _ case=nom|gender=neut|num=sg EmoExpression::markable_309::EmoExpression=True|mood=ind|pers=3|num=sg|tense=pres|EmoExpression::markable_309::Polarity=negative|EmoExpression::markable_309::Intensity=weak|EmoExpression::markable_309::Uncertain=false|EmoExpression::markable_309::Sarcasm=false|EmoExpression::markable_309::SubjectiveFact=false case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg EmoExpression::markable_310::Polarity=positive|mood=ind|EmoExpression::markable_310::EmoExpression=True|EmoExpression::markable_310::Intensity=medium|EmoExpression::markable_310::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_310::SubjectiveFact=false|EmoExpression::markable_310::Uncertain=false _ case=nom|gender=fem|num=sg mood=ind|EmoExpression::markable_311::Uncertain=false|pers=3|EmoExpression::markable_311::Polarity=negative|num=sg|tense=pres|EmoExpression::markable_311::Sarcasm=false|EmoExpression::markable_311::SubjectiveFact=false|EmoExpression::markable_311::Intensity=weak|EmoExpression::markable_311::EmoExpression=True _ _ pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|*=True|num=pl _ case=nom|*=True|num=pl case=nom|*=True|num=pl _ _ case=dat|*=True|num=pl|pos=True
382563418533670912	positive	Markus Lanz hat heute (22.45 Uhr) mal wieder Wolfgang Kubicki (FDP) zu Gast %PosSmiley	Markus Lanz haben heute (22.45 Uhr) mal wieder Wolfgang Kubicki (FDP) zu Gast %PosSmiley	NE NN VAFIN ADV CARD NN ADV ADV NE NE NN APPR NN ITJ	2/PNC 3/SB 0/-- 3/MO 6/NK 3/OA 6/MO 3/MO 10/PNC 11/NK 3/OA 11/MNR 12/NK 13/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ pos=True _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|gender=masc|EmoExpression::markable_28::Intensity=medium|num=sg|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
378591413564620800	negative	hmm ... kann den tweet nicht mehr finden %NegSmiley. okay, wiegesagt, eigene meinung ... AfD+ BlauesWunder	hmm ... können die tweet nicht mehr finden %NegSmiley. okay, wiegesagt, eigen Meinung ... AfD+ BlauesWunder	NN $. VMFIN ART ADJA PTKNEG ADV VVFIN NN NE NE ADJA NN $. ADJA NN	0/-- 1/-- 0/-- 5/NK 3/SB 8/NG 6/MO 3/CJ 8/SB 11/PNC 9/NK 13/NK 8/OA 13/-- 16/NK 0/--	case=nom|gender=masc|num=sg _ Sentiment::markable_29::Polarity=negative|Sentiment::markable_29::Intensity=medium|Target::markable_31::Target=True|Target::markable_31::Preferred=true|mood=ind|Sentiment::markable_29::Sentiment=True|Sentiment::markable_29::Sarcasm=false|Target::markable_31::Anaphref=empty|pers=3|num=sg|tense=pres case=acc|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_29::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_29::Sentiment=True|Target::markable_31::Target=True Target::markable_31::Target=True|Sentiment::markable_29::Sentiment=True Target::markable_31::Target=True|Sentiment::markable_29::Sentiment=True Target::markable_31::Target=True|EmoExpression::markable_100500516::SubjectiveFact=false|Sentiment::markable_29::Sentiment=True|EmoExpression::markable_100500516::Uncertain=false|EmoExpression::markable_100500516::Intensity=weak|EmoExpression::markable_100500516::Sarcasm=false|EmoExpression::markable_100500516::Polarity=positive|EmoExpression::markable_100500516::EmoExpression=True case=acc|gender=fem|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=pl
372078334332526592	positive	Unser Park, unser Geld, unsere Stadt! - NICHT unser Finanzminister! %PosSmiley schmid spd s21 btw13	unser Park, unser Geld, unser Stadt! - nicht unser Finanzminister! %PosSmiley Schmid spd s21 btw13	PPOSAT NN PPOSAT NN PPOSAT NN $( PTKNEG PPOSAT NN ITJ NE VVFIN CARD ADJA	2/NK 0/-- 4/NK 2/CJ 6/NK 4/OA 8/-- 10/NG 10/NK 0/-- 10/NK 13/SB 0/-- 15/NK 13/SB	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ Sentiment::markable_312::Sentiment=True|Negation::markable_315::EmoExpressionRef=emo-expression:markable_314|Sentiment::markable_312::Polarity=positive|Sentiment::markable_312::Intensity=medium|Sentiment::markable_312::Sarcasm=false|Negation::markable_315::Negation=True case=nom|EmoExpression::markable_314::Intensity=medium|EmoExpression::markable_314::Polarity=positive|EmoExpression::markable_314::Uncertain=false|gender=neut|Sentiment::markable_312::Sentiment=True|EmoExpression::markable_314::SubjectiveFact=false|num=sg|EmoExpression::markable_314::Sarcasm=false|EmoExpression::markable_314::EmoExpression=True case=nom|gender=neut|num=sg|Sentiment::markable_312::Sentiment=True Sentiment::markable_312::Sentiment=True|EmoExpression::markable_32::Intensity=strong|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True case=nom|*=True|num=sg|Sentiment::markable_312::Sentiment=True|Target::markable_313::Target=True pers=3|num=sg|tense=past|mood=ind _ case=nom|*=True|num=sg
378532990315683840	mixed	"Wenn %User sich für den Stinkefinger nicht entschuldigt, wähle ich SPD!" ... das is doch mal eine Ansage! %PosSmiley	"Wenn %User sich für die Stinkefinger nicht entschuldigt, wählen ich SPD!" ... die is doch mal eine Ansage! %PosSmiley	NN NE PRF APPR ART NN PTKNEG NE VVFIN PPER ADJD $. ART NE ADV ADV ART NN ITJ	9/SB 1/NK 9/OA 9/MO 6/NK 4/NK 8/NG 6/NK 0/-- 9/SB 9/MO 0/-- 14/NK 18/SB 18/MO 18/MO 18/NK 0/-- 18/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|pers=3|num=sg _ case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_316::Polarity=negative|EmoExpression::markable_316::Intensity=medium|gender=masc|EmoExpression::markable_316::Uncertain=false|EmoExpression::markable_316::Sarcasm=false|EmoExpression::markable_316::SubjectiveFact=false|num=sg|EmoExpression::markable_316::EmoExpression=True _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 pos=True _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ case=acc|gender=fem|num=sg|EmoExpression::markable_100500517::EmoExpression=True case=acc|gender=fem|num=sg EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false
371305819985678336	positive	Hallo Frau Merkel, viele Grüsse aus Stuttgart %PosSmiley %PosSmiley %PosSmiley s21 ber merkel cdu btw13	Hallo Frau Merkel, viele Gruß aus Stuttgart %PosSmiley %PosSmiley %PosSmiley s21 ber merkel cdu btw13	NN NN NE PIAT NN APPR NE ITJ ITJ ITJ CARD ADJA NN NN ADJA	0/-- 1/NK 2/NK 5/NK 15/OA 5/MNR 6/NK 13/NK 13/NK 13/NK 13/NK 13/NK 5/PAR 13/NK 2/RC	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl _ case=dat|gender=neut|num=sg case=dat|EmoExpression::markable_34::SubjectiveFact=false|gender=neut|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Intensity=medium|num=sg|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Sarcasm=false EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium _ _ _ _ case=gen|gender=neut|num=pl|pos=True
375286051708735488	positive	Jap, werde es mir wohl anschauen %PosSmiley %User	Jap, werden es ich wohl anschauen %PosSmiley %User	NE VAFIN PPER PRF ADV VVINF ITJ NE	2/SB 0/-- 6/OA 6/DA 6/MO 2/OC 8/NK 6/OA	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=subj case=nom|gender=neut|num=sg|pers=3 case=dat|*=True|num=sg|pers=1 _ _ EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive _
378110436182208512	positive	Dazu muss man aber nicht die SPD wählen %PosSmiley	dazu müssen man aber nicht die SPD wählen %PosSmiley	PAV VMFIN PIS ADV PTKNEG ART NE VVINF ITJ	9/NK 0/-- 2/SB 2/MO 2/NG 7/NK 8/OA 2/OC 8/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ EmoExpression::markable_38::Polarity=positive|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::SubjectiveFact=false|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium
355447082435358721	positive	Die FDP ist sowieso im nächsten Bundestag nicht mehr vertreten! >%PosSmiley Lanz	die FDP sein sowieso in nah Bundestag nicht mehr vertreten! >%PosSmiley Lanz	ART NE VAFIN ADV APPRART ADJA NN PTKNEG ADV ADJA NN NN	2/NK 3/SB 0/-- 3/MO 3/MO 7/NK 5/NK 3/NG 8/MO 3/MO 0/-- 11/NK	case=nom|Sentiment::markable_317::Polarity=positive|Sentiment::markable_317::Sarcasm=false|gender=fem|Sentiment::markable_317::Sentiment=True|Target::markable_318::Anaphref=empty|Sentiment::markable_317::Intensity=medium|Target::markable_318::Target=True|num=sg|Target::markable_318::Preferred=true case=nom|gender=fem|Target::markable_318::Target=True|num=sg|Sentiment::markable_317::Sentiment=True pers=3|Target::markable_318::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_317::Sentiment=True Target::markable_318::Target=True|Sentiment::markable_317::Sentiment=True case=dat|gender=neut|Target::markable_318::Target=True|num=sg|Sentiment::markable_317::Sentiment=True case=dat|Target::markable_318::Target=True|num=sg|gender=neut|Sentiment::markable_317::Sentiment=True|pos=True case=dat|gender=neut|Target::markable_318::Target=True|num=sg|Sentiment::markable_317::Sentiment=True Target::markable_318::Target=True|Sentiment::markable_317::Sentiment=True Target::markable_318::Target=True|Sentiment::markable_317::Sentiment=True Target::markable_318::Target=True|Sentiment::markable_317::Sentiment=True case=nom|EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|gender=masc|Sentiment::markable_317::Sentiment=True|EmoExpression::markable_39::Polarity=positive|num=sg|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium case=nom|gender=masc|num=sg
369893856617037826	neutral	Dem Grüne traue ich noch zu den Fernsehturm in Stuttgart abzureissen %PosSmiley.	die Grüne trauen ich noch zu die Fernsehturm in Stuttgart abreißen %PosSmiley.	ART NN VVFIN PPER ADV APPR ART NN APPR NE VVIZU ADJA	2/NK 3/DA 0/-- 3/SB 3/MO 3/MO 8/NK 6/NK 8/MNR 9/NK 12/OC 8/RC	case=dat|gender=masc|num=sg case=nom|*=True|num=pl pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ case=dat|gender=neut|num=pl case=dat|gender=neut|num=pl _ case=dat|gender=neut|num=sg _ gender=masc|*=True|num=sg|pos=True
382904068714156032	positive	Neulich mittags auf dem Herbstfest Ökomarkt der GRÜNEN LIGA %PosSmiley %Link wassertisch	neulich mittags auf die Herbstfest Ökomarkt die grün Liga %PosSmiley %Link wassertisch	ADV ADV APPR ART NN NN ART ADJA NN ITJ XY ADJD	2/MO 3/MO 0/-- 5/NK 3/NK 5/NK 9/NK 9/NK 5/PAR 12/DM 0/-- 9/PD	Sentiment::markable_323::Intensity=medium|Target::markable_324::Target=True|Sentiment::markable_323::Sentiment=True|Target::markable_324::Anaphref=empty|Target::markable_324::Preferred=true|Sentiment::markable_323::Sarcasm=false|Sentiment::markable_323::Polarity=positive Sentiment::markable_323::Sentiment=True|Target::markable_324::Target=True Sentiment::markable_323::Sentiment=True|Target::markable_324::Target=True case=dat|gender=masc|num=sg|Target::markable_324::Target=True|Sentiment::markable_323::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_324::Target=True|Sentiment::markable_323::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_324::Target=True|Sentiment::markable_323::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_324::Target=True|Sentiment::markable_323::Sentiment=True case=nom|num=sg|Target::markable_324::Target=True|Sentiment::markable_323::Sentiment=True|gender=masc|pos=True case=nom|gender=masc|num=sg|Target::markable_324::Target=True|Sentiment::markable_323::Sentiment=True case=nom|EmoExpression::markable_43::Intensity=medium|gender=masc|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|pos=True|EmoExpression::markable_43::Polarity=positive|num=sg|Sentiment::markable_323::Sentiment=True|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::EmoExpression=True case=nom|gender=masc|num=sg pos=True
381329458311213056	mixed	So wie die Stimmung zZt ist, wird das am Sonntag für die ''Etablierten'' kein Tritt vor''s Schienbein, sondern höher... %PosSmiley AfD+	so wie die Stimmung zZt ist, werden die an Sonntag für die ''Etablierten'' keine Tritt vor''s Schienbein, sondern höher... %PosSmiley AfD+	ADV KOKOM ART NN VVFIN NE VAFIN PDS APPRART NN APPR ART NN PIAT NN VVFIN NE KON ADJA ITJ ADJA	5/MO 4/CM 4/NK 1/CC 0/-- 5/SB 5/OC 7/SB 16/MO 9/NK 4/MNR 13/NK 11/NK 15/NK 16/SB 7/OC 16/SB 16/CD 18/CJ 7/NK 0/--	_ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_100500518::EmoExpression=True|gender=masc|EmoExpression::markable_100500518::Sarcasm=false|num=sg|EmoExpression::markable_100500518::Polarity=negative|EmoExpression::markable_100500518::Intensity=medium|EmoExpression::markable_100500518::SubjectiveFact=false|EmoExpression::markable_100500518::Uncertain=false pers=3|EmoExpression::markable_100500518::EmoExpression=True|num=sg|tense=past|mood=ind case=nom|*=True|num=sg _ case=dat|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::SubjectiveFact=false|gender=masc|pos=True|EmoExpression::markable_44::Polarity=positive|EmoExpression::markable_44::Uncertain=false|num=sg|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::EmoExpression=True case=dat|gender=masc|num=sg _
369215841185038336	positive	Genauso machen wir das: %Link Jeder soll seine Ideen einbringen können. Nimm Piraten+ als Proxy. %PosSmiley	genauso machen wir das: %Link jede sollen sein Idee einbringen können. nehmen Piraten+ als Proxy. %PosSmiley	ADV VVFIN PPER ADJA XY PIAT VMFIN PPOSAT NN VVFIN NE VVIMP NN KOKOM NN ITJ	2/MO 0/-- 2/SB 2/MO 7/SB 7/SB 2/OC 9/NK 10/OA 7/OC 10/OA 0/-- 12/OA 13/CD 14/NK 0/NK	_ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl _ pers=3|num=pl|tense=past|mood=subj _ case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg EmoExpression::markable_45::SubjectiveFact=false|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Uncertain=false|EmoExpression::markable_45::Sarcasm=false
378827482352611328	positive	So muss das sein! %PosSmiley HeuteShow gucken und was frühstücken %PosSmiley %Link %User	so müssen die sein! %PosSmiley HeuteShow gucken und was frühstücken %PosSmiley %Link %User	ADV VMFIN ART ADJA ITJ NN VVINF KON PWS VVFIN ITJ XY NE	2/MO 0/-- 4/NK 2/SB 2/DM 7/MO 0/-- 7/CD 10/OA 8/CJ 13/NK 0/-- 10/OA	EmoExpression::markable_100500520::Sarcasm=false|EmoExpression::markable_100500520::SubjectiveFact=false|EmoExpression::markable_100500520::EmoExpression=True|EmoExpression::markable_100500520::Uncertain=false|EmoExpression::markable_100500520::Polarity=positive|EmoExpression::markable_100500520::Intensity=medium pers=3|num=sg|tense=pres|mood=ind|EmoExpression::markable_100500520::EmoExpression=True case=nom|num=sg|Target::markable_320::Preferred=true|gender=neut|EmoExpression::markable_100500520::EmoExpression=True|Target::markable_320::Target=True|Target::markable_320::Anaphref=empty case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ _ _ case=nom|gender=neut|num=sg _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium _ _
