317379081333243904	negative	hihi. RT‏@GrumpyMerkel :-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	hihi. RT‏@GrumpyMerkel :-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	ADJA NN $( NN NE ART NN ART NN NE	0/-- 0/-- 4/-- 0/-- 4/NK 7/NK 4/DA 9/NK 7/AG 9/NK	_ case=nom|gender=masc|num=sg EmoExpression::markable_100500127::Sarcasm=false|EmoExpression::markable_100500127::Uncertain=false|EmoExpression::markable_100500127::Intensity=medium|EmoExpression::markable_100500127::SubjectiveFact=false|EmoExpression::markable_100500127::Polarity=negative|EmoExpression::markable_100500127::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
333088682875691009	positive	Wochenende, endlich früher aufstehen und noch mehr Zeit in die piratenpartei stecken %PosSmiley ichbinmotiviert frap...	Wochenende, endlich früh aufstehen und noch mehr Zeit in die piratenpartei stecken %PosSmiley ichbinmotiviert frap...	NE ADV ADJD VVINF KON ADV PIAT NN APPR ART NN VVFIN ITJ ADJD ADJA	4/OA 4/MO 4/MO 0/-- 4/CD 7/MO 8/NK 12/OA 8/MNR 11/NK 9/NK 5/CJ 14/DM 12/MO 12/MO	case=nom|gender=neut|num=sg EmoExpression::markable_100500129::SubjectiveFact=false|EmoExpression::markable_100500129::Intensity=weak|EmoExpression::markable_100500129::Polarity=positive|EmoExpression::markable_100500129::Sarcasm=true|EmoExpression::markable_100500129::EmoExpression=True|EmoExpression::markable_100500129::Uncertain=false comp=True _ _ _ *=True case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false|pos=True _ pos=True
337301142956568576	neutral	Bild-Diekmann &amp; FDP-Rösler jetzt ein Paar %PosSmiley-)	Bild-Diekmann &amp; FDP-Rösler jetzt eine paar %PosSmiley-)	NN $( NN ADV ART PIAT $(	0/-- 1/-- 1/CJ 3/MO 6/NK 3/SB 6/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _
332975874943115265	positive	Gauck hat sie unter seinem Kopfkissen %PosSmiley	Gauck haben sie unter sein Kopfkissen %PosSmiley	NE VAFIN PPER APPR PPOSAT NN ITJ	2/SB 0/-- 2/SB 2/MO 6/NK 4/NK 6/NK	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
338024769754656768	negative	wen soll ich denn dann mit Merkel Bildern spamen. %NegSmiley	wer sollen ich denn dann mit Merkel Bild spamen. %NegSmiley	PWS VMFIN PPER ADV ADV APPR NE NN NE ITJ	2/OA 0/-- 2/SB 2/MO 2/MO 2/MO 6/NK 2/SB 8/NK 0/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ case=dat|*=True|num=sg case=dat|gender=neut|num=pl case=dat|*=True|num=sg EmoExpression::markable_14::Polarity=negative|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
324624202571317248	neutral	Piratenpartei Telefonische (nicht-) Erreichbarkeit des KV: Beitrag kann nach Anmeldung gelese... %Link Piraten Forum	Piratenpartei telefonisch (nicht-) Erreichbarkeit die KV: Beitrag können nach Anmeldung gelese... %Link Pirat Forum	NN ADJA $( NN ART NN NN VMFIN APPR NN ADJA XY NN NN	4/NK 4/NK 2/-- 8/SB 6/NK 4/AG 6/NK 0/-- 8/MO 9/NK 10/NK 10/NK 0/-- 13/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg case=nom|gender=masc|num=pl case=nom|gender=neut|num=sg
324761339211952128	positive	ich dachte nur an voreilige Schlüsse der CSU %PosSmiley	ich denken nur an voreilig Schluss die CSU %PosSmiley	PPER VVFIN ADV APPR ADJA NN ART NE ITJ	2/SB 0/-- 4/MO 2/OP 6/NK 4/NK 8/NK 6/AG 8/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=pl|pos=True case=acc|gender=masc|num=pl case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg EmoExpression::markable_15::Polarity=positive|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
337307901658034176	positive	%PosSmiley und aus welchem Bundesland kommst du? %PosSmiley	%PosSmiley und aus welche Bundesland kommen du? %PosSmiley	ITJ KON APPR PRELS NN VVFIN ADJA ITJ	6/DM 6/JU 6/MO 5/NK 3/NK 0/-- 6/MO 0/NK	EmoExpression::markable_100500130::Uncertain=false|EmoExpression::markable_100500130::Intensity=medium|EmoExpression::markable_100500130::Sarcasm=false|EmoExpression::markable_100500130::SubjectiveFact=false|EmoExpression::markable_100500130::Polarity=positive|EmoExpression::markable_100500130::EmoExpression=True _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium
337307043486654465	positive	eine spätrömische Chiffre. Wer hätte gedacht, dass es dadurch zu einer Parallele mit Guido Westerwelle kommt? %PosSmiley	eine spätrömisch Chiffre. wer haben gedacht, dass es dadurch zu eine Parallele mit Guido Westerwelle kommt? %PosSmiley	ART ADJA NN PWS VAFIN ADJA KOUS PPER PAV APPR ART NN APPR NE NN ADJA ITJ	3/NK 3/NK 0/-- 5/SB 0/-- 16/MO 16/CP 16/SB 16/NK 16/MO 12/NK 10/NK 12/MNR 15/PNC 13/NK 5/OC 16/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=subj _ _ case=nom|gender=neut|num=sg|pers=3 _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=gen|gender=fem|num=sg|pos=True case=gen|EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|gender=fem|num=sg|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
335880218499772416	positive	ja bin ja auch da bei Spielen.. Aber mein Herz bleibt schwarz gelb %PosSmiley 5 Euro Monatlich %PosSmiley Union?! 0%PosSmiley	ja sein ja auch da bei Spielen.. aber mein Herz bleiben schwarz gelb %PosSmiley 5 Euro monatlich %PosSmiley Union?! 0%PosSmiley	ADV VAFIN ADV ADV ADV APPR NE KON PPOSAT NN VVFIN ADJD ADJD ITJ CARD NN ADJD ITJ ADJA CARD	2/MO 0/-- 2/MO 2/MO 2/MO 2/MO 6/NK 11/JU 10/NK 11/SB 0/-- 11/MO 11/PD 16/NK 16/NK 11/MO 19/MO 19/NK 16/PNC 0/--	_ pers=1|num=sg|tense=pres|mood=ind _ _ _ _ case=dat|gender=neut|num=sg Sentiment::markable_100500133::Sarcasm=false|Sentiment::markable_100500133::Sentiment=True|Sentiment::markable_100500133::Intensity=medium|Sentiment::markable_100500133::Polarity=positive case=nom|num=sg|Source::markable_100500134::Source=True|Source::markable_100500134::Anaphref=empty|gender=masc|Sentiment::markable_100500133::Sentiment=True case=nom|EmoExpression::markable_100500135::EmoExpression=True|gender=masc|EmoExpression::markable_100500135::Sarcasm=false|EmoExpression::markable_100500135::Polarity=positive|EmoExpression::markable_100500135::Uncertain=false|num=sg|EmoExpression::markable_100500135::Intensity=medium|EmoExpression::markable_100500135::SubjectiveFact=false|Sentiment::markable_100500133::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500133::Sentiment=True Target::markable_100500136::Preferred=true|Target::markable_100500136::Anaphref=empty|pos=True|Target::markable_100500136::Target=True|Sentiment::markable_100500133::Sentiment=True Target::markable_100500136::Target=True|Sentiment::markable_100500133::Sentiment=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium|Sentiment::markable_100500133::Sentiment=True _ gender=masc|*=True pos=True pos=True *=True|pos=True _
326047721284841475	positive	Gerade %User und %User in der heuteshow gesehen %PosSmiley zdf spd jusos: Gerade %User...	gerade %User und %User in die heuteshow sehen %PosSmiley zdf spd jusos: gerade %User...	ADV NE KON NE APPR ART NN VVPP ITJ NE NE VVFIN ADV ADJA	2/MO 12/SB 2/CD 3/CJ 8/MO 7/NK 5/NK 2/OC 11/NK 11/PNC 8/MO 0/-- 14/MO 12/SB	_ case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=neut|num=sg|pos=True
323170801949999104	negative	Wo wir gerade bei der FDP sind: Deren Nazi-Vergangenheit ist auch nicht sehr rühmlich. %PosSmiley	wo wir gerade bei die FDP sind: die Nazi-Vergangenheit sein auch nicht sehr rühmlich. %PosSmiley	PWAV PPER ADV APPR ART NE ADJD PDAT NN VAFIN ADV PTKNEG ADV ADJA ITJ	10/MO 10/SB 4/MO 2/MNR 6/NK 4/NK 8/MO 9/NK 6/AG 0/-- 10/MO 10/NG 14/MO 10/MO 0/NK	Sentiment::markable_21::Polarity=negative|Sentiment::markable_21::Sarcasm=false|Sentiment::markable_21::Intensity=medium|Sentiment::markable_21::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_21::Sentiment=True|pers=1 Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True case=dat|num=sg|Target::markable_100500137::Target=True|gender=fem|Target::markable_100500137::Preferred=true|Target::markable_100500137::Anaphref=empty|Sentiment::markable_21::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_21::Sentiment=True|Target::markable_100500137::Target=True pos=True|Sentiment::markable_21::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_21::Sentiment=True case=gen|gender=fem|num=sg|EmoExpression::markable_100500139::EmoExpression=True|Sentiment::markable_21::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True Negation::markable_25::Negation=True|Sentiment::markable_21::Sentiment=True|Negation::markable_25::EmoExpressionRef=empty Intensifier::markable_24::Degree=medium|Intensifier::markable_24::Intensifier=True|Intensifier::markable_24::EmoExpressionRef=emo-expression:markable_23|Sentiment::markable_21::Sentiment=True pos=True|Sentiment::markable_21::Sentiment=True EmoExpression::markable_100500138::Polarity=positive|EmoExpression::markable_100500138::SubjectiveFact=false|EmoExpression::markable_100500138::EmoExpression=True|EmoExpression::markable_100500138::Uncertain=false|EmoExpression::markable_100500138::Intensity=medium|EmoExpression::markable_100500138::Sarcasm=false|Sentiment::markable_21::Sentiment=True
