328854379425853441	positive	Gleich in Braunschweig mit Kamaraden Treffen %PosSmiley	gleich in Braunschweig mit Kamaraden Treffen %PosSmiley	ADJD APPR NE APPR ADJA NN ITJ	2/MO 0/-- 2/NK 2/SVP 6/NK 4/NK 4/MO	Sentiment::markable_208::Intensity=medium|Target::markable_209::Anaphref=empty|Sentiment::markable_208::Sarcasm=false|Sentiment::markable_208::Polarity=positive|Sentiment::markable_208::Sentiment=True|Target::markable_209::Preferred=true|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|num=pl|Target::markable_209::Target=True|gender=fem|Sentiment::markable_208::Sentiment=True|pos=True case=dat|gender=fem|num=pl|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|Sentiment::markable_208::Sentiment=True|EmoExpression::markable_1::Intensity=medium
328960558835564545	positive	Gibt es etwas, das du jeden Tag isst? - Äh, nein! %PosSmiley %Link	geben es etwas, die du jede Tag isst? - Äh, nein! %PosSmiley %Link	VVFIN PPER ADJA PRELS PPER PIAT NN ADJA $( NN ADJA ITJ XY	8/MO 1/EP 1/MO 8/OA 8/SB 7/NK 8/MO 0/-- 10/-- 0/-- 10/UC 10/NK 0/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg case=nom|*=True|num=sg|pers=2 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|num=sg|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false _
328099387916054528	neutral	Ja so war's noch bis vor ein paar Jahren... als es noch kein Social Networking gab %PosSmiley schwelg*	Ja so sein noch bis vor eine paar Jahren... als es noch keine <UNKNOWN> Networking geben %PosSmiley schwelg*	NN ADV VAFIN ADV APPR APPR ART PIAT NN KOKOM PPER ADV PIAT ADJD NE VVFIN ITJ ADJA	3/PD 3/MO 0/-- 6/MO 6/AC 3/MO 8/NK 9/NK 6/NK 16/CM 16/EP 14/MO 14/MO 16/MO 16/OA 0/-- 18/NK 16/MO	_ _ pers=3|num=sg|tense=past|mood=ind _ _ _ *=True *=True case=acc|gender=neut|num=pl _ case=acc|gender=neut|num=sg|pers=3 _ case=nom|gender=neut|num=sg *=True case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind EmoExpression::markable_219::EmoExpression=True pos=True
326720383891951616	negative	habe mir auf die Zunge gebissen %NegSmiley	haben ich auf die Zunge beißen %NegSmiley	VAFIN PPER APPR ART NN VVPP ITJ	0/-- 6/DA 6/MO 5/NK 3/NK 1/OC 6/NK	Sentiment::markable_29::Polarity=negative|Sentiment::markable_29::Intensity=medium|Target::markable_31::Target=True|Target::markable_31::Preferred=true|mood=subj|Sentiment::markable_29::Sentiment=True|Sentiment::markable_29::Sarcasm=false|Target::markable_31::Anaphref=empty|pers=3|num=sg|tense=pres case=dat|pers=1|num=sg|Sentiment::markable_29::Sentiment=True|Target::markable_31::Target=True|*=True Target::markable_31::Target=True|Sentiment::markable_29::Sentiment=True case=acc|gender=fem|Target::markable_31::Target=True|num=sg|Sentiment::markable_29::Sentiment=True case=acc|gender=fem|Target::markable_31::Target=True|num=sg|Sentiment::markable_29::Sentiment=True Target::markable_31::Target=True|Sentiment::markable_29::Sentiment=True EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|Sentiment::markable_29::Sentiment=True|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=negative|EmoExpression::markable_30::Sarcasm=false
320592061109780480	positive	Meister ist nur der fcbayern ! MIA SAN MIA %PosSmiley	Meister sein nur die fcbayern ! Mia SAN Mia %PosSmiley	NN VAFIN ADV ART NN $. NE NE NE ITJ	2/SB 0/-- 5/MO 5/NK 2/PD 5/-- 9/PNC 9/PNC 10/NK 0/NK	case=nom|EmoExpression::markable_34::SubjectiveFact=false|gender=masc|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Intensity=medium|Sentiment::markable_33::Sentiment=True|num=sg|EmoExpression::markable_34::EmoExpression=True|Sentiment::markable_33::Intensity=medium|Sentiment::markable_33::Sarcasm=false|Sentiment::markable_33::Polarity=positive|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Sarcasm=false pers=3|Sentiment::markable_33::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_33::Sentiment=True case=nom|Sentiment::markable_33::Sentiment=True|num=sg|Target::markable_35::Anaphref=empty|Target::markable_35::Preferred=true|gender=masc|Target::markable_35::Target=True case=nom|gender=masc|num=sg|Target::markable_35::Target=True|Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True *=True *=True *=True EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|*=True|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True
321522921560494081	positive	Briefbögen für die Geschäftsleitung? Warum nicht mal etwas dickeres Papier %PosSmiley %Link	Briefbogen für die Geschäftsleitung? warum nicht mal etwas dick Papier %PosSmiley %Link	NN APPR ART NN PWAV PTKNEG ADV PIAT ADJA NN ITJ XY	0/-- 1/MNR 4/NK 2/NK 10/MO 10/NG 6/MO 9/MO 10/NK 11/NK 12/NK 0/--	case=nom|gender=masc|num=pl _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium _
320612998341353473	positive	""Das Erzgebierge rockt DSDS! Lisa singt Hat sie das Zeug zum Superstar?" ja! %PosSmiley NEIN! Riccardo %PosSmiley	""Das Erzgebierge rocken DSDS! Lisa singen haben sie die Zeug zu Superstar?" ja! %PosSmiley NEIN! Riccardo %PosSmiley	NN NN VVFIN NN NE VVFIN VAFIN PPER ART NN APPRART NN ADJA ITJ NN NE ITJ	3/SB 1/NK 0/-- 3/OA 6/SB 0/-- 6/OC 7/SB 10/NK 7/PD 10/MNR 11/NK 0/-- 13/NK 0/-- 0/-- 16/NK	case=nom|Sentiment::markable_226::Sarcasm=false|Source::markable_227::Anaphref=empty|Sentiment::markable_226::Sentiment=True|gender=fem|Sentiment::markable_226::Intensity=medium|Source::markable_227::Source=True|num=sg|Sentiment::markable_226::Polarity=positive case=nom|gender=fem|num=sg|Sentiment::markable_226::Sentiment=True|Source::markable_227::Source=True EmoExpression::markable_228::Intensity=medium|EmoExpression::markable_228::Polarity=positive|mood=ind|Sentiment::markable_226::Sentiment=True|pers=3|EmoExpression::markable_228::Uncertain=false|EmoExpression::markable_228::SubjectiveFact=false|num=sg|tense=pres|EmoExpression::markable_228::Sarcasm=false|EmoExpression::markable_228::EmoExpression=True case=acc|gender=fem|num=sg|Sentiment::markable_226::Sentiment=True case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=strong|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive EmoExpression::markable_220::Uncertain=false|EmoExpression::markable_220::EmoExpression=True|EmoExpression::markable_220::Intensity=medium|EmoExpression::markable_220::Polarity=negative|EmoExpression::markable_220::SubjectiveFact=false|EmoExpression::markable_220::Sarcasm=false case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|gender=masc|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium|EmoExpression::markable_38::Polarity=positive|num=sg|EmoExpression::markable_38::SubjectiveFact=false
324539826084909058	positive	stehplätze ? %PosSmiley Wie viel hat das ticket gekostet ? %PosSmiley	Stehplatz ? %PosSmiley wie viele haben die ticken kosten ? %PosSmiley	NN $. ITJ KOKOM PIS VAFIN PDS VVFIN VVPP $. ITJ	0/-- 1/-- 2/NK 5/MO 8/MO 0/-- 6/SB 9/MO 6/OC 9/-- 9/NK	case=nom|gender=masc|num=pl _ EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium _ *=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
319742826197962752	positive	Also wenn es nicht klappt dann ist schon ok %PosSmiley	also wenn es nicht klappen dann sein schon ok %PosSmiley	ADV KOUS PPER PTKNEG VVFIN ADV VAFIN ADV ADJA ITJ	6/MO 5/CP 5/SB 5/NG 6/RE 7/MO 0/-- 9/MO 7/SB 9/NK	_ _ case=nom|gender=neut|num=sg|pers=3 _ pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_104012282::SubjectiveFact=false|EmoExpression::markable_104012282::Polarity=positive|EmoExpression::markable_104012282::Sarcasm=false|EmoExpression::markable_104012282::Uncertain=false|EmoExpression::markable_104012282::EmoExpression=True|EmoExpression::markable_104012282::Intensity=weak EmoExpression::markable_104012282::EmoExpression=True|*=True EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|*=True|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
321250454363324417	positive	Es hat nicht noch zufällig jemand einen Ticket für die DSDS Show am 4.5.? Please?! %PosSmiley	Es haben nicht noch zufällig jemand eine Ticket für die DSDS Show an 4.5.? Please?! %PosSmiley	NN VAFIN PTKNEG ADV ADJD PIS ART NN APPR ART NN NN APPRART ADJA NN ITJ	2/SB 0/-- 5/NG 5/MO 6/MO 2/SB 8/NK 2/OA 8/MNR 11/NK 9/NK 11/NK 11/MNR 15/NK 13/NK 15/NK	case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ _ pos=True case=nom|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|*=True|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
327788691181424640	positive	Nicht direkt über das Leben, aber so ähnlich letztes Jahr in der 11. %PosSmiley	nicht direkt über die Leben, aber so ähnlich letzt Jahr in die 11. %PosSmiley	PTKNEG ADJD APPR ART NE ADV ADV ADJD ADJA NN APPR ART ADJA ITJ	2/NG 3/MO 0/-- 10/NK 9/DA 9/MO 8/MO 9/MO 10/NK 3/NK 10/MNR 13/NK 11/NK 13/NK	_ pos=True _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _ pos=True case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|gender=fem|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Sarcasm=false|EmoExpression::markable_45::SubjectiveFact=false|num=sg|EmoExpression::markable_45::Uncertain=false
327479470946656256	positive	Ich ersetze übrigens ab jetzt Chips mit Obst %PosSmiley Statt mir immer was zum knabbern zu holen hol ich mir n Netz Orangen.	ich ersetzen übrigens ab jetzt Chip mit Obst %PosSmiley statt ich immer was zu knabbern zu holen holen ich ich n Netz Orangen.	PPER VVFIN ADV ADV ADV NN APPR NN ITJ APPR PPER ADV PIS APPRART VVINF PTKZU VVINF VVIMP PPER PRF ADJA NN NE	2/SB 0/-- 2/MO 2/MO 2/MO 15/OA 6/MNR 7/NK 22/NK 13/MNR 10/NK 13/MO 17/OA 17/MO 14/NK 17/PM 18/OC 22/NK 17/SB 21/DA 22/NK 2/OA 22/NK	case=nom|Sentiment::markable_47::Polarity=positive|*=True|Sentiment::markable_47::Sentiment=True|Source::markable_48::Source=True|pers=1|Sentiment::markable_47::Sarcasm=false|num=sg|Sentiment::markable_47::Intensity=medium|Source::markable_48::Anaphref=empty mood=ind|Target::markable_49::Target=True|Target::markable_49::Anaphref=empty|Sentiment::markable_47::Sentiment=True|pers=1|num=sg|tense=pres|Target::markable_49::Preferred=true Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=pl|Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True case=dat|gender=neut|num=sg|Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True case=dat|EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|gender=neut|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive|Sentiment::markable_47::Sentiment=True|num=sg|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false Sentiment::markable_230::Sarcasm=false|Sentiment::markable_230::Intensity=medium|Sentiment::markable_230::Sentiment=True|Sentiment::markable_230::Polarity=positive case=dat|*=True|num=sg|Sentiment::markable_230::Sentiment=True|pers=1 Sentiment::markable_230::Sentiment=True case=acc|num=sg|Sentiment::markable_230::Sentiment=True|Target::markable_232::Preferred=false|gender=neut|Target::markable_232::Target=True|Target::markable_232::Anaphref=empty case=dat|gender=masc|Target::markable_232::Target=True|num=sg|Sentiment::markable_230::Sentiment=True Target::markable_232::Target=True|Sentiment::markable_230::Sentiment=True Sentiment::markable_230::Sentiment=True Sentiment::markable_230::Sentiment=True Sentiment::markable_230::Sentiment=True case=nom|pers=1|num=sg|Source::markable_231::Anaphref=empty|Sentiment::markable_230::Sentiment=True|Source::markable_231::Source=True|*=True case=dat|pers=1|num=sg|Sentiment::markable_230::Sentiment=True mood=ind|Target::markable_233::Anaphref=empty|pers=1|Target::markable_233::Target=True|num=sg|tense=pres|Sentiment::markable_230::Sentiment=True|Target::markable_233::Preferred=true case=acc|gender=masc|Target::markable_233::Target=True|num=sg|Sentiment::markable_230::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_230::Sentiment=True
323396666264801280	negative	Wird wohl nix mit der %User energyfashionshow dieses Jahr. Kann man ja keine Tickets kaufen und habe keine gewonnen %NegSmiley	werden wohl nix mit die %User energyfashionshow dies Jahr. können man ja keine Ticket kaufen und haben keine gewinnen %NegSmiley	VAFIN ADV PIS APPR ART NE ADJD PDAT NN VMFIN PIS ADV PIAT NN VVINF KON VAFIN PIAT VVPP ITJ	0/-- 3/MO 1/SB 7/MO 6/NK 4/NK 1/OC 9/NK 7/OA 0/-- 10/SB 10/MO 14/NK 15/OA 10/OC 10/CD 16/CJ 19/MO 17/OC 19/NK	mood=ind|EmoExpression::markable_104012283::EmoExpression=True|EmoExpression::markable_104012283::SubjectiveFact=false|pers=3|EmoExpression::markable_104012283::Sarcasm=false|num=sg|tense=pres|EmoExpression::markable_104012283::Polarity=negative|EmoExpression::markable_104012283::Uncertain=false|EmoExpression::markable_104012283::Intensity=medium EmoExpression::markable_104012283::EmoExpression=True gender=neut|*=True|EmoExpression::markable_104012283::EmoExpression=True _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg Target::markable_52::Anaphref=empty|Target::markable_52::Preferred=true|mood=ind|Sentiment::markable_50::Intensity=strong|Sentiment::markable_50::Sentiment=True|pers=3|num=sg|tense=pres|Sentiment::markable_50::Polarity=negative|Target::markable_52::Target=True|Sentiment::markable_50::Sarcasm=false case=nom|*=True|Sentiment::markable_50::Sentiment=True|num=sg|Target::markable_52::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_52::Target=True case=acc|gender=masc|Sentiment::markable_50::Sentiment=True|num=pl|Target::markable_52::Target=True case=acc|gender=masc|Sentiment::markable_50::Sentiment=True|num=pl|Target::markable_52::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_52::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_52::Target=True pers=3|num=sg|tense=pres|mood=subj|Sentiment::markable_50::Sentiment=True|Target::markable_52::Target=True case=acc|gender=fem|Sentiment::markable_50::Sentiment=True|num=pl|Target::markable_52::Target=True EmoExpression::markable_234::EmoExpression=True|EmoExpression::markable_234::Sarcasm=false|Sentiment::markable_50::Sentiment=True|EmoExpression::markable_234::Polarity=positive|EmoExpression::markable_234::SubjectiveFact=false|EmoExpression::markable_234::Intensity=medium|EmoExpression::markable_234::Uncertain=false|Target::markable_52::Target=True EmoExpression::markable_51::Intensity=strong|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=negative|Sentiment::markable_50::Sentiment=True|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false
320138671812669440	positive	Warten, bis Software den Aktualisierungschlüssel findet %PosSmiley ...	Warten, bis Software die Aktualisierungschlüssel finden %PosSmiley ...	NE KON NE ART NN VVFIN ITJ $.	6/SB 1/CD 2/CJ 5/NK 6/OA 0/-- 0/NK 6/--	case=nom|gender=neut|num=sg _ case=nom|gender=fem|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_53::Sarcasm=false|EmoExpression::markable_53::EmoExpression=True|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Polarity=positive _
324929855475032065	positive	Jess! Man endlich auch draussen wieder... %PosSmiley %Link	Jess! man endlich auch draußen wieder... %PosSmiley %Link	NN PIS ADV ADV ADV ADJA ITJ XY	0/-- 6/SB 6/MO 5/MO 6/MO 0/-- 6/NK 0/--	case=nom|gender=masc|num=sg|Sentiment::markable_235::Sentiment=True|EmoExpression::markable_236::EmoExpression=True case=nom|*=True|num=sg|Sentiment::markable_235::Sentiment=True EmoExpression::markable_237::Uncertain=false|EmoExpression::markable_237::EmoExpression=True|EmoExpression::markable_237::Polarity=positive|EmoExpression::markable_237::SubjectiveFact=false|Sentiment::markable_235::Sentiment=True|EmoExpression::markable_237::Intensity=medium|EmoExpression::markable_237::Sarcasm=false Sentiment::markable_235::Sentiment=True Target::markable_238::Anaphref=empty|Target::markable_238::Preferred=true|Sentiment::markable_235::Sentiment=True|Target::markable_238::Target=True Sentiment::markable_235::Sentiment=True EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|EmoExpression::markable_54::Polarity=positive|Sentiment::markable_235::Sentiment=True|EmoExpression::markable_54::Sarcasm=false|EmoExpression::markable_54::Intensity=medium _
318485023886020609	positive	die Macht der P's. DER P's. %PosSmiley	die Macht die P's. die P's. %PosSmiley	ART NN ART NN ART NN ITJ	2/NK 0/-- 4/NK 2/AG 6/NK 4/AG 4/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg *=True EmoExpression::markable_55::EmoExpression=True|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Sarcasm=false|*=True|EmoExpression::markable_55::Polarity=positive
326966048672870400	positive	das ist normal, da der Bauch beim laufen auch beansprucht wird. Wenn du längere Zeit läufst wirst du aber keinen mehr bekommen %PosSmiley	die sein normal, da die Bauch bei laufen auch beanspruchen wird. wenn du lang Zeit laufen werden du aber keine mehr bekommen %PosSmiley	PDS VAFIN NE ADV ART NN APPRART VVFIN ADV VVFIN TRUNC KOUS PPER ADJA NN VVFIN VAFIN PPER ADV PIAT PIS VVPP ITJ	2/SB 0/-- 2/SB 2/MO 6/NK 2/PD 6/MNR 10/MO 8/MO 7/NK 10/SB 17/CP 17/SB 15/NK 16/SB 17/OC 0/-- 17/SB 22/MO 22/MO 22/OA 17/OC 22/NK	case=nom|Sentiment::markable_57::Sarcasm=false|gender=neut|Sentiment::markable_57::Polarity=positive|Target::markable_59::Preferred=true|num=sg|Target::markable_59::Anaphref=empty|Sentiment::markable_57::Intensity=medium|Target::markable_59::Target=True|Sentiment::markable_57::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_57::Sentiment=True case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ _ _ case=nom|*=True|num=sg|pers=2 case=acc|gender=fem|num=sg|comp=True case=acc|gender=fem|num=sg _ pers=2|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=2 _ case=acc|gender=masc|num=sg *=True _ EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Uncertain=false|EmoExpression::markable_56::Sarcasm=false
328589288935669760	mixed	Clara (13) frisst weil sie traurig ist, das sie so fett ist.	Clara (13) fressen weil sie traurig ist, die sie so fett ist.	NE NN VVFIN KOUS PPER ADJD VVFIN PDS PPER ADV ADJD ADJA	2/PNC 3/SB 0/-- 12/CP 12/SB 7/MO 12/MO 7/SB 3/SB 11/MO 12/MO 3/MO	case=nom|Sentiment::markable_100500282::Sentiment=True|gender=fem|Target::markable_100500282::Anaphref=empty|num=sg|Sentiment::markable_100500282::Sarcasm=false|Sentiment::markable_100500282::Polarity=negative|Target::markable_100500282::Target=True|Sentiment::markable_100500282::Intensity=strong|Target::markable_100500282::Preferred=true case=nom|gender=fem|Sentiment::markable_100500282::Sentiment=True|num=sg Sentiment::markable_100500282::Sentiment=True|mood=ind|EmoExpression::markable_100500282::EmoExpression=True|pers=3|EmoExpression::markable_100500282::SubjectiveFact=false|num=sg|tense=pres|EmoExpression::markable_100500282::Sarcasm=false|EmoExpression::markable_100500282::Polarity=negative|EmoExpression::markable_100500282::Uncertain=false|EmoExpression::markable_100500282::Intensity=strong Sentiment::markable_100500282::Sentiment=True case=nom|Sentiment::markable_100500282::Sentiment=True|Sentiment::markable_100500285::Sentiment=True|Sentiment::markable_100500285::Sarcasm=false|gender=fem|Sentiment::markable_100500285::Polarity=positive|pers=3|num=sg|Source::markable_100500285::Source=True|Source::markable_100500285::Anaphref=empty|Sentiment::markable_100500285::Intensity=medium EmoExpression::markable_100500285::Uncertain=false|Sentiment::markable_100500282::Sentiment=True|EmoExpression::markable_100500285::Polarity=negative|EmoExpression::markable_100500285::Sarcasm=false|Sentiment::markable_100500285::Sentiment=True|pos=True|EmoExpression::markable_100500285::Intensity=medium|EmoExpression::markable_100500285::SubjectiveFact=false|EmoExpression::markable_100500285::EmoExpression=True Sentiment::markable_100500282::Sentiment=True|Sentiment::markable_100500285::Sentiment=True case=acc|gender=neut|Sentiment::markable_100500282::Sentiment=True|num=sg|Sentiment::markable_100500285::Sentiment=True case=nom|Sentiment::markable_100500282::Sentiment=True|Sentiment::markable_100500285::Sentiment=True|Target::markable_100500285::Anaphref=empty|*=True|Target::markable_100500285::Preferred=true|pers=3|num=pl|Target::markable_100500285::Target=True Sentiment::markable_100500282::Sentiment=True|Target::markable_100500285::Target=True|Sentiment::markable_100500285::Sentiment=True Sentiment::markable_100500282::Sentiment=True|EmoExpression::markable_100500288::Sarcasm=false|EmoExpression::markable_100500288::EmoExpression=True|Sentiment::markable_100500285::Sentiment=True|EmoExpression::markable_100500288::SubjectiveFact=false|pos=True|EmoExpression::markable_100500288::Polarity=negative|Target::markable_100500285::Target=True|EmoExpression::markable_100500288::Uncertain=false|EmoExpression::markable_100500288::Intensity=strong case=acc|Sentiment::markable_100500282::Sentiment=True|num=sg|Sentiment::markable_100500285::Sentiment=True|gender=neut|pos=True
323012442496065536	neutral	%User gibt’s heute Abend wenn ich die verbandfolie abmachen darf	%User gibt’s heute abend wenn ich die verbandfolie abmachen dürfen	NE VVFIN ADV ADV KOUS PPER ART NN VVINF VMFIN	2/SB 0/-- 2/MO 2/MO 10/CP 10/SB 8/NK 9/OA 10/OC 2/MO	case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind
